Page ID,Page name,Disclaimer,Amount spent (BOB)
964080723662055,Carlos Subirana Responde,Editorial CSS,≤100
1967100150206417,Instituto de Formación Femenina Integral - IFFI,Maya Fatima Garcia Rodriguez,≤100
100393048247870,Daniela Cabrera Concejal,Daniela Cabrera Guillén,≤100
101208064965016,Juventud-Es,Maya Fatima Garcia Rodriguez,≤100
128692467209771,Visita Cochabamba,Smart Group,≤100
110584768117092,BoliviaFederal,These ads ran without a disclaimer,≤100
269633369881331,Senador Rodrigo Paz,Gabriela Pacello Guillen,≤100
102351595022048,Carlos Montaño Alcalde,Richard Chambi Gutierrez,≤100
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,≤100
1929798810569475,Somos de Warnes,Raul Paniagua Gil,≤100
292129440851133,CropLife Latin America,These ads ran without a disclaimer,≤100
100432322646591,Magnom Properties,These ads ran without a disclaimer,≤100
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100
