Page ID,Page name,Disclaimer,Amount spent (IDR)
23383061178,Prabowo Subianto,indonesia Adil makmur,542992
101389706093580,G24 Golkar Lampung,Yayasan Golkar Institute SPKP,286823
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,153766
302826799886864,Relawan PUAN 2024,Puan 2024,107060
111613951635299,Lampung Timur Pedia,Ganjar Nusantara Indonesia,51293
109916735140811,Lampung Tengah Berfikir,Ganjar Nusantara Indonesia,43498
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,36989
107690102033332,Diskusi Tanggamus,Ganjar Nusantara Indonesia,31119
602965153052279,Garuda Keadilan Lampung,These ads ran without a disclaimer,30103
111519674977954,Lampung Utara Media,Ganjar Nusantara Indonesia,20400
108358428631534,Lampung Selatan Bersuara,Ganjar Nusantara Indonesia,20186
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,20165
106499898747570,Lampung Dukung Ganjar,Ganjar Nusantara Indonesia,18894
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,18646
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,16616
197545083607941,Harian Kompas,Harian Kompas,15976
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,15187
100754459407291,Inspirasi Bandar Lampung,Ganjar Nusantara Indonesia,15002
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,13342
173776079818775,Saiful Mujani,Saidiman,13241
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,10838
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,9361
101428652793656,Readktif,Aditia Ramdani,7968
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,7272
100398849135155,Sandiku Sayang,Iwan Hardiansyah,6809
100493776029547,SiCaleg - Aplikasi Pemilihan Legislatif,SiCaleg,6669
106883058905796,Tanda Seru,Aditia Ramdani,5820
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,5555
101203454841155,Kota Kite,Prayogo,4614
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,4529
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,4466
103581752405141,Sobar Harahap,Juniar Dwi Harianto,4451
104622532469179,Populis,Aditia Ramdani,4434
240326642745935,Change.org,Change.org Indonesia,4159
110750361762052,Pikiran Rakyat,Desta Darmawansyah,2971
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,2695
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,2560
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,2506
107241861191421,Ilmu Tambang,Ilmu Tambang,2468
111241268349257,Ogan Komering ilir Cerita,Ganjar Nusantara Indonesia,2395
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,2385
108156498584853,Tetap Puan,Marabunta Family Cyber,2224
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,2161
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,2062
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,2059
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,2018
104830667806476,Melihat Indonesia,Melihat Indonesia,1870
105818752347206,Teman Airlangga Hartarto,These ads ran without a disclaimer,1762
101101492306034,Mega News,Siti Sarah Iskandar,1650
110952238516382,Kiki Daliyo,Dwi Wantoro,1447
104427162506872,Fakta Anies,Fakta Anies,1411
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,1250
138714910025360,Saidiman Ahmad,Saidiman,1068
111874238435241,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,1027
103421759149899,Geocorner Indonesia,Geocorner,901
103866218070109,Bung Idris,Muhammad Idris Siregar,716
104769328970097,Joedea Aris Theofilus,Partai Solidaritas Indonesia,597
109635261356229,"Bornok Simanjuntak, SH, MH",Bornok Simanjuntak,551
