Page ID,Page name,Disclaimer,Amount spent (CRC)
643513979193133,Unidos por Beatriz,Neuma,1386
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,600
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,600
168286823190319,Cámara de Industrias de Costa Rica,Cámara de Industrias de Costa Rica,600
102643532445938,Ada Acuña - Diputada,Jacqui Solano,388
161538647202796,David Segura - Diputado,David Lorenzo Segura Gamboa,203
116150003163125,Fundación Pollitos de Hierro - Ayuda a niños con cáncer - Costa Rica,Fundación Pollitos de Hierro,147
102084562479533,Digital506,Digital506,≤100
100417379468020,Agronomy MDPI,These ads ran without a disclaimer,≤100
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
101572969888832,P&G Careers,These ads ran without a disclaimer,≤100
143661702404558,Хочу учиться в США,These ads ran without a disclaimer,≤100
