Page ID,Page name,Disclaimer,Amount spent (CZK)
102389958091735,Generál Pavel,Petr Pavel,≤100
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,≤100
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,≤100
120461304659141,O2 CZ,O2 Czech republic,≤100
106008800769282,KHNP,Bistro Social s.r.o.,≤100
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,≤100
605137899592157,STIHL,"Andreas STIHL, spol. s r. o.",≤100
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,≤100
102845669064210,Danuše Nerudová,Danuše Nerudová,≤100
287724754662359,HateFree Culture,HateFree Culture,≤100
1962450550674040,TVarchitect.com,Lukáš Trunec,≤100
104973324963751,Kladnobezhazardu.cz,Kladnobezhazardu.cz,≤100
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,≤100
1483237748591093,Festival svobody,Festival svobody,≤100
578342809023884,Jsme fér,Prague Pride,≤100
609246842426009,Rekonstrukce státu,Rekonstrukce státu,≤100
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",≤100
284944781875,EURACTIV.cz,EURACTIV.cz,≤100
453792238396240,VOGUE CS,Vogue CS,≤100
356451014434612,Marian Jurečka,KDU-ČSL,≤100
