Page ID,Page name,Disclaimer,Amount spent (IDR)
302826799886864,Relawan PUAN 2024,Puan 2024,290642
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,216139
23383061178,Prabowo Subianto,indonesia Adil makmur,120657
105156635699051,G24 Golkar Bali,Golkar Institute SPKP,81022
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,72571
112121504882485,GP Bali,Ganjar Nusantara Indonesia,71676
104769328970097,Joedea Aris Theofilus,Partai Solidaritas Indonesia,60685
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,46910
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,43896
197545083607941,Harian Kompas,Harian Kompas,42861
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,41545
1160674184085116,"I G N Kesuma Kelakan,ST.,M.Si",Ign Kesuma Kelakan,39063
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,35049
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,27575
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,20345
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,14858
104622532469179,Populis,Aditia Ramdani,13559
173776079818775,Saiful Mujani,Saidiman,13423
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,11242
106883058905796,Tanda Seru,Aditia Ramdani,10520
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,8879
101428652793656,Readktif,Aditia Ramdani,7486
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,6926
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,5808
100493776029547,SiCaleg - Aplikasi Pemilihan Legislatif,SiCaleg,5426
103581752405141,Sobar Harahap,Juniar Dwi Harianto,5079
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,5041
111874238435241,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,4913
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,4735
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,4055
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,3811
110952238516382,Kiki Daliyo,Dwi Wantoro,3560
101203454841155,Kota Kite,Prayogo,2930
756567881057213,Airlangga Hartarto,Airlangga Hartarto,2740
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,2737
108268591971532,Banyuwangi pedia,Ganjar Nusantara Indonesia,2185
103292932453775,GP Tapal Kuda,Ganjar Nusantara Indonesia,2038
104830667806476,Melihat Indonesia,Melihat Indonesia,1903
107241861191421,Ilmu Tambang,Ilmu Tambang,1542
108156498584853,Tetap Puan,Marabunta Family Cyber,1329
138714910025360,Saidiman Ahmad,Saidiman,1106
103843898131169,Zehufa,Zehufa,969
101101492306034,Mega News,Siti Sarah Iskandar,863
574236045962475,Tech in Asia ID,These ads ran without a disclaimer,831
103866218070109,Bung Idris,Muhammad Idris Siregar,629
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,543
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,471
111882761429956,Export Academy IDN,These ads ran without a disclaimer,466
103411659195911,JIMAT,Arik Luviani Putri Yasa,437
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,426
164800207258203,SUARANTB.com,SUARANTB.com,368
104427162506872,Fakta Anies,Fakta Anies,258
104799384898162,Indonesia Berkabar,Ganjar Nusantara Indonesia,255
110750361762052,Pikiran Rakyat,Desta Darmawansyah,186
109635261356229,"Bornok Simanjuntak, SH, MH",Bornok Simanjuntak,151
113058461386521,Mercusuar Indonesia,Ganjar Nusantara Indonesia,149
104843487722931,Portal Islam id,Portal Islam ID,125
101338198587608,Indonesia Luar Biasa,Ganjar Nusantara Indonesia,≤100
202555993805088,Caption,Ganjar Nusantara Indonesia,≤100
100398849135155,Sandiku Sayang,Iwan Hardiansyah,≤100
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,≤100
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,≤100
105195635486519,Klise Nusantara,Ganjar Nusantara Indonesia,≤100
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,≤100
109793991710079,Jane Natalia Suryanto,Jane Natalia Suryanto,≤100
143661702404558,Хочу учиться в США,These ads ran without a disclaimer,≤100
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100
103668129270014,Gentle skateboarder,These ads ran without a disclaimer,≤100
190386637655399,C40 Cities,These ads ran without a disclaimer,≤100
103235859312409,Probably immigration,These ads ran without a disclaimer,≤100
107302922233781,Komuro homeland,These ads ran without a disclaimer,≤100
100417379468020,Agronomy MDPI,These ads ran without a disclaimer,≤100
131189377574,MDPI,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
53298096310,Prague City University,These ads ran without a disclaimer,≤100
285530825204,Klitschko,These ads ran without a disclaimer,≤100
107419398838282,Global Digital Inclusion Partnership,These ads ran without a disclaimer,≤100
