Page ID,Page name,Disclaimer,Amount spent (IDR)
105567345649477,G24 Golkar Sumsel,Yayasan Golkar Institut SPKP,381722
23383061178,Prabowo Subianto,indonesia Adil makmur,288944
104940148858518,Bersama Mbak Puan,Bersama Puan,254241
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,174773
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,111079
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,108551
104769328970097,Joedea Aris Theofilus,Partai Solidaritas Indonesia,40197
111272021680009,Cendekiawan Palembang,Ganjar Nusantara Indonesia,38797
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,37426
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,33567
107611851968705,Sumsel Dukung Ganjar,Ganjar Nusantara Indonesia,32547
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,29657
101491652672085,Gagasan Banyuasin,Ganjar Nusantara Indonesia,27738
173776079818775,Saiful Mujani,Saidiman,23229
197545083607941,Harian Kompas,Harian Kompas,22941
111241268349257,Ogan Komering ilir Cerita,Ganjar Nusantara Indonesia,22037
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,13327
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,10450
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,9057
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,8632
104622532469179,Populis,Aditia Ramdani,8118
101203454841155,Kota Kite,Prayogo,7502
101552865962561,GP Oku Raya,Ganjar Nusantara Indonesia,7040
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,6657
106883058905796,Tanda Seru,Aditia Ramdani,6383
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,5765
100493776029547,SiCaleg - Aplikasi Pemilihan Legislatif,SiCaleg,5696
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,5277
101428652793656,Readktif,Aditia Ramdani,4501
756567881057213,Airlangga Hartarto,Airlangga Hartarto,4442
101101492306034,Mega News,Siti Sarah Iskandar,4343
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,4258
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,4254
111705291366075,Sobat Erick Thohir,Antonius Maghu Ate,4204
103581752405141,Sobar Harahap,Juniar Dwi Harianto,3947
108156498584853,Tetap Puan,Marabunta Family Cyber,3881
109916735140811,Lampung Tengah Berfikir,Ganjar Nusantara Indonesia,3850
138714910025360,Saidiman Ahmad,Saidiman,3829
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,3595
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,3145
111874238435241,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,2267
107241861191421,Ilmu Tambang,Ilmu Tambang,2174
100398849135155,Sandiku Sayang,Iwan Hardiansyah,2124
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,1997
104830667806476,Melihat Indonesia,Melihat Indonesia,1901
104427162506872,Fakta Anies,Fakta Anies,1504
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,1445
110952238516382,Kiki Daliyo,Dwi Wantoro,1359
103866218070109,Bung Idris,Muhammad Idris Siregar,1187
574236045962475,Tech in Asia ID,These ads ran without a disclaimer,872
110750361762052,Pikiran Rakyat,Desta Darmawansyah,837
109635261356229,"Bornok Simanjuntak, SH, MH",Bornok Simanjuntak,798
164800207258203,SUARANTB.com,SUARANTB.com,692
111882761429956,Export Academy IDN,These ads ran without a disclaimer,631
104843487722931,Portal Islam id,Portal Islam ID,626
105195635486519,Klise Nusantara,Ganjar Nusantara Indonesia,549
103843898131169,Zehufa,Zehufa,540
113058461386521,Mercusuar Indonesia,Ganjar Nusantara Indonesia,430
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,399
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,379
104799384898162,Indonesia Berkabar,Ganjar Nusantara Indonesia,345
101338198587608,Indonesia Luar Biasa,Ganjar Nusantara Indonesia,345
105112735654519,South-South Youth Platform,These ads ran without a disclaimer,310
202555993805088,Caption,Ganjar Nusantara Indonesia,227
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,213
240326642745935,Change.org,Change.org Indonesia,200
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,≤100
53298096310,Prague City University,These ads ran without a disclaimer,≤100
107690102033332,Diskusi Tanggamus,Ganjar Nusantara Indonesia,≤100
285530825204,Klitschko,These ads ran without a disclaimer,≤100
124377194285112,Jfranews - جفرا نيوز,These ads ran without a disclaimer,≤100
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100
103235859312409,Probably immigration,These ads ran without a disclaimer,≤100
107302922233781,Komuro homeland,These ads ran without a disclaimer,≤100
190386637655399,C40 Cities,These ads ran without a disclaimer,≤100
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100
