Page ID,Page name,Disclaimer,Amount spent (COP)
117374017630746,Limpieza con Derechos,Jerson David Londoño Pineda,7225
101071764864119,Dulce Veneno,Dulce Veneno,6841
299469560099835,Alcaldía de Cali,Alcaldía de Cali,2843
478500199550158,Luis Miguel Acosta,These ads ran without a disclaimer,1624
765302097170348,Línea Cero,Linea Cero,1542
1823807254333065,Soy Más País,Soy Mas Pais,1523
1961087004115019,Zijin-Continental Gold Colombia,Zijin-Continental Gold,1418
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,1248
643513979193133,Unidos por Beatriz,Neuma,1232
861234197280988,Stefany Gómez Concejala de Armenia,Stefany Gomez Murillo,1004
130834367164,Red PaPaz,Red PaPaz,972
257401965136834,Carlos Marroquín Luna Diputado,Carlos Andres Marroquin Luna,957
471698040072735,Leonardo Siagama/Alcalde P/R,Leonardo Siagama,933
113149344929527,Loly Montañez,Loly Montañez,890
108875804858437,Antimilitantes,Antimilitantes,850
1119413181474050,El Avispero Mov,Movilizatorio,834
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,749
252640334936797,Skandia Colombia,Kelly Vanessa Cuellar Garces,630
407615769604377,Mutante,Fundación Mutante,500
105848177845789,All Out en español,All Out Action Fund,478
2347968758813268,Julito Romero,Julito Romero,443
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,392
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sanchez,320
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,287
200207836752561,Opinión Caribe,Opinión Caribe,270
188371488749555,Mauro Marquez,Mauricio Marquez Valencia,165
1529335724037224,Aeropuerto del Café,INTUAL,157
106892197676696,Pedro León Martínez,Pedro León Martínez Sánchez,153
133270296713864,Aldeas Infantiles SOS Colombia,These ads ran without a disclaimer,≤100
835710939898329,Paulina Aguinaga,Paulina Aguinaga,≤100
655227911200346,Carlos Edward Osorio,Carlos Edward Osorio,≤100
299604886911205,Tizumba Online,Tizumba Online,≤100
321371755010310,Bolivarball,Joe Luis Pastrana Fuentes,≤100
100319211712051,Walter Salas,Walter Manuel Salas Quinto,≤100
