Page ID,Page name,Disclaimer,Amount spent (IDR)
302826799886864,Relawan PUAN 2024,Puan 2024,89444
23383061178,Prabowo Subianto,indonesia Adil makmur,67203
110195338413992,GP Kalimantan Tengah,Ganjar Nusantara Indonesia,53707
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,48956
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,46737
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,37084
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,22839
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,19266
104769328970097,Joedea Aris Theofilus,Partai Solidaritas Indonesia,17587
197545083607941,Harian Kompas,Harian Kompas,14392
102317908914727,Climate Justice Indonesia,Climate Justice Indonesia,6944
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,6609
101203454841155,Kota Kite,Prayogo,6186
173776079818775,Saiful Mujani,Saidiman,5633
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,5545
106883058905796,Tanda Seru,Aditia Ramdani,5387
104622532469179,Populis,Aditia Ramdani,5108
101428652793656,Readktif,Aditia Ramdani,4464
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,3821
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,3065
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,3003
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,2852
100493776029547,SiCaleg - Aplikasi Pemilihan Legislatif,SiCaleg,2813
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,2484
756567881057213,Airlangga Hartarto,Airlangga Hartarto,2343
106674122146910,Warta Banjarmasin,Ganjar Nusantara Indonesia,2332
108629635281587,Meditasi Banjar,Ganjar Nusantara Indonesia,2275
101338198587608,Indonesia Luar Biasa,Ganjar Nusantara Indonesia,2224
104830667806476,Melihat Indonesia,Melihat Indonesia,2204
105308715676825,Filosofi Indonesia,Ganjar Nusantara Indonesia,2123
105195635486519,Klise Nusantara,Ganjar Nusantara Indonesia,2107
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,2067
113058461386521,Mercusuar Indonesia,Ganjar Nusantara Indonesia,2041
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,2026
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,1969
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,1906
104799384898162,Indonesia Berkabar,Ganjar Nusantara Indonesia,1889
202555993805088,Caption,Ganjar Nusantara Indonesia,1813
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,1695
110750361762052,Pikiran Rakyat,Desta Darmawansyah,1423
107565455160464,Indonesia Opini,Ganjar Nusantara Indonesia,1417
111874238435241,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,1375
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,1295
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,1220
108676115131939,Nusantara Cerdas,Ganjar Nusantara Indonesia,1190
100398849135155,Sandiku Sayang,Iwan Hardiansyah,1157
100676262667808,Story Nusantara,Ganjar Nusantara Indonesia,1093
101101492306034,Mega News,Siti Sarah Iskandar,1072
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,1063
103581752405141,Sobar Harahap,Juniar Dwi Harianto,1003
138714910025360,Saidiman Ahmad,Saidiman,890
103421759149899,Geocorner Indonesia,Geocorner,599
110952238516382,Kiki Daliyo,Dwi Wantoro,583
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,495
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,381
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,351
108156498584853,Tetap Puan,Marabunta Family Cyber,329
109635261356229,"Bornok Simanjuntak, SH, MH",Bornok Simanjuntak,309
110475395120445,rogembakeryid,These ads ran without a disclaimer,296
104843487722931,Portal Islam id,Portal Islam ID,269
103843898131169,Zehufa,Zehufa,171
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,151
748306718584642,ERM Academy,These ads ran without a disclaimer,143
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,128
150519098896245,kumparanMOM,PT. Dynamo Media Network,127
104427162506872,Fakta Anies,Fakta Anies,≤100
164800207258203,SUARANTB.com,SUARANTB.com,≤100
102273039070802,Info Terkini,Muhammad Miftakhunnaim,≤100
108511588277325,Galeria Konveksi,Solehudin,≤100
1174847822671073,Kawan Anis Fauzan,These ads ran without a disclaimer,≤100
699823740179321,IndonesiaBaik.Id,These ads ran without a disclaimer,≤100
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,≤100
107635435540234,• Lendy Alief,These ads ran without a disclaimer,≤100
526327500799853,China.org.cn,These ads ran without a disclaimer,≤100
1452232881531908,UNICEF East Asia & Pacific,These ads ran without a disclaimer,≤100
