Page ID,Page name,Disclaimer,Amount spent (IDR)
23383061178,Prabowo Subianto,indonesia Adil makmur,174363
111431385073299,G24 Golkar Bengkulu,Yayasan Golkar Institute SPKP,162191
302826799886864,Relawan PUAN 2024,Puan 2024,95436
101220845990276,GP Bengkulu,Ganjar Nusantara Indonesia,89738
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,65628
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,50432
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,29764
104769328970097,Joedea Aris Theofilus,Partai Solidaritas Indonesia,25539
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,25359
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,16676
101203454841155,Kota Kite,Prayogo,11361
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,10343
104622532469179,Populis,Aditia Ramdani,9837
101428652793656,Readktif,Aditia Ramdani,9090
106883058905796,Tanda Seru,Aditia Ramdani,8634
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,7081
101552865962561,GP Oku Raya,Ganjar Nusantara Indonesia,6080
197545083607941,Harian Kompas,Harian Kompas,5044
1823021624408804,"Franco Escobar, S.Kom.",These ads ran without a disclaimer,4985
173776079818775,Saiful Mujani,Saidiman,4982
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,4685
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,4259
100493776029547,SiCaleg - Aplikasi Pemilihan Legislatif,SiCaleg,3147
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,3110
102317908914727,Climate Justice Indonesia,Climate Justice Indonesia,2326
107965558190911,Bansos by DTKS,Mirza Eko Purwanto,2236
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,1936
100738338510838,Bangkitlah Indonesia,Iwan Hardiansyah,1851
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,1594
101101492306034,Mega News,Siti Sarah Iskandar,1565
110750361762052,Pikiran Rakyat,Desta Darmawansyah,1537
113058461386521,Mercusuar Indonesia,Ganjar Nusantara Indonesia,1480
104830667806476,Melihat Indonesia,Melihat Indonesia,1475
202555993805088,Caption,Ganjar Nusantara Indonesia,1434
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,1425
100398849135155,Sandiku Sayang,Iwan Hardiansyah,1391
102060486500863,The Jakarta Post,PT. Bina Media Tenggara,1386
756567881057213,Airlangga Hartarto,Airlangga Hartarto,1377
105195635486519,Klise Nusantara,Ganjar Nusantara Indonesia,1369
104799384898162,Indonesia Berkabar,Ganjar Nusantara Indonesia,1368
111874238435241,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,1183
103581752405141,Sobar Harahap,Septian Raharjo,1158
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,1106
101338198587608,Indonesia Luar Biasa,Ganjar Nusantara Indonesia,1092
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,1038
100248349384577,Jateng Dukung Ganjar,Ganjar Nusantara Indonesia,1036
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,1035
105308715676825,Filosofi Indonesia,Ganjar Nusantara Indonesia,1021
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,872
102273039070802,Info Terkini,Muhammad Miftakhunnaim,846
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,778
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,772
103581752405141,Sobar Harahap,Juniar Dwi Harianto,734
103421759149899,Geocorner Indonesia,Geocorner,714
107565455160464,Indonesia Opini,Ganjar Nusantara Indonesia,709
108676115131939,Nusantara Cerdas,Ganjar Nusantara Indonesia,695
138714910025360,Saidiman Ahmad,Saidiman,646
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,640
100676262667808,Story Nusantara,Ganjar Nusantara Indonesia,554
100879728277263,100 Juta Like Fans Berat Jokowi-Ahok,H. Dimjati,545
108511588277325,Galeria Konveksi,Solehudin,492
110952238516382,Kiki Daliyo,Dwi Wantoro,384
150519098896245,kumparanMOM,PT. Dynamo Media Network,302
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,293
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,273
211489955729025,KompasData,Harian Kompas (PT Kompas Media Nusantara),211
748306718584642,ERM Academy,These ads ran without a disclaimer,210
108156498584853,Tetap Puan,Marabunta Family Cyber,187
109635261356229,"Bornok Simanjuntak, SH, MH",Bornok Simanjuntak,183
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,181
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,181
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,164
699823740179321,IndonesiaBaik.Id,These ads ran without a disclaimer,155
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,151
100739975934515,Kemajuan Tanah Air,Muhammad Miftakhunnaim,149
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,123
104843487722931,Portal Islam id,Portal Islam ID,120
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,104
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,≤100
164800207258203,SUARANTB.com,SUARANTB.com,≤100
310703725949149,Direktorat Jenderal Pengelolaan Pembiayaan dan Risiko,These ads ran without a disclaimer,≤100
111705291366075,Sobat Erick Thohir,Antonius Maghu Ate,≤100
285530825204,Klitschko,These ads ran without a disclaimer,≤100
