Page ID,Page name,Disclaimer,Amount spent (PYG)
105587720883344,Bettina Aguilera,Bettina Rosmary Aguilera Paniagua,328970
945217102186450,Vidal Vázquez,Miguel Acosta Benitez,180375
1011833908887463,Atilio Alegre,IMAGEN DE GOBIERNO,98078
124625661665046,Patrick Kemper,Patrick Paul Kemper Thiede,91266
451746952056165,Gustavo Acosta,Gustavo Joaquin Acosta Fonseca,62614
120061519391875,César Paredes,César Paredes,62559
1391426980934349,Arnaldo Barreto,Ricky Andreoni Acosta,56042
102467002671611,Jorge Heisecke,Jorge Heisecke,52358
430961180344844,EVER VILLALBA,Ever Federico Villalba Martinez,50505
153958777947957,Paulo Reichardt,Paulo Reichardt,34733
185965839618035,Equipo A,Sofia Guadalupe Gamarra Folgiarini,26393
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,20535
517426394969535,Ricardo Canese,Ricardo Canese,13630
103040788902949,Concertación Nacional 2023,Rocio Magali Moreno Vera,11881
292909490881181,Carlos Echeverría Intendente,TEJUParaguay,10770
1753251591598763,Dani Mujica,Celso Kevin Ramon Sánchez Florentin,10712
105545157610039,Euclides Acevedo,Euclides Roberto Acevedo Candia,9668
479205188774372,Roberto Gonzalez Vaesken,These ads ran without a disclaimer,9112
420279778178605,Adelaida Diputada 2023,Adelaida Cantero De Torres,8758
1734894683407567,Municipalidad Hernandarias,Eric Fabian Benitez,8344
724051717643013,Miguel Prieto,Celso Kevin Ramon Sánchez Florentin,7694
368247363370300,LATITUD 25,Latitud 25,7215
108982768685910,Cynthia Rios Candidata,Wilson Armoa,7215
1810962229216340,Fidel Zavala,Laura Lorena Meaurio Paniagua,7215
441529192988697,Rubén Penayo Senador 40/44,Rubén Penayo Senador 40/44,5949
101694278594292,Nelson Cano,Eric Fabian Benitez,4900
1711765125817047,Aldo Florentin,IMAGEN DE GOBIERNO,4367
107558844100122,Pastor Filártiga,Pastor Filártiga,4178
1151984808290856,Hugo Portillo,Hugo Portillo,4147
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,3940
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,3940
141678063114851,Ruben Velazquez,Dalva Natividad Acosta Vallejos,3104
1600485953606097,Abg. Javier Valdez,Abg. Javier Valdez,2734
102887709202228,Pedro Mayor Martinez- Candidato a Senador,Antonio Morinigo,2679
110662667866703,Braulio Riquelme Concejal 2021,Braulio Ramon Riquelme Ferreira,2661
105872245439208,Pelusa Senadora,Maria Yolanda Del Rosario Moreno de Ruíz,2430
359307964420456,Terere Cómplice,Meli Olavarrieta,2332
109400298573862,Dr. Víctor Ocampos Gobernador Paraguarí,Victor Luis Ocampos Gómez,703
160267643996513,Juanjo Arnold,Juan Jose Arnold Garcia,536
152914224736727,Banco Mundial,These ads ran without a disclaimer,505
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,191
1039675682714205,스브스뉴스,These ads ran without a disclaimer,≤100
1310731702357133,GEN,GEN,≤100
131857626888341,Aceprensa,These ads ran without a disclaimer,≤100
227622537655549,CGTN en Español,These ads ran without a disclaimer,≤100
