Page ID,Page name,Disclaimer,Amount spent (COP)
309383129136101,Secretaría Gobierno de Bogotá,Julian Esteban Cardona Reyes,51732
1052668304757955,Eduard Sarmiento Hidalgo,Eduard Sarmiento Hidalgo,40282
108228068238348,Diego Caicedo,Diego Caicedo,29633
106706618968908,Contreras,Efrain Eduardo Contreras Ramirez,17850
105575860832729,Álvaro Andres Toro parra,Alvaro Andres Toro Parra,16450
101071764864119,Dulce Veneno,Dulce Veneno,11237
901681709949359,TendenciaSocial.com,Indigo Enterprise,10430
117374017630746,Limpieza con Derechos,Jerson David Londoño Pineda,6165
102106249390475,Firmeza,Firmeza,5685
251292808253299,Canadian College,Canadian College,4838
105848177845789,All Out en español,All Out Action Fund,3770
108459260282,Universidad La Gran Colombia,Universidad La Gran Colombia,2579
351159188879266,Fabian Camilo Rojas,Fabian Camilo Rojas Barrera,2442
1119413181474050,El Avispero Mov,Movilizatorio,2073
1961087004115019,Zijin-Continental Gold Colombia,Zijin-Continental Gold,2020
213798789191992,Partido de la U Col,Partido Social de la Unidad Nacional,2002
734195543347719,Javier Julio Bejarano,Javier Julio Bejarano,1947
832088667125644,Andres Trujillo,Andres Ivan Trujillo Sanchez,1874
1588561874548381,Carlos Alfredo García - Abogado,Carlos Alfredo García - Abogado,1680
643513979193133,Unidos por Beatriz,Neuma,1664
1130613886971903,Alejandro Abuchar,Byron Andres Velez Valdes,1573
1823807254333065,Soy Más País,Soy Mas Pais,1304
113149344929527,Loly Montañez,Loly Montañez,1228
108875804858437,Antimilitantes,Antimilitantes,1159
204435366254477,IETA - Instituto de Estudios Técnicos Aeronáuticos,William Guillermo Delgado Lopez,1145
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sanchez,1095
133787883971402,Oscar Ramírez Vahos,Oscar Ramirez Vahos,1066
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,997
365259027010440,Rigoberto Alfonso Pérez,Rigoberto Alfonso Perez,896
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,879
765302097170348,Línea Cero,Linea Cero,825
295277256700,Concejal María Victoria Vargas Silva,Carmen Pumarejo,739
307952930086094,Boyacá Visible,Comunitic sas,699
108158921672438,Llener Borja,Alvaro Jose Gomez Ramirez,543
109810958651903,Daniel Duarte Pabón candidato a Representante de los Egresados UIS 2023,Daniel F Duarte Pabón,406
602624820222269,Antonio Garcia,Antonio Jose Garcia De La Rosa,378
1529335724037224,Aeropuerto del Café,INTUAL,365
698356406943030,William Rosas Concejal Alianza Verde,Julian Ricardo Echeverry Rodriguez,350
252640334936797,Skandia Colombia,Kelly Vanessa Cuellar Garces,327
381464961911270,Cruz Roja Antioquia,Cruz Roja Colombiana Seccional Antioquia,314
179003239458192,Jorge Humberto Rangel,Jorge Rangel,284
1400280116941194,Fabian Diaz,Fabian Diaz,272
106892197676696,Pedro León Martínez,Pedro León Martínez Sánchez,267
835710939898329,Paulina Aguinaga,Paulina Aguinaga,265
188371488749555,Mauro Marquez,Mauricio Marquez Valencia,220
2281070281984444,Juan Sebastián Jiménez,Juan Sebastian Jimenez Jimenez,206
655227911200346,Carlos Edward Osorio,Carlos Edward Osorio,183
109144195363366,Colombia Informa,These ads ran without a disclaimer,173
196925414520506,Miguel Ángel Moreno,Miguel Ángel Moreno,131
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,117
101210759431441,Subsidios actual,These ads ran without a disclaimer,116
104685404667057,Fundación Mentes Innovadoras,These ads ran without a disclaimer,≤100
626538870727500,Movimiento Indignados Colombia,These ads ran without a disclaimer,≤100
861234197280988,Stefany Gómez Concejala de Armenia,Stefany Gomez Murillo,≤100
455756068320371,Litefilos,These ads ran without a disclaimer,≤100
2347968758813268,Julito Romero,Julito Romero,≤100
110578875070860,viveelmeta.com,Vive El Meta,≤100
