Page ID,Page name,Disclaimer,Amount spent (ARS)
1002311333139930,Gobierno de Entre Ríos,Gobierno de Entre Ríos,14830
624986924234661,Gustavo Bordet,Partido Justicialista Entre Ríos,9625
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,3867
1188673574495575,Laura Stratta,Laura Stratta,3679
442285665919263,Enrique Cresto,equipo digital,2541
223506754358437,LaOpinionPopular.com.ar,Carlos Blas Garcia,1751
1546712922304737,Dionisio Scarpin,Dionisio Scarpin,1606
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,1485
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,1350
414147902070636,Políticas para la República,Políticas para la República,1349
1417399711848105,Fabian Rogel,Rogel Fabian,1139
680986725302906,Roberto Mirabella,Hacemos Santa Fe,724
114671484578218,Concordia YA,Concordia YA,614
106335465504631,Concordia Digital,Concordia Digital,588
106860735459949,Pasa en Concordia Noticias,Pasa en Concordia Noticias,581
106198024083548,César Simino,Cesar Simino,461
1541309082818851,Municipio de Viale,Municipio de Viale,396
103088924366000,Noticias d,Noticias d,389
101996084777901,Mariela Belski,Mariela Belski,382
101461679269504,Paraná Merece,Oscar Hugo Pintos,373
141991679847091,Taquion,Taquion,339
699758330894365,Actualidad Argentina,Actualidad Argentina,337
111600998225620,Noticias Zero,Noticias Zero,295
111064391804839,Argentina Productiva,Argentina Productiva,274
544986472243896,Data Diario,Data Diario,223
335926266503071,7D,7D,202
131381938371647,Corta La Bocha Noticias,Corta La Bocha,202
108072227440,El Territorio,El Territorio,196
110276628358382,El Autónomo,El Autónomo,196
125183747539071,Noticias Argentinas,Noticias Argentinas,188
104147274759706,Periodismo de Izquierda,Periodismo de Izquierda,184
101349631999937,Noticias para el Cambio,Noticias para el Cambio,177
362315123823816,Municipalidad de San Miguel de Tucumán,Municipalidad de SM de Tucumán,170
102570774863673,LOBBY,LOBBYEscuela,159
108679841853325,Contame Más,Contame Más,149
107631983989726,Argentina Federal,Argentina Federal,146
149721655226597,Oscar Cachi Martinez,Oscar Martínez,145
796480967084066,Cele Fierro,MST Movimiento Socialista de los Trabajadores,130
259111760849274,Federico Angelini,Juntos por el Cambio,122
544640985878621,Argentinos Online,Argentinos Online,116
1405120706440456,Conclusión,Diario Conclusión,111
1676408809269820,Municipio Bahía Blanca,Municipalidad de Bahía,105
164433833587600,Todo Negativo,Todo Negativo,101
452525851510103,Nicolás del Caño,Frente de Izquierda,≤100
