Page ID,Page name,Disclaimer,Amount spent (EUR)
148427235188637,СДСМ - Социјалдемократски сојуз на Македонија,СДСМ - Социјалдемократски сојуз на Македонија,≤100
829371753904952,Hristijan Mickoski,ВМРО-ДПМНЕ,≤100
101519168409673,Dimitar Kovacevski,Димитар Ковачевски,≤100
563620440357466,НВО Инфоцентар,NVO Infocentar,≤100
324459714339171,Civil MK,Civil MK,≤100
101245041522588,Blerim Bexheti,Blerim Bexheti,≤100
192483774872658,Демократи,Демократи,≤100
489378444428334,Brif.mk,Brif.mk,≤100
216014178764093,Timco Mucunski,Timco Mucunski,≤100
255990845327431,Левица,Левица / E majta / Levica,≤100
400497373674524,СамоПрашај.мк,Institut za komunikaciski studii,≤100
