Page ID,Page name,Disclaimer,Amount spent (CRC)
643513979193133,Unidos por Beatriz,Neuma,1563
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,592
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,592
265843867173714,La Revista,La Revista,374
102084562479533,Digital506,Digital506,331
110229697990927,Pablo Sibaja - Diputado,Pablo Sibaja Jiménez,≤100
288728395387167,Revista Abril,These ads ran without a disclaimer,≤100
102368071158002,Solis Latam,These ads ran without a disclaimer,≤100
525464397477321,Cambia TU VIDA YA,These ads ran without a disclaimer,≤100
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,≤100
