Page ID,Page name,Disclaimer,Amount spent (EUR)
116353271736965,European Parliament in Malta / Il-Parlament Ewropew f'Malta,European Parliament Office in Malta,≤100
325981127456443,kellimni.com,Claudia Taylor East,≤100
618663318144317,Graham Bencini,Graham Bencini,≤100
506829903185337,Doctors for Choice Malta,Doctors for Choice,≤100
113095853899600,Medik Store Malta,Medik Malta,≤100
656955664383156,Alex Agius Saliba,Alex Agius Saliba,≤100
110298813928985,Bartolo J Ivan,Ivan Bartolo,≤100
178362315106,European Parliament,European Parliament,≤100
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100
147547541961576,Council of the European Union,Council of the European Union,≤100
1592315247711321,Alex Mangion,Alex Mangion,≤100
101948514879068,JournalismPlus - Victor Paul Borg,Victor Borg,≤100
63044235866,UN Climate Change,UN Climate Change with Facebook Ad Credits,≤100
578649719470540,Ray Abela,Raymond Abela,≤100
115393638502087,CPHI,These ads ran without a disclaimer,≤100
102179261527450,BusinessNow.mt,These ads ran without a disclaimer,≤100
109184428639401,TaxTris,These ads ran without a disclaimer,≤100
327115907736300,Asia Global Institute,These ads ran without a disclaimer,≤100
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100
