Page ID,Page name,Disclaimer,Amount spent (PYG)
102940895895901,Victor Herreros Gimenez,Victor Herreros,2083
102467002671611,Jorge Heisecke,Jorge Heisecke,1975
103040788902949,Concertación Nacional 2023,Rocio Magali Moreno Vera,1329
107833595148374,Diputado José Rodríguez 2023 - 2028,Diputado José Rodríguez 2023 - 2028,974
101840779897426,Cristian Cardozo,Cristian Antonio Cardozo Villalba,612
106721948731693,Prof. Aldo Centurión López,Prof. Aldo Centurión López,605
292909490881181,Carlos Echeverría Intendente,TEJUParaguay,511
1151984808290856,Hugo Portillo,Hugo Portillo,511
1832577620365172,Eusebio Ramón Ayala Senador 2023,Manu Nuñez Franco,454
111912341409356,Centinela del Norte,Centinela del Norte,331
517426394969535,Ricardo Canese,Ricardo Canese,174
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,155
100445112671378,Fernando Camacho Senador 2023,Norma Graciela Ávalos Lezcano,125
279495618730067,MANUEL RADICE,Manuel Radice,120
459778430886026,Posgrado Universidad Columbia,Posgrado Columbia,109
105872245439208,Pelusa Senadora,Maria Yolanda Del Rosario Moreno de Ruíz,≤100
109779868441305,Gaby Russo,Maria Gabriela De Jesus Russo Yubero,≤100
359307964420456,Terere Cómplice,Meli Olavarrieta,≤100
724051717643013,Miguel Prieto,Celso Kevin Ramon Sánchez Florentin,≤100
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,≤100
255852854856739,"Marco Augusto Ferreira, Autor",Marco Augusto Ferreira Acuña,≤100
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,≤100
1468570519872644,Santiago Peña,PRANA SA,≤100
100566575581065,Ramón Montanía,Ramón Montania Fernandez,≤100
