Page ID,Page name,Disclaimer,Amount spent (TRY)
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,377
100910024639566,Ali Babacan,Deva Partisi,238
280129325440416,Saadet Partisi İzmir,Saadet Partisi İzmir,211
105376981385020,Referandom,Referandom,152
483282718428036,Meral Akşener,İYİ Parti,≤100
1450169428329951,Şarkul Avsat Türkçe,Şarkul Avsat Türkçe,≤100
575755372513811,Muhittin Böcek,Antalya Büyükşehir Belediyesi,≤100
1952748275030916,Kürşad Mithat ÖZKAN,Kursad Mithat Ozkan,≤100
498108350567415,Nilüfer Deveci,Nilufer Deveci,≤100
1607756506152025,Ahmet AYDIN,Ahmet AYDIN,≤100
117491812983397,Yurttan Sesler,Yurttan Sesler,≤100
2176700602589333,Dr. Mustafa İduğ,Dr. Mustafa İduğ,≤100
133831020087340,Kemalpaşa Aktüel,Fadime Filiz Eroglu,≤100
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,≤100
197750943681205,Antalya Büyükşehir Belediyesi,Antalya Büyükşehir Belediyesi,≤100
306491676172909,Gerçek Gazetesi,Gerçek Gazetesi,≤100
127896160644676,KORAY AYDIN,KORAY AYDIN,≤100
101198518278121,Mehmet Selim Girbiyanoğlu,Mehmet Selim Girbiyanoglu,≤100
103167881182863,Temiz Enerji Haber Portalı,Temiz Enerji Haber Portalı,≤100
562429187164086,Hilmi Türkmen,Üsküdar Belediyesi,≤100
145814368809315,Kadıköy Belediyesi,Kadıköy Belediyesi,≤100
106870015200409,TR99,TR99,≤100
219031704851494,SAS (Satın Almayın Sahiplenin),Fırat Yıldız Ahmet,≤100
1883376938386253,Ebedi Başkomutan Atatürk,Huseyin Rahat,≤100
1093710237307888,TV 9,Numan Zeliha Ölmez,≤100
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,≤100
263743343658381,Yarın,Yarın,≤100
319374238130637,Osman Gürün,Osman Gurun,≤100
154119912000220,Muhittin Böcek Severler,Muhittin Böcek Severler,≤100
113944458195273,Rahmi Mete AY,Rahmi Mete Ay,≤100
112868328334173,Turgut Özal,Rahmi Mete Ay,≤100
144096473392,Yeşil Gazete,Yeşil Gazete,≤100
100665102848993,Gün Gün Kurtuluş,İlker  Tanrıverdi,≤100
108552928182311,Al Sancak Partisi,Nuri Çelebi,≤100
111529041357422,Hakan Ataman,Hakan Ataman,≤100
106392071422432,denizbagriacik,These ads ran without a disclaimer,≤100
759960337453594,Reis Erdoğan,Huseyin Rahat,≤100
1435320236741754,Üsküdar Kültür Sanat,These ads ran without a disclaimer,≤100
104373561467884,Serhat Servet Dövenci,Serhat Servet Dövenci33,≤100
107924807410702,Samet Bağcı,Samet Bağcı,≤100
283657205667155,Mustafa Ali Fırtına,Mustafa Ali Firtina,≤100
834954409860187,Gamze Akkuş İlgezdi,Gamze Akkuş İlgezdi,≤100
109632007076932,Türkiye Müteahhitler Birliği,TÜRKİYE MÜTEAHHİTLER BİRLİĞİ,≤100
2040128776040928,Yelda Erol Gökcan,TBMM,≤100
1614212022160759,Fehmi Yağlı,Fehmi Yagli,≤100
1386832938211808,Doç. Dr. Necmettin Çalışkan,Beyzade Fm & Tv ile anlaşmalı,≤100
298764070816267,Mehmet Tütüncü,Mehmet TÜTÜNCÜ Türkiye Temsilcisi,≤100
103635305942024,Adnan Kahveci,Rahmi Mete Ay,≤100
1479844995563646,Keşan Belediyesi,Keşan Belediyesi,≤100
100431406701471,Internethaber,Internethaber,≤100
100781979560771,Adnan Menderes,Rahmi Mete Ay,≤100
100516989042507,Balıkesir Posta TV,Ahmet Namlı,≤100
101562712339885,polismevzuat_com,These ads ran without a disclaimer,≤100
1572709256359993,İnternethaber TV,HADİ ÖZIŞIK,≤100
463215923715177,Mehmet Yiğiner,Bekir Koyuncu,≤100
103098904742608,Murat Serdar Koç,Murat Serdar Koc,≤100
984877918214362,Samsun Haber,Samsun Haber,≤100
105483149085389,Selahattin Uzun,Selahattin Uzun,≤100
699656173479980,Yörem Gazetesi,Murat Özyıldırım,≤100
101700471513125,Kadir Aydın,Kadir Aydın,≤100
100729588398227,Ak Parti/MHP/BBP Cumhur İttifakı,Erol Cihangir,≤100
154789865174518,İYİ Parti Zeytinburnu İlçe Başkanlığı,İYİ Parti Zeytinburnu İlçe Başkanlığı,≤100
104691722197784,صحيفة الاستقلال - العربية,صحيفة الاستقلال,≤100
481582842321978,İbrahim Güzel,Ibrahim Güzel,≤100
1085457468132635,DEV MADEN SEN,DEV MADEN SEN,≤100
365305797600089,İbrahim Palaz,Ibrahim Palaz,≤100
189962161189070,İsmailağa Camii,İsmailağa camii,≤100
1200081026672751,"Habitat Mesire Yerleri,Yedigöller",These ads ran without a disclaimer,≤100
106197277802679,H24,H24,≤100
106634358703551,Yirmidört Uydu ve Güvenlik Sistemleri,These ads ran without a disclaimer,≤100
105370012290787,Melih Yıldız,Melih Yıldız,≤100
103591279192672,شتات نيوز - Shatat News,These ads ran without a disclaimer,≤100
324253041382779,Xavier Cormier,These ads ran without a disclaimer,≤100
1601274913421469,Voices with Refugees - أصوات مع اللاجئين,These ads ran without a disclaimer,≤100
2420268291542853,China Resources Group,These ads ran without a disclaimer,≤100
