Page ID,Page name,Disclaimer,Amount spent (INR)
103704155350118,Gates Foundation India,The Bill & Melinda Gates Foundation,≤100
411129449009589,K.C. Venugopal,K.C.Venugopal,≤100
109986065209042,Mera Apna Rahul,Mera Apna Rahul,≤100
204318116677554,National Herald,National Herald,≤100
20386543316,WWF-India,Mukesh Nauhwar,≤100
1510631479236816,Hawa Badlo,social cloud ventures Pvt Ltd,≤100
109986065209042,Mera Apna Rahul,MeraApnaRahul,≤100
2073183832762291,Meri Neta - Priyanka Gandhi,Jitender Kumar Bhardwaj,≤100
103782051383159,School of Politics,School of Politics,≤100
104052753400618,Union Bank of India,Goldmine Advertising Limited,≤100
139329159472557,Amarinder Singh Raja Warring,Chanpreet Singh Sehgal,≤100
30290552843,Greenpeace India,Greenpeace India Society,≤100
761826677309909,Bhupinder Lather,Book My Promo,≤100
1521106071438318,CMO Chhattisgarh,Clarion IT,≤100
150727778825020,Mobius Foundation,Mobius Foundation,≤100
1559470284286071,M.K.Somashekar,Pranusha Mysore Somashekar,≤100
953600271404690,BJP Meghalaya,Bharatiya Janata Party,≤100
100735178208398,Udyami India,Samadhan Samiti,≤100
110846984022901,MPIDC,Anand Raj Singh,≤100
100196004828444,North Eastern Council,Sourabh Arvind Dubey,≤100
180004642020645,IIHMR University,These ads ran without a disclaimer,≤100
110540565228341,Ganguly H Kurabathalli,Ganguly H Kurubathalli,≤100
100574939255052,Shantaram Katke,Shreeyash Anant Karale,≤100
224618077692752,Sanjay Tandon,Saraansh Tandon,≤100
1110178129121993,Ashok Vishnoi IRS,Pawan Kumar Sharma,≤100
552159824873262,Kethireddy M.L.A,Venkata Krishna Reddy Kethireddy,≤100
101713962007976,Amrit Mahotsav,Amrit Mahotsav,≤100
104656344931338,Pravesh Agrawal,Swanit Infotech,≤100
276512419511205,Kathi Karthika,Policy Briefcase,≤100
179765292047054,Manickam Tagore,Kathiresan K,≤100
105564491947115,Y.S Jagan Mohan Reddy AP C.M,Jayarami Reddy,≤100
146177392223532,Indian National Congress - Punjab,Chanpreet Singh Sehgal,≤100
384000501947350,Devendra Yadav,Think First,≤100
21169267101,Give,Give,≤100
466642616726169,Parul University,Parul University,≤100
647244058952240,Jaypal Singh Chawda,Shakti Singh Rajput,≤100
597390903632465,Sukhminderpal Singh Grewal,Sukhminderpal Singh Grewal,≤100
106511552276500,ಬನವಾಸೆ ರಂಗಸ್ವಾಮಿ,Sourabh Tirpude,≤100
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,≤100
404746486258732,Project Nanhi Kali,These ads ran without a disclaimer,≤100
577856385582447,Raghu Sharma,Kanishk Bansal,≤100
104516512296314,Kartikeya Sharma,Adv Tech,≤100
184278081698180,Ashok Gehlot,Ashok Gehlot,≤100
100955531352855,Zinitax.in,Tilak Raj Sharma,≤100
320383098135177,Bharatiya Yuva Shakti Trust - BYST,Bharatiya Yuva Shakti Trust - BYST,≤100
103214551475043,Akhoury Onkar Nath,Kumar Ratnam Sharma,≤100
107946518029943,Sheelu Sahu,Naveen Singhal,≤100
594856377269199,Dandem Ram Reddy,Dandem Ram Reddy,≤100
106949818442504,The Water Chronicles,Prithviraj Nath,≤100
736338686396054,Rafique Mandelia,Webtix,≤100
245528646359816,Vipul Sharma,Engitech Media,≤100
132495066874513,GAIL (India) Limited,social cloud ventures,≤100
1706371292942156,"Ministry of Development of North Eastern Region, Government of India",Sourabh Arvind Dubey,≤100
263426780493993,Rajesh Pahalwan Purkhasia,Rajesh Kumar,≤100
113533034939339,Bharat K Gupta,Aksh Bhargava,≤100
195167817324812,Pawan Khera,Indian National Congress,≤100
108984951723852,Mithlesh Malik,Naresh Kumar Shoeran,≤100
592160907509900,Diya Kumari,Diya Kumari,≤100
385658441549334,Deepak Bhati Chotiwala,Dipak Bhati,≤100
101897054923377,Arshdeep Samar,Gagandeep Singh,≤100
54779960819,United Nations,United Nations with Facebook Ad Credits,≤100
