Page ID,Page name,Disclaimer,Amount spent (VND)
110773195056180,Quang Vinh,These ads ran without a disclaimer,75447
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,17543
103462819259532,Xuất Khẩu Lao Động Nước Ngoài Phí Rẻ,These ads ran without a disclaimer,8591
101865258169428,ĐEN Secondhand,ĐEN Secondhand,7032
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,5650
919479674872321,Báo Nghệ An,Báo Nghệ An,3229
105845511087981,TRUYỀN HÌNH AN VIÊN,These ads ran without a disclaimer,1202
101957285428877,Thức Tỉnh,These ads ran without a disclaimer,805
1890146454611538,DESMI A/S,These ads ran without a disclaimer,≤100
311185043089896,Jad’art Ink,These ads ran without a disclaimer,≤100
