Page ID,Page name,Disclaimer,Amount spent (PYG)
108246601026063,Derlis Rodríguez Diputado 2023,Derlis Manuel Rodríguez Baez,48248
102266292553995,Sucia Política,Diego Ricardo Ramírez,20239
325540631525675,En La Tecla,En la Tecla,18091
1468570519872644,Santiago Peña,PRANA SA,7339
110060281794994,Luis Talavera Alegre - Presidente 2023,José Emanuel Ruiz Díaz Bogado,6221
109554841853881,Bernardo Barrios,Bernardo Barrios Samudio,4409
725834240910220,Noticiero Paraguay,Noticiero Paraguay,4324
283132325082901,Esperanza Martínez,Esperanza Martinez De Portillo,4007
114448232558658,Jorge Querey,Jorge Osvaldo Querey Rojas,3112
241512319274531,Sixto Pereira,Sixto Pereira,2892
517426394969535,Ricardo Canese,Ricardo Canese,2066
1151984808290856,Hugo Portillo,Hugo Portillo,1938
105545157610039,Euclides Acevedo,Euclides Roberto Acevedo Candia,1521
1510805942583059,Norma Zarate de Monges,Norma Zarate,1389
613341488786700,Miguel Del Puerto,Miguel Angel Del Puerto Silva,1343
106721948731693,Prof. Aldo Centurión López,Prof. Aldo Centurión López,942
490637354648727,Ing.Juan Carlos Baruja - Gobernador 2018/2023,Juan Carlos Baruja Fernandez,787
104813164326510,Ko'ê Pyahu Ka'asapa,Emmanuel Pratt,749
170330755094107,Marcelo Ramirez,Marcelo Ramirez,460
110258800564741,Ing. Luis Riveros,Luis Riveros,426
101557432041474,Levi Leguizamón,Levi Leguizamón,384
150741961754512,Mercedes Canese Antúnez,Mercedes Canese,348
125249971414945,Hugo Meza,Hugo Joel Meza,336
1365651890238610,Soberanía Paraguay,Prensa_Py,304
141678063114851,Ruben Velazquez,Dalva Natividad Acosta Vallejos,206
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,186
107706177740738,Periodismo 29,Periodismo 29,178
181461032397199,Billy Vaesken,Billy Vaesken,127
441529192988697,Rubén Penayo Senador 40/44,Rubén Penayo Senador 40/44,119
1753251591598763,Dani Mujica,Celso Kevin Ramon Sánchez Florentin,101
363306313879750,Marle Chispita Orue,Marlene Tatiana Orue Leon,≤100
518726648648192,Carlos Arrechea,Carlos Arrechea,≤100
106682318781403,Rafaela Guanes Senadora,Rafaela Guanes,≤100
106008797475136,Nicolás Verón,Gilberto Nicolas Veron Benitez,≤100
103332995742824,Familia MÁS digital,These ads ran without a disclaimer,≤100
1094373423935985,German Solinger,Grissel Zárate Sotelo,≤100
241664783089008,Xin,These ads ran without a disclaimer,≤100
110303418588991,Baby Appleyard,Baby Appleyard,≤100
242118359309178,Ricardo Estigarribia,Douglas Mateus Hendges,≤100
202225953152762,Yomeanimo,These ads ran without a disclaimer,≤100
