Page ID,Page name,Disclaimer,Amount spent (MXN)
133059550071850,Gobierno de Guadalajara,Gobierno de Guadalajara,15637
449095701815347,Salvador Zamora,Salvador Zamora,11620
234934546961166,Escudo Urbano C5 Jalisco,Escudo Urbano C5 Jalisco,10918
259294300089,Gobierno de Zapopan,Gobierno de Zapopan,8863
450197489139926,Jalisco Noticias,Sistema Jalisciense de Radio y Televisión,3011
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,2878
1545555582174942,TResearch,TResearch,2345
952701658121166,Juan José Frangie,Juan José Frangie,1988
103451872329701,Salvemos Miles de Vidas México,Salvemos Miles de Vidas México,1599
192680674189566,El Respetable,Bruno Agustin López Arguelles,1271
56713285274,Greenpeace México,Greenpeace México,1092
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,1025
54779960819,United Nations,United Nations with Facebook Ad Credits,886
1183421698366005,Citlalli Amaya,Citlalli Amaya,867
104220248078081,Lupillo Fletes,Jose Guadalupe Fletes Araiza,803
427137767353498,Clemente Castañeda,Clemente Castañeda H,752
1275235792603673,Susana De la Rosa,Susana De la Rosa,545
109634395756375,Save the Children México,Save the Children México,545
170761873343298,Tecutli Gómez,Tecutli Gomez,540
110558647535296,Cuquis Camarena,Cuquis Camarena,507
100557755099985,Convocatorias 2023,Convocatorias 2023,461
806858212689187,Pablo Lemus Navarro,Pablo Lemus Navarro,440
102358729205991,Movimiento Progresista Jalisco,Johny Efren Sauceda Rodríguez,438
106865972279596,Por amor a México,Por Amor A Mexico,370
105533795460071,Norte Monrealista,Norte Monrealista,363
332575820600075,Checo Barrera,Sergio Barrera,352
669306863144908,Alberto Esquer,Alberto Esquer,319
48966795116,Amnistía Internacional México,Amnistía Internacional México,265
948706741944897,El Portal de Lagos,El Portal de Lagos,252
294591180601746,Dr. Carlos Lomelí Bolaños,Dr. Carlos Lomelí Bolaños,238
112507801521278,VEMO,VEMO,216
102539288557323,Museo de Ciencias Ambientales,Museo de ciencias ambientales,202
133478060111915,CEMEX Impacto Social,CEMEX Negocio Responsable,189
110552178493339,TcoNoticias,TCO Noticias,183
122404620204,Oxfam México,OXFAM MEXICO AC,168
180533315991,Guanajuato Gobierno del Estado,Gobierno del Estado de Guanajuato,166
148709191834718,Alcaldes de México,Alcaldes de México,158
100711195224121,Mexicanos por la 4T Jalisco,Abraham Heriberto Moreno Hernandez,145
115525382301678,El Río Lagos - Noticias,El Río Lagos - Noticias,137
103821621408670,Programa en el Gobierno Mexicano Independiente,Cinthia Abigil Torres Medina,136
463358453871269,JuanMa Munguía,JuanMa Munguía,133
630661037367142,Futuro,Futuro,125
101369119427544,La Cuestión Mx,La Cuestión Mx,125
106794678874700,4TI,4TImpacto,124
254852601222832,CEMEX México,CEMEX México,123
101286431308424,Dr. Paco Sánchez,Dr Paco Sánchez,120
100646922772771,Nguyenthang 7,These ads ran without a disclaimer,119
104800055232221,Electoralia,electoralia,118
102066728517222,Jorge Magaña,Jorge Magaña,117
249241882605535,María Padilla Romo,Juan Manuel Jimenez Gomez,112
170072680225916,Tlajomulco Unido,Tlajomulco Unido,111
100242005506001,Medestetic México,Medestetic México,110
111094778258609,Chema Martínez,Chema Martínez,102
104051184791091,Beneficios en el Gobierno en todo México,Edith Martinez Orta,≤100
106006482764390,Gobierno del Estado de Sinaloa,Gobierno del Estado de Sinaloa,≤100
107652783975551,CS Medicina Estética,CS Medicina Estética,≤100
387796290649,GNP Seguros,GNP Seguros,≤100
104477285788147,Mi Opinión,Mi Opinión,≤100
114024430364416,YoXmx,Yoxmex,≤100
267508273277620,Expedientes A Fondo,Expedientes A Fondo,≤100
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,≤100
108950188713101,Memes Derechos Laborales,SUB Inteligencia de marca S de RL de CV,≤100
106763384981876,La Prensa Mx,Maria Elena Reyes Garcia,≤100
114867690693176,Fabiola Cuan,Leticia Fabiola Cuan Ramirez,≤100
458859544909547,DICES,DICES,≤100
107707170705853,Juan Manuel Jiménez Gómez,Juan Manuel Jimenez Gomez,≤100
46192356440,ESADE Executive Education,These ads ran without a disclaimer,≤100
1095948597209125,Grupo Financiero Banorte,Banco Mercantil del Norte,≤100
1874397736161441,Manuel Gálvez,Luis Ernesto García Ruiz,≤100
232610576753278,Universidad Montrer,Guadalupe Guerrero Garcia,≤100
147751821930575,Salud Digital Fundación Carlos Slim,Fundación Carlos Slim,≤100
104680124489636,Demoscopia Digital,Demoscopia Digital,≤100
761138187365779,Oscar Ruiz,Oscar Ruiz Díaz,≤100
1604225183208432,Heraldo de México Aguascalientes,Aguascalientes,≤100
100904265340191,Laura Bustos,Anwar Sahagún Bustos,≤100
102598911744851,Eliud Saldaña Vázquez,Arturo Eliud Saldaña Vazquez,≤100
187408468118775,Jorge Torres #elbrecho,Brecha Comunicación,≤100
