Page ID,Page name,Disclaimer,Amount spent (CHF)
756722317788172,FDP.Die Liberalen Stadt Luzern,FDP.Die Liberalen Stadt Luzern,≤100
97220294896,SP Schweiz,SP Schweiz,≤100
1599925810096142,Kreis 6/10 mit glp in die Zukunft,Grünliberale Kreis 6 und 10,≤100
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100
360151400680191,Die Mitte Stadt Luzern,Die Mitte Stadt Luzern,≤100
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100
102014399307738,Direkt,direkt,≤100
1769803096579445,Grünliberale Bezirk Horgen,Grünliberale Bezirk Horgen,≤100
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,≤100
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,≤100
100213996124067,Grünliberale Sektion Emmen-Hochdorf,Grünliberale Sektion Emmen-Hochdorf,≤100
100345702834585,All Out Deutschland,All Out,≤100
292711521138736,IPFO,International Photo Festival Olten,≤100
261452338060969,Domenik Lädi Ledergerber,Überparteiliches Unterstützungskomitee Domenik Ledergerber,≤100
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
651956578553145,"Marita Verbali, FDP",Marita Verbali,≤100
200825306651250,Renato Pfeffer EVP,EVP Kanton Zürich,≤100
784812424962943,Tele Z,TELE Z,≤100
105858378539790,FDP Wädenswil,FDP Wädenswil,≤100
125466200895962,Valentin Landmann,Sven Kunz,≤100
103369269163798,Mittendrin,Hanspeter Renggli,≤100
921336971288655,Nagra,Nagra,≤100
259871484198551,Thomas Matter,Thomas Matter,≤100
101417574776507,Ja zur direkten Demokratie,New Swiss Journal,≤100
355645665140771,Nicola Forster,Nicola Forster,≤100
100980232576650,Muriel Langenberger,Muriel Langenberger,≤100
1700824713324064,SP Zürich 10,SP Zürich 10,≤100
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,≤100
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,≤100
2525584750795209,Nina Fehr Düsel,Nina Fehr Düsel,≤100
1476717905682561,SP Zürich 6,SP Zürich 6,≤100
102578282597131,Kamylla Lisi-Brandino,Kamylla J. Lisi-Brandino,≤100
100369729335133,"Peter Grünenfelder, Regierungsratskandidat Zürich",Peter Grünenfelder c/o FDP Kanton Zürich,≤100
864604443735247,SVP Bezirk Dietikon,SVP Bezirk Dietikon,≤100
