Page ID,Page name,Disclaimer,Amount spent (BRL)
109770755848061,Suzano,Suzano SA,2704
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,2631
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,1305
176740279057602,CDL De Belo Horizonte,CAMARA DE DIRIGENTES LOJISTAS DE BELO HORIZONTE,1052
171169022896525,Guaraná Antarctica,Ambev,919
301774903545521,Brasil Paralelo,Brasil Paralelo,590
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,505
333720355130,Petrobras,Petrobras,472
159103797542,Greenpeace Brasil,Greenpeace Brasil,443
843985505628610,Órigo Energia,Órigo Energia,369
101189854802059,Revista Oeste,Revista Oeste,248
165175370206522,Citi Brasil,Citi Brasil,201
2209636419286152,Elismar Prado,Elismar Prado,193
265325206900552,Professora Flávia Rita,These ads ran without a disclaimer,170
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,156
109305521866135,Onça Davi,These ads ran without a disclaimer,146
270534889645562,Prefeitura de Extrema,Prefeitura Municipal de Extrema,144
1573310519364782,Paulo Sérgio,Paulo Sérgio Ferreira,143
110627197066277,Leandra Prefeita,Leandra Guedes Ferreira,143
330379553673497,Oxfam Brasil,Oxfam Brasil,138
391540320944905,Prefeitura de Uberlândia,Secretaria Municipal de Governo e Comunicação - SMGC,137
113165042099382,Brasil 61,Brasil 61,130
490602331026753,Franco Cartafina,Franco Cartafina,123
104648831582042,Prefeitura de Tupaciguara,Prefeitura de Tupaciguara,121
600114750155454,Braulio Lara,Braulio Lara,≤100
422953044564958,DMAE - Uberlândia,DMAE Uberlândia,≤100
109354687306376,Instituto Conhecimento Liberta,Instituto Conhecimento Liberta,≤100
104738421003389,InvestNews BR,Easynvest,≤100
621467294695984,Juca Bahia,Jose Valadares Bahia,≤100
102809325164881,Um Só Planeta,Editora Globo,≤100
769891416403599,Câmara Municipal - Varginha,Câmara Municipal - Varginha,≤100
366691953705757,Prefeitura Buritizeiro,Prefeitura de Buritizeiro,≤100
665498620499336,"O Novo Legislativo, por Renata Cunha",Instituto Renata Cunha,≤100
223554064460554,Câmara Municipal de Viçosa,Câmara Municipal de Viçosa,≤100
604486089747468,Prefeitura de Monte Carmelo,Prefeitura de Monte Carmelo,≤100
447572285393048,Arlen Santiago,Arlen De Paulo Santiago Filho,≤100
108742321417244,Gerson Aragão,SCIREJUS APLICATIVOS JURIDICOS LTDA,≤100
546638152036818,Ulysses Gomes,ULYSSES GOMES DE OLIVEIRA NETO,≤100
201991609984528,Odair Cunha,Odair José da Cunha,≤100
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,≤100
197587446941661,Valor Econômico,Editora Globo,≤100
367468876929300,Instituto Avon,AVON COSMETICOS LTDA,≤100
258088921369,TOTVS,TOTVS,≤100
398383446886003,Fernando Breno,Fernando Breno Valadares Vieira,≤100
223832637675564,Deputado Federal Zé Silva,Jose Silva Soares,≤100
101179625001334,Fernanda Pereira Altoé,Fernanda Elisa Pereira Altoe,≤100
109272165397476,Gerson Aragao,SCIREJUS APLICATIVOS JURIDICOS LTDA,≤100
1443539549309168,Marcela Trópia,Marcela Trópia,≤100
109944254174008,Alex Freitas,Alex Freitas,≤100
1075197569236018,Marcelo Monteiro,Marcelo Monteiro,≤100
865909470136042,Vereador Helinho,Helio Medeiros Correa,≤100
1082805205172897,Zé Vitor,Zé Vitor,≤100
340099566052198,OAB MG Oficial,OAB Minas Gerais,≤100
239977579362882,Blue3,Blue3 Investimentos,≤100
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,≤100
343935282289497,Junynho Martins,Moacir Martins Da Costa Junior,≤100
111719977355607,Vereador Neymar Meireles,Vereador Neymar Meireles,≤100
306378149952222,Matheus Utsch Vereador PL,Matheus Utsch De Oliveira,≤100
882711178477066,Ideia Circular,These ads ran without a disclaimer,≤100
1124473760957316,FS Fueling Sustainability,FS Fueling Sustainability,≤100
1479952895577565,Gil Pereira,Gilberto Wagner Martins Pereira Antunes,≤100
113005112093720,Aldo Solar,Aldo Solar,≤100
105520569004820,Absolar Comunica,Associação Brasileira de Energia Solar Fotovoltaica,≤100
391730127854957,Vereador Johny Claudy,Johny Claudy Fernandes,≤100
260205817453415,Cássio Soares,Cássio Soares,≤100
7970426802,WWF-Brasil,WWF-Brasil,≤100
1548396448770497,Prefeitura Municipal de Araxá,Prefeitura de Araxá,≤100
228909183838663,Fundação Demócrito Rocha,Ismael Pereira Da Costa,≤100
583606835056845,Maria do Carmo Lara,Maria Do Carmo Lara Perpetuo,≤100
106833412259357,Gstic.rio,Gstic.rio,≤100
263199020531986,JOTA,JOTA,≤100
2323904661180742,All Out Brasil,All Out,≤100
519702048219976,Vereador Fernando Mendes,Fernando Mendes Das Chagas,≤100
105828384424019,Francisco Sena Vereador,Francisco Assis Sena Carvalho,≤100
266812276714551,Prefeitura De Pouso Alegre,Prefeitura Municipal de Pouso Alegre,≤100
110225312350543,Nova Escola,Associação Nova Escola,≤100
108942814310427,Vereador Roney Aproximar,Roney Geraldo Gomes,≤100
257474324428139,Prefeitura de Itapagipe,Município de Itapagipe,≤100
187970114581051,Anistia Internacional Brasil,Anistia Internacional Brasil,≤100
295301523904650,Irlan Melo,Irlan Chaves de Oliveira Melo,≤100
180409628639048,Oi Futuro,These ads ran without a disclaimer,≤100
100230636059140,Tv Cidade online,Tv Cidade online,≤100
104695982501298,Brasil Notícias,Diogo Fortuna Reboucas,≤100
109969661591759,Delegada Laryssa,These ads ran without a disclaimer,≤100
242062609325601,Agenda 227,ANDI AGENCIA DE NOTICIAS DOS DIREITOS DA INFANCIA,≤100
107318201742773,Gerador de Votos,Carlos Bomfim,≤100
163893463708223,Marcelo Vitorino,IDP,≤100
108562445388679,Frente Parlamentar de Recursos Naturais e Energia,Frente Parlamentar de Recursos Naturais e Energia,≤100
108907578040742,Arnaldo Silva,Arnaldo Silva Junior,≤100
106110870974653,Coronel Gedir Rocha,Gedir Christian Rocha,≤100
891180830902173,JBS,These ads ran without a disclaimer,≤100
109901035020138,Prefeitura de Limeira do Oeste,Prefeitura de Limeira do Oeste,≤100
1498647100170828,Prefeitos do Futuro,Prefeitos do Futuro Cursos e Treinamentos LTDA,≤100
111673578430242,Koo Brazil,These ads ran without a disclaimer,≤100
425215080864180,Pfizer Brasil,Pfizer,≤100
668740406510540,Mercur,These ads ran without a disclaimer,≤100
107095507825507,Vagner Martins,Vagner Martins,≤100
446733592386057,Mais Inclusão no Mundo,Mais Inclusão no Mundo,≤100
103509291457794,Pedrinho Salete,Pedro Ulisses Coimbra Vieira,≤100
143586369038919,Silva Freire Advogados,SILVA FREIRE ADVOGADOS,≤100
413779298643133,Sindifort Sindicato,Sindifort _Sindicato dos Servidores Municipais de Fortaleza,≤100
106279534857211,Juliana Jaber,These ads ran without a disclaimer,≤100
139007399495933,Fundação SOS Mata Atlântica,FUNDACAO S.O.S. PRO-MATA ATLANTICA,≤100
111091275764781,Prefeitura Municipal Barretos,Hold Comunicação,≤100
207625445917337,Odelmo Leão,Odelmo Leão Carneiro Sobrinho,≤100
101784872659738,Profissionais da Saúde,Gianny Cesconetto,≤100
1016014891780524,Estratégia Carreira Jurídica,ESTRATEGIA CONCURSOS SA,≤100
197641483663137,Deputado Antonio Carlos Arantes,Dep. Est. Antonio Carlos Arantes,≤100
103436075037681,Dandan Vereador,Daniel Farias,≤100
127789930632668,Conectas Direitos Humanos,Conectas Direitos Humanos,≤100
101223071616706,Insight Inteligência,Insight Comunicação,≤100
103920308461143,Observatório Social do Petróleo,Cajuína Produções e Mídia Digital,≤100
158779925464,Época NEGÓCIOS,Editora Globo,≤100
458245938056642,LIMPA MEU NOME,Andre Serra,≤100
111186368956008,Academia Brasileira de Direito Constitucional,ABDConst,≤100
103654108205888,Fonasefe,CAJUINA PRODUÇÕES E MÍDIA DIGITAL,≤100
228301373863551,Agência Pública,Agência Pública,≤100
101377912820413,Seminário Reboot,Agência Nuvem,≤100
185875761943,MDB Nacional,MOVIMENTO DEMOCRÁTICO BRASILEIRO,≤100
115398796969611,Jean-Marcos “Caveira”,Jean Marcos Emmanuel Soares D Cruz,≤100
100710735473325,IDP - SP,"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa Idp - LTDA",≤100
105938545555104,Eugênio Ferreira,Eugênio Ferreira,≤100
105938545555104,Eugênio Ferreira,Eugênio Ferreira,≤100
132804480113814,PwC Brasil,PwC Brasil,≤100
106219057921287,Laura Melo Vaccaro - Vereadora,Laura Luiza Oliveira Melo Vaccaro,≤100
359871157981726,Decorando a Lei Seca,Decorando a Lei Seca,≤100
365719144012035,Dudu Braga,EDUARDO LÚCIO ÁSSIMOS BRAGA,≤100
532685216941863,Daniel do Irineu,Daniel Pereira Fonseca Silva,≤100
193719533998484,Fundação Fernando Henrique Cardoso,Fundação FHC,≤100
102384321716297,Advocacia Cortona e Ranieri,Advocacia Cortona Ranieri,≤100
799771803710927,Rubão do Carreto Solidário,Rubem Rodrigues De Oliveira Junior,≤100
115172553721431,Perfil Brasil,Grupo Perfil,≤100
108525900491125,Miltinho,Miltinho,≤100
239624862864871,Relatório Reservado,Hush Comunicação,≤100
2109548659331951,Cursinho da Glória,Cursinho da Glória Eireli ME,≤100
330598107125493,Prefeitura de Andradas,Prefeitura de Andradas,≤100
159442177433598,Mostra de Cinema de Tiradentes,Mostra de Cinema de Tiradentes,≤100
106400324934183,Roncali da Farmácia,Roncali Coelho Soares,≤100
179837479250006,Marcelo Lino,Marcelo Lino Da Silva,≤100
113936454631838,Amanda Ganem,Amanda Ganem,≤100
172444996112900,Fundo Brasil,Fundo Brasil,≤100
106844601382329,EvaCred,These ads ran without a disclaimer,≤100
101933305564897,Promic,Riole,≤100
103008851224399,Flavio Marra,Nilton Flavio De Oliveira Marra,≤100
108386297458164,Anderson Miguel Vereador,Anderson Miguel Santos,≤100
149518311835447,Renata Bueno,Renata Bueno,≤100
267683643272117,Edmilson Rodrigues,Edmilson Brito Rodrigues,≤100
111130822268479,IDP,"Instituto Brasileiro de Ensino, Desenvolvimento e Pesquisa IDP - LTDA",≤100
113117678328448,Advocacia LC,These ads ran without a disclaimer,≤100
1049865728537031,Dra. Angela - Consultório de Enfermagem Materno-Infantil,These ads ran without a disclaimer,≤100
107551588226445,juneam_orsine,These ads ran without a disclaimer,≤100
104553347942750,Eder Borges,Eder Fabiano Borges Adao,≤100
109785372399873,IAB - Instituto dos Advogados Brasileiros,Instituto dos Advogados Brasileiros,≤100
103000722665702,Nasil Concursos,Nasil Concursos,≤100
197587446941661,Valor Econômico,These ads ran without a disclaimer,≤100
107025535449020,IGreen Energy Economy,IGreen Energy Economy,≤100
1700227383437806,OC Advogados,Oliveira e Carneiro Sociedade de Advogados,≤100
147258388715323,Fundação Luterana de Diaconia (FLD),Fundação Luterana de Diaconia,≤100
102143042738370,Pérola Cred,These ads ran without a disclaimer,≤100
407580316109281,eureciclo,These ads ran without a disclaimer,≤100
