Page ID,Page name,Disclaimer,Amount spent (CHF)
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100
105858378539790,FDP Wädenswil,FDP Wädenswil,≤100
97220294896,SP Schweiz,SP Schweiz,≤100
261452338060969,Domenik Lädi Ledergerber,Überparteiliches Unterstützungskomitee Domenik Ledergerber,≤100
102578282597131,Kamylla Lisi-Brandino,Kamylla J. Lisi-Brandino,≤100
107515328348195,Michael Uebersax,Michael Stefan Uebersax,≤100
269029886456205,Giorgio Fonio,Giorgio Fonio,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
102014399307738,Direkt,direkt,≤100
245030556232364,Grünliberale Partei Basel-Landschaft,Grünliberale Partei Basel-Landschaft,≤100
212175019347952,SVP Horgen,SVP Horgen,≤100
921336971288655,Nagra,Nagra,≤100
1769803096579445,Grünliberale Bezirk Horgen,Grünliberale Bezirk Horgen,≤100
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100
651956578553145,"Marita Verbali, FDP",Marita Verbali,≤100
705478906236710,FDP.Die Liberalen Bezirk Uster,FDP.Die Liberalen Bezirk Uster,≤100
259871484198551,Thomas Matter,Thomas Matter,≤100
82752099000,Alternative Liste ZH,Alternative Liste Zürich,≤100
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
2525584750795209,Nina Fehr Düsel,Nina Fehr Düsel,≤100
109023033782956,Unisanté,Unisanté,≤100
107494077464434,Janine Vannaz,Janine Vannaz,≤100
200825306651250,Renato Pfeffer EVP,EVP Kanton Zürich,≤100
100980232576650,Muriel Langenberger,Muriel Langenberger,≤100
292711521138736,IPFO,International Photo Festival Olten,≤100
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,≤100
1700824713324064,SP Zürich 10,SP Zürich 10,≤100
101120115685831,SVP Stäfa,Marco Andreas Vogt,≤100
101417574776507,Ja zur direkten Demokratie,New Swiss Journal,≤100
1476717905682561,SP Zürich 6,SP Zürich 6,≤100
169042736456594,All Out,All Out,≤100
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100
123731471009473,Yvonne Bürgin,Yvonne Bürgin,≤100
100345702834585,All Out Deutschland,All Out,≤100
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100
230522120377463,FDP Allschwil-Schönenbuch,FDP Allschwil-Schönenbuch,≤100
125466200895962,Valentin Landmann,Sven Kunz,≤100
784812424962943,Tele Z,TELE Z,≤100
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,≤100
117027101705789,FDP Stadt Zürich,FDP Stadt Zürich,≤100
415342655194947,ISB International School Bangkok,These ads ran without a disclaimer,≤100
111616771110534,Beyond Riches,These ads ran without a disclaimer,≤100
