Page ID,Page name,Disclaimer,Amount spent (COP)
619776134722439,Secretaría Distrital de Salud,Secretaría Distrital de Salud,805870
377334062304350,Secretaría de Educación de Bogotá,Secretaría de Educación de Bogotá,381077
1119413181474050,El Avispero Mov,Movilizatorio,75519
321789057890530,Secretaría de Movilidad,Secretaría de Movilidad,46398
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,41781
103084375858203,Mi Campaña Aplicación,BJS inversiones,37286
133787883971402,Oscar Ramírez Vahos,Oscar Ramirez Vahos,33900
1147318942107929,Todos Somos Una,DEBRAIN LLC,25203
838927469815494,Diana Diago,Diana Marcela Diago,19566
108459260282,Universidad La Gran Colombia,Universidad La Gran Colombia,14057
460297427472944,Corporación  Educativa Politécnico La Salle,Corporación Educativa Politécnico La Salle,10123
1379933302305788,Colegio Gimnasio Americano,Colegio Gimnasio Americano,9419
1872377683047453,Don Tamalio Achiras,Miguel Andres Gomez,6681
2203948933156649,Oriana Zambrano Montoya,Oriana Teotiste Zambrano Montoya,6472
1766366823576506,La Paz Querida,La Paz Querida,5831
101170393279528,Rodrigo Villalba Mosquera,Martha Diaz,5682
179003239458192,Jorge Humberto Rangel,Jorge Rangel,5552
1319410371405224,Marketing Político,Mauricio Florez-Morris,5207
110709925203959,ambrosiarecs,These ads ran without a disclaimer,5060
204435366254477,IETA - Instituto de Estudios Técnicos Aeronáuticos,William Guillermo Delgado Lopez,5013
103611558024292,Centro Superior de Estudios Financieros e Informáticos,Claudia Gonzalez Mancheco,4846
643513979193133,Unidos por Beatriz,Neuma,4643
407615769604377,Mutante,Fundación Mutante,3901
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,3470
1102089866560913,Boyacá Noticias,Diego Alexander Perez Sanabria,3177
101426805724522,Miguel Ángel Clavijo - Subase al progreso,Miguel Ángel Clavijo Obando,2830
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,2489
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,2455
275606287530,CEMEX,These ads ran without a disclaimer,2231
104225931872147,Canal 6 Fusagasugá,Camilo Andres Nieto Poveda,2204
1052668304757955,Eduard Sarmiento Hidalgo,Eduard Sarmiento Hidalgo,2165
1314470175266037,Liderazgo politico,Mauricio Florez-Morris,1716
333652197285167,Jorge Ramírez,Jorge Hernan Ramirez Barreto,1609
437833369757523,DB MEDIA,Diana Paola Bernal Rodriguez,1437
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,1392
381464961911270,Cruz Roja Antioquia,Cruz Roja Colombiana Seccional Antioquia,1117
148553182705913,Claudia Andrade Barrancabermeja Libre,Sebastian Giral Gomez,1035
1150942755027141,MMconsultor,MMconsultores,1032
1400280116941194,Fabian Diaz,Fabian Diaz,913
1699094717042360,Tania Fernández Sánchez,Tania Fernández Sánchez,783
1242864402475742,BC Noticias,Oscar Javiar Bayona Villada,767
110095518587579,Verdad & Pruebas,Verdad & Pruebas,733
515010172233659,Alvaro Mantilla,Alvaro Mantilla,582
1649671688486614,Juan Carlos Muñoz Sepulveda,Juan Carlos Sepulveda Muñoz,523
1622001728047397,Harman Alcalde,Harman Alcalde,511
446016199240073,SERGIO MENDOZA,Sergio Mendoza,443
576245116183083,Gimnasio San Bartolomé,These ads ran without a disclaimer,401
1640791072871544,Fabián Rojas,Fabian Mauricio Rojas Garcia,263
106892197676696,Pedro León Martínez,Pedro León Martínez Sánchez,258
105333165416452,constantino.sc,These ads ran without a disclaimer,248
835710939898329,Paulina Aguinaga,Paulina Aguinaga,247
121717528487698,Confidence Chile,These ads ran without a disclaimer,204
328788654224284,JuancamiloNews,Juan Camilo Jaramillo Ospina,171
1398644300372038,Kalakarah,These ads ran without a disclaimer,114
33735247931,Néstor Brugés,Néstor Brugés,≤100
957315377742375,Pollo Solano,Mario Luis Solano Lizcano,≤100
415910721915879,Hector Fabio Velasco Hernandez,Hector Fabio Velasco,≤100
1529335724037224,Aeropuerto del Café,INTUAL,≤100
114743880370132,Proactiva Suministros,These ads ran without a disclaimer,≤100
110100800578531,Zalvadora,These ads ran without a disclaimer,≤100
105335374795234,Alcaldía de Pandi,Alcaldía Municipal de Pandi,≤100
100481338357144,Comunas de Medellin,Comunas de Medellin,≤100
130501957647822,AndreaGarcía Abogada,These ads ran without a disclaimer,≤100
101447001198591,Angélica Gómez,Maria Angelica Gomez Lopez,≤100
101090099546806,greenlybachue,These ads ran without a disclaimer,≤100
107169378836825,Izy Solar Esp,These ads ran without a disclaimer,≤100
789907401124930,Partido Humanista De Colombia,David Nassar Moor,≤100
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100
106827194681183,Africa Equity Media,These ads ran without a disclaimer,≤100
