Page ID,Page name,Disclaimer,Amount spent (CZK)
120343698070515,Liberální institut,Liberální institut,1894
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,742
133030253410089,Jan Šafařík - náměstek hejtmana,Jan Šafařík,371
210778132327279,Prima,Prima,241
104768355190287,Sázíme Česko,PlanetWe Rewild s.r.o.,230
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",219
125830487980906,Solární asociace,Solární asociace,162
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,117
251656685576,KDU-ČSL,KDU-ČSL,≤100
376809572404232,Kaufland Česká republika,These ads ran without a disclaimer,≤100
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,≤100
127355564021146,Knihkupectví Luxor,"Euromedia Group, a.s.",≤100
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,≤100
137778619615350,Voyo.cz,TV Nova s. r. o.,≤100
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,≤100
356451014434612,Marian Jurečka,KDU-ČSL,≤100
1477535869227488,Vít Rakušan,Starostové a nezávislí,≤100
123858471641,iROZHLAS.cz,Český rozhlas,≤100
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,≤100
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,≤100
549351855145794,Michael Kohajda,Michael Kohajda,≤100
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,≤100
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,≤100
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",≤100
693725074166331,Naše zdravotnictví,Naše zdravotnictví,≤100
158655234218517,KDU - ČSL Olomoucký kraj,KDU-ČSL,≤100
178362315106,European Parliament,European Parliament,≤100
214101585467205,Piráti Olomouc,Česká pirátská strana,≤100
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,≤100
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",≤100
197010357446014,Ondřej Prokop,Ondrej Prokop,≤100
155406703122,Arnika,Arnika,≤100
106449882358683,Новости Дня.,These ads ran without a disclaimer,≤100
90002267161,TOP 09,TOP 09,≤100
424114981002397,Český rozhlas Plus,Český rozhlas,≤100
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,≤100
1104866262972886,Michal Šmarda,Česká strana sociálně demokratická,≤100
107733504431288,CEVRO ARENA,Jiří Cieslar,≤100
1469427909957890,Reportér magazín,Reportér magazín,≤100
275042429350706,Tomáš Zdechovský,Tomáš Zdechovský,≤100
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,≤100
126659427510627,Institut politologických studií FSV UK,Kateřina Krupičková,≤100
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,≤100
460558621177512,Zálohujme.cz,Zálohujme,≤100
103093016017760,Info News,These ads ran without a disclaimer,≤100
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,≤100
416190415243,Fakulta životního prostředí - ČZU v Praze,Fakulta životního prostředí,≤100
109664387308142,Poradna pro obce,KVB advokátní kancelář s.r.o.,≤100
378827025796132,Peak.cz,Peak.cz,≤100
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,≤100
137301989386,Aktuálně.cz,Aktuálně.cz,≤100
284944781875,EURACTIV.cz,EURACTIV.cz,≤100
728130870635201,Mirai,These ads ran without a disclaimer,≤100
220953819920676,Ministr Zdraví,Ministr Zdraví Z.U.,≤100
117823623864,Transparency International ČR,Transparency International ČR,≤100
52479821102,Týdeník Respekt,Týdeník Respekt,≤100
113743658978459,Meltingpot,Meltingpot,≤100
201535993705342,Radim Sršeň,Radim Sršeň,≤100
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,≤100
711658465662315,XTV,XTV,≤100
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,≤100
609246842426009,Rekonstrukce státu,Rekonstrukce státu,≤100
579215965436046,JSNS,"Člověk v tísni, o.p.s.",≤100
203833483473,Deník Referendum,Denik Referendum,≤100
545254525495201,Pravý břeh - Institut Petra Fialy,"Pravý břeh, z.s.",≤100
