Page ID,Page name,Disclaimer,Amount spent (KES)
106620807391911,Roche,These ads ran without a disclaimer,154
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,≤100
107725671976672,Willis Evans Otieno,Willis Evans Otieno K'Ochieng,≤100
100835685957727,PRO PEACE KENYA,Brenda Kananu,≤100
1743520282644325,National Security Watch,Peris Wambui Mugi,≤100
1506723769658512,Susan Kihika,Susan Kihika,≤100
110408975208360,Talking about matters,Well Made Strategy LLP,≤100
1759891824069653,The Kenyan Heralds,Peris Wambui Mugi,≤100
2126427410954944,Newspaper Review,Peris Wambui Mugi,≤100
1913963825321863,Kenya Insights,Peris Wambui Mugi,≤100
691631977553277,Nakuru County Government - Official,Martin Gicinga Macharia,≤100
693849871003458,KENYA HOT TODAY,Peris Wambui Mugi,≤100
974896235961055,UPL-Ltd,These ads ran without a disclaimer,≤100
105107655304285,Viutravel Ltd,These ads ran without a disclaimer,≤100
116308369063243,Kambria,These ads ran without a disclaimer,≤100
194953000528458,Global Campus of Human Rights,These ads ran without a disclaimer,≤100
