Page ID,Page name,Disclaimer,Amount spent (ARS)
107473468922571,Es hora de levantarse,Es Hora de Levantarse,743581
100686031576569,Primero la gente,Secretaría de Medios y Comunicación Pública,296217
107133328949122,100KM x El Futuro,100KM x El Futuro,173069
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,128918
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,124686
543624772318229,Diego Valenzuela,Diego Valenzuela,117282
622853724492420,Federico Otermín,Frente de Todos Lomas,41483
363825283650115,Vicente López,Vicente López,41088
932158520193023,Municipalidad de José C. Paz,Municipio de José Clemente Paz,30185
459777610743664,Ariel Sujarchuk,HAY ALTERNATIVA PARA EL CAMBIO EN ESCOBAR - HACE,26574
499141756879767,Federico Achával,De Tu Lado Siempre,24561
141472172555994,Sole Martinez,Vicente López,22748
107862828349752,Tiempo de Córdoba,Tiempo de Córdoba,21786
171330806277312,Diego Santilli,Instituto República,20093
174970176018,Horacio Rodríguez Larreta,PRO Ciudad de Buenos Aires,19970
369181306485506,Patricia Cubria,showercomunicacion,19523
473851592687665,Gustavo Posse,Gustavo Posse,17459
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,15557
112495102121367,Gobierno de la Provincia de Buenos Aires,Gobierno de la Provincia de Buenos Aires,12463
106683794885574,Andrés Petrillo,Andres Petrillo,11425
191138187655299,Municipalidad de Quilmes,Municipalidad de Quilmes,9680
427271967380241,Lucas Delfino,Juntos,9370
480129710135,Municipio de Tigre,Municipalidad de Tigre,9169
459777610743664,Ariel Sujarchuk,Ariel Sujarchuk,8545
587405287971230,Mariano Cascallares,Partido Justicialista Almirante Brown,8272
101996084777901,Mariela Belski,Mariela Belski,7961
155326881225340,Cristian Ritondo,Hablen de a uno,7870
103088924366000,Noticias d,Noticias d,7591
811490865528770,Guillermo Viñuales,Guillermo Viñuales,7333
103740369249125,El Provinciano,El Provinciano,7263
101364195948955,KATO DICE Y HACE,KATO DICE Y HACE,6889
134751226547299,Joaquín De la Torre,Joaquín de la Torre,6085
100198709524288,Pan Optico Group,Pan Optico Group,5977
945167758836265,Max Perkins,Max Perkins Oneto Gaona,5959
1782770091995310,Mariano Castagnaro,Mariano Lucas Castagnaro,5371
110276628358382,El Autónomo,El Autónomo,4921
162975431069266,Lucas Aparicio,Lucas Aparicio,4559
1662250880709156,Lanús Municipio,Lanús Municipio,4532
304176325478,La Política Online,La Política Online,4426
1782770091995310,Mariano Castagnaro,Mariano Castagnaro,4307
436246103621788,Damián Selci,Unidad Ciudadana Hurlingham - UCH,3954
142695092477589,Alex Campbell,Alexander Campbell,3890
726998547382753,Martin Tetaz,Martín Tetaz,3788
101670032678273,Mario Alberto Ishii,Mario Alberto Ishii,3697
112090455034177,El Portavoz Oficial,El Portavoz,3685
113677188301150,Matias Porta,Matias Alejandro Porta Aldave,3670
175844725888213,Alejandro Bodart,MST Movimiento Socialista de los Trabajadores,3605
628498977777284,El Continental,Periodico El Continental,3544
369199359904207,Municipalidad de Tres de Febrero,Municipalidad de Tres de Febrero,3460
896073793900056,Lalo Creus,Diego Gianutti,3395
105455288953338,Esto es Boca,Esto es Boca,3368
307661541236,Grupo La Provincia,GLP,3253
107787349381054,Pablo Alaniz,Pablo Alaniz,3202
129744574185800,Julián Amendolaggine,Julian Amendolaggine,3060
605540860101596,Diario Criollo,Diario Criollo,2930
585157608249952,Nicolás Russo,Nicolás Russo,2923
101594852755793,El Bonaerense,El Bonaerense,2732
104733589113258,La Gaceta Nacional,La Gaceta Nacional,2656
112197630546124,Maximiliano Wesner,Maximiliano Wesner,2589
274883916030955,Pablo Losada,United Business Arg,2574
105472487597843,PoliticaProvincia,Politica Provincia,2263
795021870593381,Info al día,Info al Día,2207
113138195384719,Nestor Grindetti,Nestor Grindetti,2143
