Page ID,Page name,Disclaimer,Amount spent (IDR)
23383061178,Prabowo Subianto,indonesia Adil makmur,265108
104427162506872,Fakta Anies,Fakta Anies,126508
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,82416
103028419236230,G24 Golkar DIY,Yayasan Golkar Institut SPKP,37805
678421075696415,Giring Ganesha,Partai Solidaritas Indonesia,20563
101897212629526,Suasana jogjakarta,Ganjar Nusantara Indonesia,16395
1854187061497992,Jogja Dukung Ganjar,Ganjar Nusantara Indonesia,16372
101013849386195,Tema Bantul,Ganjar Nusantara Indonesia,16260
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,15435
101203454841155,Kota Kite,Prayogo,15159
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,13437
102317908914727,Climate Justice Indonesia,Climate Justice Indonesia,12810
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,11926
1481929088506672,Andini Effendi,Yayasan Infobox,9654
102262302515901,Henry Indraguna,Ananda Puja Wandra,7976
197545083607941,Harian Kompas,Harian Kompas,7289
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,7130
813887722072071,Yayasan Pundi Amal Bakti Ummat,Yayasan Pundi Amal Bakti Ummat,6628
444318475704011,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,6314
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,5980
111864151754055,Esensi TV,Esensi Tv,5495
106883058905796,Tanda Seru,Aditia Ramdani,5024
104622532469179,Populis,Aditia Ramdani,4840
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,3990
108156498584853,Tetap Puan,Marabunta Family Cyber,3636
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,3480
101428652793656,Readktif,Aditia Ramdani,3383
217841272115804,Kabar Golkar,Yayasan Kabar Golkar,3347
100649018546817,GanjarFans,These ads ran without a disclaimer,3286
103290336009963,Akbar Faizal Uncensored,Yayasan Infobox,3169
895727830637189,Relawan Puan,Miftakhul Ansori,3152
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,2987
102672669369785,Suara Akar Bawah,Aditia Ramdani,2847
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,2688
39684526732,Wanda Hamidah,Yayasan Infobox,2480
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,2459
342449962923657,Berita Ganjar Pranowo,Septian Raharjo,2079
173776079818775,Saiful Mujani,Saidiman,2007
102122622640795,Catatan Menko Airlangga,Yayasan Golkar Institut,1930
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,1717
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,1716
107934438784675,Berani Bersuara,Iwan Hardiansyah,1406
109152778730274,Miea Kusuma,Yayasan Infobox,1314
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,1199
101101492306034,Mega News,Siti Sarah Iskandar,1132
104830667806476,Melihat Indonesia,Septian Raharjo,1076
103459502642464,Dulure Mbak Puan,Pendukung Puan 'Agus Sugianto',1021
102273039070802,Info Terkini,Muhammad Miftakhunnaim,977
756567881057213,Airlangga Hartarto,Airlangga Hartarto,848
103581752405141,Sobar Harahap,Ganjar Nusantara Indonesia,822
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,801
113496661651699,politiknews,Bayu Wicaksono,774
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,732
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,658
110952238516382,Kiki Daliyo,Dwi Wantoro,651
100739975934515,Kemajuan Tanah Air,Muhammad Miftakhunnaim,645
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,623
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,613
699823740179321,IndonesiaBaik.Id,These ads ran without a disclaimer,610
312490859193724,mensbatik,Bayu Setayudha,594
107565455160464,Indonesia Opini,Ganjar Nusantara Indonesia,589
101338198587608,Indonesia Luar Biasa,Ganjar Nusantara Indonesia,566
105195635486519,Klise Nusantara,Ganjar Nusantara Indonesia,553
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,546
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,545
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,484
105308715676825,Filosofi Indonesia,Ganjar Nusantara Indonesia,477
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,466
113058461386521,Mercusuar Indonesia,Ganjar Nusantara Indonesia,464
202555993805088,Caption,Ganjar Nusantara Indonesia,449
108676115131939,Nusantara Cerdas,Ganjar Nusantara Indonesia,412
104799384898162,Indonesia Berkabar,Ganjar Nusantara Indonesia,389
104708079203574,Airlangga Hartarto 2024,Yayasan Infobox,366
100676262667808,Story Nusantara,Ganjar Nusantara Indonesia,351
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,304
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,304
562130064195509,KNPI.ID,These ads ran without a disclaimer,137
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,≤100
107689042226061,keluarga MFL,These ads ran without a disclaimer,≤100
108511588277325,Galeria Konveksi,Solehudin,≤100
103449517822304,CNPC,These ads ran without a disclaimer,≤100
83503624165,F1000Research,These ads ran without a disclaimer,≤100
