Page ID,Page name,Disclaimer,Amount spent (PKR)
120437430938970,Syed Mohammad Kirmani,John Kirmani,10629
100657482831570,Tashakul Abbas Warraich PP54,Tashakul Abbas Warraich,5990
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,5153
315863402653597,Prime Minister’s Youth Programme,Prime Minister’s Youth Programme,3785
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,2254
106310985616296,Ch Rauf Ahmad Hundal,Ch Rauf Ahmad Hundal,1818
106685458717116,Muhammad Hussain,Muhammad Hussain,1642
47710652725,Goethe-Institut,These ads ran without a disclaimer,1455
109493084543028,Four Corners with Tarar,NEXT TV,1432
543755195637715,Mian Aslam,Mian Aslam,905
105559568732434,SkpNews.com,MTS INFO,895
117245297940276,Imtiaz Minhala,Muhammad Arslan Haider,720
1706863532970589,Nasir Hashmi,Osama Rehman Butt,714
102690905990373,Mian Zeeshan Rafique PMLN,Zeeshan Rafique,689
103720225643302,Chaudhry ijaz Ahmad Ranian,Chaudhry ijaz Ahmad Ranian,635
1617753965111540,Oil and Gas World/Oil Sands Strong,These ads ran without a disclaimer,603
101737024836683,Anjuman-E-Tajran انجمن تاجران,Mujahid Maqsood Butt,599
133648753466105,Group Development Pakistan,Group Development Pakistan,597
100298359657460,Naveed Hashim Rizvi,Shaukat Ali Malik,579
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,571
467252070142548,Ch Mustansar Ali Gondal,Ch Mustansar Ali Gondal,571
361971188258443,Syed Tariq Mahmood ul Hassan,Syed Tariq Mahmood ul Hassan,551
40775064593,Microsoft Cloud Partner Program,These ads ran without a disclaimer,536
97429917898,ProPakistani,ProPakistani,514
109812220412504,Musa Habib Raja,Musa Habib Raja,496
105690462092880,MM News Videos,MM Digital PVT LTD,386
240488586026340,"SINA Health, Education & Welfare Trust","SINA Health, Education & Welfare Trust",371
986013844824671,In Zhejiang,These ads ran without a disclaimer,268
109676458413003,Akhlaq Ahmad Bidani 0fficial PP288,Akhlaq Ahmad Bidani 0fficial PP288,266
273161129539624,Khalid Javed Warraich,Khalid Javed Warraich,250
931203933666198,Startup Pakistan,Startup Pakistan,224
107801948674316,BBU News WORLD,BBU NEWS WORLD,170
100985089430508,Ch Mumtaz Akhtar kahloon,Ch Mumtaz Akhtar kahloon,170
549412198507631,"Allied Schools Shahpur Campus, Sargodha","Allied Schools Shahpur Campus, Sargodha",106
597860000415785,Pakistan Islamic Republican Party,Azhar Mahmood,≤100
113578877760214,Shahid Khan,Shahid Khan,≤100
115558644746754,Ehsan Ul Haq Bajwa,Medical Resource Group,≤100
100427168538381,Sardar Mehboob Khan Khetran,Sardar Mehboob Khan Khetran,≤100
100297025991496,NA Yazman,NA Yazman,≤100
116771984655433,نظریاتی انصافین,Nazaryati Insafian,≤100
103998414863308,desidoodleguy,These ads ran without a disclaimer,≤100
2107858016193986,Voice of Sindh,Voice of Sindh,≤100
104789632113642,Republic URDU,Republic URDU,≤100
118138429596708,Raavya Sarda,These ads ran without a disclaimer,≤100
103420499063138,Muhammad Ejaz Awan JI dik,These ads ran without a disclaimer,≤100
115411716680715,Mian Aamir Shahbaz,These ads ran without a disclaimer,≤100
102532432516110,Rana Hamid Nawaz,These ads ran without a disclaimer,≤100
100112112760730,Adeel Ali Khan,Adeel Ali Khan,≤100
116308369063243,Kambria,These ads ran without a disclaimer,≤100
102108549408447,Muhammad Asghar Mirza,These ads ran without a disclaimer,≤100
105369155798997,Haroon Anjum,These ads ran without a disclaimer,≤100
100800439394003,callme.emaanx,These ads ran without a disclaimer,≤100
106386158767588,DOPE Quick Reads,These ads ran without a disclaimer,≤100
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100
207929953869,U.S. Consulate General Karachi,These ads ran without a disclaimer,≤100
110622064197854,Edilume,These ads ran without a disclaimer,≤100
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100
