Page ID,Page name,Disclaimer,Amount spent (USD)
578156405862003,Peoples Voice,Run Ads Agency,≤100
254138648026636,সফল বাংলাদেশ,Effective Lead Gen,≤100
113907884923546,Voice of the Displaced People,Reality Media US,≤100
275290502504116,PBS (Books+Music+Cafe),PBS Ltd.,≤100
100612562275472,Razzak Fashion - রাজ্জাক ফ্যাশন,Razzak Fashion - রাজ্জাক ফ্যাশন,≤100
527402880793569,MAMUN BOOK HOUSE,Md. Salim Prodania,≤100
353130515348425,Bangladesh Nationalist Party-BNP,Bangladesh Nationalist Party-BNP,≤100
111251941065959,বাংলার সমাচার,Think Digital Way,≤100
105076458717354,Feed the Future Bangladesh Policy LINK Agricultural Policy Activity,Feed the Future Bangladesh Policy LINK Agricultural Policy Activity,≤100
195123041072338,নাশকতা - Nashokota,All Marketing Center,≤100
103414131574909,Press Xpress,PressXpress,≤100
116167389784568,আমার নেত্রী আমার অহংকার,Flix Marketing,≤100
260485101489192,Go Bangladesh,All Marketing Center,≤100
162107741307973,এই বাংলাদেশ আমাদের,My Farmers Marketing,≤100
565225540184937,CGTN,These ads ran without a disclaimer,≤100
116727611307181,রুখে দাও ষড়যন্ত্র,Royalties Ads,≤100
1637850026472872,বঙ্গবন্ধু অনলাইন আর্কাইভ,Flix Marketing,≤100
340712943142937,রাণীর কুঠি - Ranir Kuthi,রাণীর কুঠি - Ranir Kuthi,≤100
107579682072496,নাগরিক বার্তা,Httr Ads,≤100
106254828481844,সত্যের পথে আগামীর সম্ভাবনায়,সত্যের পথে আগামীর সম্ভাবনায়,≤100
225353397503225,Zunaid Ahmed Palak,Zunaid Ahmed Palak,≤100
1930781123914291,আবিজা,All Marketing Center,≤100
1763961473907868,সেই রাজাকার এই রাজাকার,Centrals Marketing,≤100
2178258972197731,Jashorer Alo - যশোরের আলো,Marketing Hub,≤100
105867285406730,Deshi Dokandar-দেশি দোকানদার,Deshi Dokandar-দেশি দোকানদার,≤100
184405109132256,দুর্বার টাংগাইল - Unstoppable Tangail,দুর্বার টাংগাইল - Unstoppable Tangail,≤100
132975130832652,Amader Muktijuddho,My Farmers Marketing,≤100
433659713676324,Daily Bangladesh,Daily Bangladesh,≤100
269704510100247,বাংলার বাঘ,Centrals Marketing,≤100
104298037896793,Prof Dr Habibe Millat MP,Prof Dr Habibe Millat MP,≤100
100662781542829,Shaikh Rabiul Alam - শেখ রবিউল আলম,Shaikh Rabiul Alam,≤100
252877475497729,The Bangla Herald,Marketing Pro US,≤100
2022137391381938,এই বাংলাদেশ তোমাদের নয়,My Farmers Marketing,≤100
258911791465071,সত্যাপন জামালপুর - Affirmation Jamalpur,সত্যাপন জামালপুর - Affirmation Jamalpur,≤100
106690084271780,booksbd.net,booksbd.net,≤100
1596865273932452,Apex,These ads ran without a disclaimer,≤100
1865638280223884,Rajneeti - রাজনীতি,Rajneeti - রাজনীতি,≤100
104106602431215,বইমেলা বিডি.কম,Md Rafiqul Islam,≤100
106518781332303,ময়মনসিংহের আলো- Mymensingher Alo,Mymensingher Alo,≤100
282667255243767,Abul Kalam Azad,Md Nur Alam Siddik,≤100
110158975239323,Our Voice,Our Voice,≤100
105805728732919,Rohingya Insights,All Digital Trade,≤100
108406738509608,রোহিঙ্গা আপডেট,All Digital Trade,≤100
1910583609067515,প্রগতির মানিকগঞ্জ-Progotir Manikganj,My Solution Blog,≤100
509936206006336,অপরূপা,Centrals Marketing,≤100
117209162477,Ebarta24.com,Marketing Pro US,≤100
105954962262162,Newsday 24,Newsday 24,≤100
100182849339159,Voice of Ti Tareq,Voice of Ti Tareq,≤100
113533724978247,Hate War Criminals & Their Collaborators,Flrida Marketing,≤100
388975341269133,Tonmoy Ahmed,Tonmoy Ahmed,≤100
378866836224660,কেরানীগঞ্জের আলো-Keraniganjer Alo,Marketing Solution,≤100
110233305051874,Our BNP,Our BNP,≤100
100720725345585,boiaro.com,boiaro.com,≤100
2048704288508984,বর্ণিল নবাবগঞ্জ-Bornil Nobabgonj,Auto App Inc,≤100
42430188985,GayTravel,These ads ran without a disclaimer,≤100
385200605556790,OLD Collection,Md Rozoan,≤100
145950872733471,Unnayan Shamannay - UnSy,Unnayan Shamannay - UnSy,≤100
108845447402685,অপরাজিতা - Oporajita,Real Auto Tech,≤100
100291172796105,EurAsia Overseas/RL: 2176,Saleha Begum,≤100
103064019198687,পালে হাওয়া,Tek Mark Online,≤100
101326716044179,স্বপ্নচুড়া,Buy Solutions,≤100
101740226004641,কিচিরমিচির - Kichirmichir,Buy Solutions,≤100
104498828746909,Rare & Old Books Collection,Md Rozoan,≤100
378886745490924,Aparadh Kantha - অপরাধ কন্ঠ,Effective Lead Gen,≤100
104206668899546,NRB itv,NRB itv,≤100
103659765532260,華夏focus,These ads ran without a disclaimer,≤100
1342865325731615,Mayor Md Habibur Rahman Malek,Amil Sadekin,≤100
347135082762359,Salman F Rahman,Salman F Rahman,≤100
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100
105607995706984,rv_thedevil,These ads ran without a disclaimer,≤100
108103858747349,Mga Mensahe ng Islam,These ads ran without a disclaimer,≤100
