Page ID,Page name,Disclaimer,Amount spent (JPY)
1904070096535109,スマート選挙,株式会社センキョ,1105
475681929154100,国連UNHCR協会,国連UNHCR協会,240
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,172
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,≤100
1397074863864450,Fair Finance Guide Japan,Fair Finance Guide Japan,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
125257357528046,"株式会社クリーク・アンド・リバー社（Creek and River Co., Ltd.）","株式会社クリーク・アンド・リバー社（Creek and River Co., Ltd.）",≤100
881025135256351,Japan In-depth,Japan In-depth,≤100
151214938794853,ミエセン,ジャッグジャパン株式会社,≤100
115053374813920,BizFul/ビズフル - ビジネスに役立つ資料が見つかる,株式会社ビズフル,≤100
1368986999877458,寺田ひろひで,博英 寺田,≤100
603731356470113,関西学院大学　診療所を中核とした地域医療経営人材育成プログラム,関西学院大学専門職大学院　経営戦略研究科,≤100
103672785906234,株式会社プレスティージ,株式会社プレスティージ,≤100
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,≤100
676655469036670,松下政経塾,松下政経塾,≤100
799450623410556,ホテルグレイスリー／Hotel Gracery,These ads ran without a disclaimer,≤100
1574213032824051,交通事故を検証する。,鶴田 敬治,≤100
1559490264356988,NPO法人有明支縁会,NPO法人有明支縁会,≤100
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,≤100
133296680072627,猪瀬直樹,These ads ran without a disclaimer,≤100
