Page ID,Page name,Disclaimer,Amount spent (EUR)
332170236842216,Vattenfall,Vattenfall Oy,≤100
193483830745465,Kuopion Kokoomus,Kuopion Kokoomus,≤100
323214638464470,Ehdokas Harri Väänänen,Harri Väänänen,≤100
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,≤100
164215986922425,Yhteisvastuu,Kirkkopalvelut ry,≤100
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,≤100
309459326150013,Teollisuusliitto,Teollisuusliitto,≤100
104537989034024,Timo Väänänen,Timo Väänänen,≤100
112647521722168,Kari Riihola #arjenpolitiikkaa,Kari Riihola,≤100
106071491556767,Pekka Timonen - Poliitikko,Pekka Timonen,≤100
1631165890489545,Gasum,Gasum Oy,≤100
416727495043633,Sakari Pääkkö,Sakari Juho Johannes Pääkkö,≤100
184540361565384,Matti Semi,Vasemmistoliiton eduskuntaryhmä,≤100
119054448115588,WWF Suomi,WWF Suomi,≤100
164140805263467,Ella Partanen,Ella Partanen,≤100
360860753953531,Fortum,Fortum Suomi,≤100
141305472602496,Sähköliitto,Sähköalojen ammattiliitto,≤100
339142479554610,Timo Suhonen,Timo Paavo Johannes Suhonen,≤100
180273268847212,Savo-Karjalan Kokoomus,Savo-Karjalan Kokoomus,≤100
221546168309213,Petri Nieminen - Ympäristön ja ihmisen asialla,Petri Nieminen,≤100
967000373315460,Savo-Karjalan Vasemmisto,Savo-Karjalan Vasemmisto,≤100
9227859351,Greenpeace Suomi,Greenpeace Suomi,≤100
141772896580,Kauppa.fi - Kaupan liitto,Kaupan liitto,≤100
103615098153677,Kati Hynninen,Kati Emilia Hynninen,≤100
107086122672929,Savon Sanomat,Savon Sanomat,≤100
167646186591465,Krista Mikkonen,Krista MIkkonen,≤100
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,≤100
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,≤100
136656729733568,YIT Suomi,YIT Suomi,≤100
355748968891337,Sanna Rissanen - Rissaska,Sanna Marja Annukka Rissanen,≤100
105880982314983,Ahti-Pekka Vornanen,Ahti-Pekka Vornanen,≤100
1515596498719654,Kaskipuu Oy,These ads ran without a disclaimer,≤100
198817806799305,Warkauden Lehti,Warkauden Lehti,≤100
341808423724092,Niina Laitinen Vasemmistoliitto,Niina Laitinen,≤100
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,≤100
201285237101,Kokoomus,Kokoomus,≤100
181106108341,Perussuomalaiset,Perussuomalaiset,≤100
530018541273980,Töihin Norjaan Palvelu,These ads ran without a disclaimer,≤100
100211631984253,Heikki hoitaja Korppi eduskuntaan 2023,Heikki Korppi,≤100
146594745401444,Iisalmen Sanomat,Iisalmen Sanomat,≤100
388413937898474,Jere Nuutinen,Jere Nuutinen,≤100
111256388258522,Heikki Miettinen SDP,Heikki Errik Miettinen,≤100
220979494594748,Kuntarekry.fi,Kuntarekry,≤100
148387291884447,Pohjois-Savon Keskustanuoret,Pohjois-Savon keskustanuoret,≤100
101187807940652,Teva Finland,These ads ran without a disclaimer,≤100
541646375868442,Kuopion Keskusta,Keskustan Kuopion kunnallisjärjestö ry,≤100
433087293448371,Tiedekulma,Tiedekulma,≤100
134934386349,Amnesty International - Suomen osasto,Amnesty International Suomen osasto,≤100
170559451901,Yle,Yleisradio Oy,≤100
246600205352746,KD Nuoret/KD Unga,Suomen Kristillisdemokraattiset (KD) Nuoret ry,≤100
261929353938587,Elinkeinoelämän keskusliitto EK,Elinkeinoelämän keskusliitto,≤100
926886924012421,Markku Eestilä,Markku Yrjö Eestilä,≤100
104418794504506,LähiTapiola Kiinteistövarainhoito,LähiTapiola Kiinteistövarainhoito,≤100
187533664613953,Ammattiliitto Pro,Ammattiliitto Pro,≤100
112361968438736,Risto Pirinen,Lauri Hyvärinen,≤100
33722070600,Vihreät - De Gröna,Vihreä liitto rp.,≤100
1566987606884915,Metsä palvelee,Metsäliitto Osuuskunta,≤100
364985376911128,Maija Silvennoinen KD,Maija Silvennoinen,≤100
1318894224842064,Kaisa Kantele,Kaisa Kantele,≤100
1459958094023251,Jertta Harinen,Jertta Harinen,≤100
107558955043700,Matti Rinnekangas Perussuomalaiset,Kari Tapani Laurila,≤100
1743461975762131,Tuula Väätäinen,Tuula Väätäinen,≤100
463085777048015,Sami Ristiniemi Eduskuntaan,Sami Ristiniemen Tuki Ry,≤100
695618953844243,Inhimillisiä Uutisia,Inhimillisiä Uutisia,≤100
200739723082,University of Helsinki,University of Helsinki,≤100
102566909780881,Reilu kauppa,Reilu kauppa,≤100
113398820097,Pelastakaa Lapset,Pelastakaa Lapset ry,≤100
54313274188,Naisten Pankki,Naisten Pankki,≤100
106631037955828,"Sanna Kauppinen, kaupunginvaltuutettu",Sanna Kauppinen,≤100
322478695679,Länsi-Savo,Kaakon Viestintä Oy,≤100
495913440438687,Päijät-Hämeen Keskusta,Päijät-Hämeen Keskusta,≤100
110959555683831,Akavan Erityisalat,Akavan Erityisalat,≤100
370574103077991,Lääketeollisuus,Lääketeollisuus,≤100
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,≤100
355695141779,Itä-Savo,Kaakon Viestintä Oy,≤100
220884089007,Suomen luonnonsuojeluliitto,Suomen luonnonsuojeluliitto,≤100
287627352880,Suomen Pipliaseura,Suomen Pipliaseura,≤100
243988403384,Docendo,Docendo Oy,≤100
106279736072242,SFP i Helsingfors,SFP i Helsingfors,≤100
