Page ID,Page name,Disclaimer,Amount spent (ARS)
101185599412309,Marcos para Neuquén,Marcos para Neuquen,107936
104726201267494,Legislatura de Neuquén,Legislatura de Neuquén,53688
391699984932525,Pablo Cervi,Cambia Neuquén,19404
1275311129309933,Marcos Koopmann,Marcos Koopmann,14846
106123089070188,Indignadonqn,Indignado Neuquén,14113
2438220102914670,Juan Pelaez,Julio Grasso,10996
1534228410008453,Rolo de la gente,NDIF,9111
100513966017836,Noticias del Sur,Noticias del Sur,6253
100932749306130,Noticias Andinas,Noticias Andinas,5455
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,5451
1086999731414893,Lucas Castelli,Lucas Alberto Castelli,4925
105434454484182,Difusión de Prensa Argentina,Difusión de Prensa Argentina,4831
109237045323181,Patagonia Noticias,Patagonia Noticias,3593
100686031576569,Primero la gente,Secretaría de Medios y Comunicación Pública,2761
110039918575012,Noticias Express,Noticias Express,2687
110276628358382,El Autónomo,El Autónomo,2676
391699984932525,Pablo Cervi,Centro de Inversiones y Desarrollos Patagónicos,2519
106716278920168,Noticias Argentinas,Noticias Argentinas Web,2449
107631983989726,Argentina Federal,Argentina Federal,2416
107473468922571,Es hora de levantarse,Es Hora de Levantarse,2407
699758330894365,Actualidad Argentina,Actualidad Argentina,2118
113783585451798,Mariano Mansilla,Mariano Victorio Mansilla Garodnik,1968
429668923837600,Unidad Popular Río Negro,Unidad Popular Río Negro,1722
285132778254393,Neuquén Al Instante,Neuquén al Instante,1106
102065335344667,Matías Ángel Ramos,Evolución,1049
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,887
532973710863209,Evolución Plottier,Evolución,712
1191062154289959,Aluvión 21 Zapala,Aluvión 21 Zapala,605
110987181909987,Luis Madueño Intendente,Carlos Eduardo Madueño,517
110466097930548,Denisse Stillger,Denisse Stillger,491
411231642263185,Rolo Figueroa,Rolo Figueroa,459
108257385522220,Guille Sanchez 2023,Jorge Andino Roberto Taylor,447
105933872199149,Mística,Mística,384
101996084777901,Mariela Belski,Mariela Belski,292
108999798363368,Primicias Neuquinas,Primicias Neuquinas,206
