Page ID,Page name,Disclaimer,Amount spent (INR)
108019578732536,Khabar Rajasthan,Khabar rajasthan,16358
804538566410307,Sudhindar Moond,Rohit Githala,13969
442710802417591,Baljeet Yadav,Baljeet Yadav,12649
278423842321236,BJP Rajasthan,Bharatiya Janata Party (BJP),8856
104516512296314,Kartikeya Sharma,Adv Tech,4823
251971332383556,Yashveer Shoora,Mukesh Kumar Yadav,4788
184278081698180,Ashok Gehlot,Ashok Gehlot,2124
242854309081857,Hanuman Beniwal,Hanuman Beniwal,2100
404746486258732,Project Nanhi Kali,Project Nanhi Kali,1960
107395897271506,Kutumb,Swatantra Verma,1800
107567748879463,Surendra Saraf,Surendra Saraf,1769
102410136024947,CMJAY UTPAL,Utpal Infra project LLP,1412
203475020019207,New rise public school,These ads ran without a disclaimer,1353
505327936635830,Ashok Chandak,Coceptual Media,1188
114905439949088,Karuna Ashok Chandak,Coceptual Media,1150
21169267101,Give,Give,1101
153063591397681,Amazon Web Services,These ads ran without a disclaimer,1065
100764935994274,Mukesh Sharma,Rupali Sharma,1020
106590262277076,"Chokho Kaam, Jaadugar Naam",Chokhokaam Jaadugarnaam,1013
2108726996065900,Bhawani Singh Rundal,Pawan Kumar Sharma,1003
102822679137454,Shaktirath Singh “शक्ति”,Shaktirath Singh “शक्ति”,977
170484126349815,Indian Cancer Society,Indian Cancer Society,896
675268652538693,Dr Dhan Singh Rawat,Raj Singh,882
326102339565,Oxfam India,Oxfam India,878
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,864
213947398791863,Dhananjai Singh Khimsar,Dhananjai Singh,832
102218576103904,Badlaav ki Aandhi Priyanka Gandhi,Badlaav Ki Aandhi Priyanka Gandhi,825
1521106071438318,CMO Chhattisgarh,IVS Corporation,802
577856385582447,Raghu Sharma,Kanishk Bansal,770
388740271500168,Yuvraj Vashistha,Dinesh Kumar Saran,763
102571638081024,Vipra sena,Pawan Kumar Sharma,762
174283119250672,Save the Children India,Bal Raksha Bharat,760
241514919617090,Dileep Puri,Dileep Puri,723
108102345201383,Pappu Gappu - पप्पू गप्पू,PappuGappu.com,693
805526169610318,Shubhashray Housing India,shubhashray housing india,687
100408622352310,Mohit Yadav,Mohit Yadav,636
1327351450720146,Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Pharmaceuticals & Medical Devices Bureau of India,624
165714096933078,Piyush Goyal,Piyush Goyal,593
293842994291928,Devendra Bishnoi,Yashpal Bishnoi,560
105815225595031,मोदी साथे राजस्थान,modisaatherajasthan.com,553
1296730893678209,Rooparam Saran Bmr,Rupa Ram Saran,530
100113008488735,Eknath Shinde FC,Eknath Shinde FC,528
469343139809648,Rajendra Rathore,Engitech Media,519
168205947057352,Madan Singh Chouhan,Madan Singh Chouhan,489
108979231954218,Shankar Lal Meena,Mahaveer Prasad Sharma,482
100647446235574,Bhajpa Ki Bigdi Tigdi,Bhajpa Ki Bigdi Tigdi,479
110115671863420,Kacche Din,Kacche Din,464
2156789771066526,Archi's Galaxy,Archis Galaxy,457
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,433
101206052272845,Devi Singh Shekhawat,Lekhraj Kumawat,421
927522240625937,Pukhraj Suthar Rlp,Pukhraj Choudhary,408
100684609345673,म्हारा छोरा,adv-tech,399
