Page ID,Page name,Disclaimer,Amount spent (CAD)
269577048182,Stollery Children's Hospital Foundation,Stollery Children's Hospital Foundation,2455
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,1118
113297740077607,Canadian Energy Centre,Canadian Energy Centre,717
115835521825983,UNHCR Canada,UNHCR Canada,481
184257548280251,Alberta's NDP,Alberta's NDP,397
109045051805492,Made The Canadian Way,Canadian Energy Centre,321
103290118198670,Alberta Women's Health Foundation,Alberta Women's Health Foundation,241
167800183238142,YourAlberta (Government of Alberta),Government of Alberta,204
6319213302,Heart & Stroke,Heart & Stroke,192
163336718421,PSAC - AFPC,PSAC - AFPC,185
261752512263,Canadian Red Cross,Canadian Red Cross,166
1097840090260804,National Police Federation,National Police Federation,134
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,133
168617319831578,Nature Canada,Nature Canada,133
117109432079,CAMH Foundation,CAMH Foundation,113
24235835555,Kids Help Phone,Kids Help Phone,111
107385241806,Plan International Canada,Plan International Canada,108
590117937780756,Oil Sands Action,Canada Action,106
112554280322795,Kivalliq Hydro-Fibre Link,Kivalliq Hydro-Fibre Link,≤100
139019864276,Oxfam Canada,Oxfam Canada,≤100
394745970602999,The Council of Canadians,The Council of Canadians,≤100
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,≤100
121818350969,AUPE - Alberta Union of Provincial Employees,Alberta Union of Provincial Employees,≤100
104386908631938,Pathways Alliance,Pathways Alliance,≤100
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,≤100
202220023130891,Bell Canada,Bell Canada,≤100
104308078247296,Science Up First,Science Up First,≤100
124239144255718,City of Calgary – Your Local Government,City of Calgary – Your Local Government,≤100
105884058088671,Keep Alberta RCMP,National Police Federation,≤100
110179134502701,The Healthy Ecologies and Lifestyles Lab,Simon Fraser University,≤100
27234020592,UNICEF Canada,UNICEF Canada,≤100
190502667652613,Canada’s NDP / Le NPD du Canada,Canada’s NDP / Le NPD du Canada,≤100
659207274119133,Banff-Kananaskis Alberta NDP Constituency Association,Banff Kananaskis NDP,≤100
35715544220,Stand.earth,Stand.earth,≤100
103947395932025,mstrishaaa,Trish Tsui Ting Ting Yeung,≤100
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,≤100
104128641336287,Indigenous Resource Network,Indigenous Resource Network,≤100
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,≤100
1889849914634460,Shuvaloy Majumdar,Shuvaloy Majumdar Nomination Campaign,≤100
46085362644,Regional Municipality of Wood Buffalo,Regional Municipality of Wood Buffalo,≤100
250592478295316,C2C Journal,C2C Journal,≤100
31912359596,University of Saskatchewan,University of Saskatchewan,≤100
114849617772737,Care2 Canada,Press Pause Collective,≤100
109351050711893,IndigiNews,The Discourse,≤100
73707923189,Bissell Centre,Bissell Centre,≤100
901776976544599,RBC Wealth Management,RBC Wealth Management,≤100
568938803293644,True North,True North,≤100
110676918090127,Kayande For Calgary Elbow NDP,Samir Kayande,≤100
405377872902754,Canada Action,Canada Action,≤100
106764462731658,Honest Reporting Canada,Honest Reporting Canada,≤100
179488658767581,ICI Alberta,Radio-Canada,≤100
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,≤100
53071821078,Monarchist League of Canada / Ligue monarchiste du Canada,The Monarchist League of Canada,≤100
281999881613,World Vision Canada,World Vision Canada,≤100
597902120327040,"Martin Shields, MP","House of Commons, Office of Martin Shields MP",≤100
143249880633,World Animal Protection Canada,World Animal Protection Canada,≤100
19750184960,Greenpeace Canada,Greenpeace Canada,≤100
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,≤100
