Page ID,Page name,Disclaimer,Amount spent (NOK)
135843375926,UNICEF Norge,UNICEF Norge,718
728518604216173,HELT MED,Stiftelsen HELT MED,≤100
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,≤100
798750773559841,Bufdir,"Barne-, ungdoms-, og familiedirektoratet",≤100
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,≤100
226417544192807,Tankesmien Agenda,Tankesmien Agenda,≤100
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,≤100
20468812735,LO,LO,≤100
186626994701210,Forbundet for Ledelse og Teknikk (FLT),Forbundet for Ledelse og Teknikk (FLT),≤100
116972608335219,Naturvernforbundet,Naturvernforbundet,≤100
1241838412569626,Novartis Norge,Novartis Norge AS,≤100
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,≤100
651537604944295,USHT Viken - Buskerud,These ads ran without a disclaimer,≤100
380405316155402,Stopp alzheimer og demens,Nasjonalforeningen for folkehelsen,≤100
371106536283235,DAG OG TID,Dag og Tid AS,≤100
329804540373370,Vestfold og Telemark fylkeskommune,Vestfold og Telemark fylkeskommune,≤100
100224199286614,Norsk-Ukrainsk Venneforening,Norsk-Ukrainsk Venneforening,≤100
164376077509790,MeyerHaugen,MeyerHaugen,≤100
87445018334,Nobel Peace Center,Nobel Peace Center,≤100
21967399403,Cappelen Damm,Cappelen Damm,≤100
191486484237133,Tillitsvalgtordningen i Forsvaret,Tillitsvalgtordningen i Forsvaret,≤100
46818767155,Miljøpartiet De Grønne - MDG,Miljøpartiet De Grønne,≤100
105939782037295,Altinget.no,Altinget AS,≤100
100231879042950,Fylkesordførerkandidat Niklas Eriksen - FrP,Niklas Eriksen,≤100
126448980866214,Klassekampen,Klassekampen AS,≤100
102040431616976,Beaufort Solutions,Beaufort Solutions,≤100
58345093445,Natur og Ungdom,Natur og Ungdom,≤100
157475710986651,Kvinnegruppa Ottar,Kvinnegruppa Ottar landsstyret,≤100
1496050797358890,Rødt Lørenskog,Rødt Lørenskog,≤100
110834997110171,Det Gode Testament,These ads ran without a disclaimer,≤100
128566103830426,Civita,Civita AS,≤100
189429677833005,Lørenskog SV,Lørenskog Sosialistisk Venstreparti,≤100
102203325950193,Ingvild Lemme Kristiansen,Stendi,≤100
224058237610836,Lørenskog Venstre,Lørenskog Venstre,≤100
173260776025204,ICAN Norge,ICAN Norge,≤100
106060042300827,Ann-Kristin Moldjord,Ann-Kristin Moldjord,≤100
112631767587663,Meninger24,Meninger24,≤100
157932564240522,Lørenskog FrP,Lørenskog FrP,≤100
46448594983,Næringsforeningen i Stavanger-regionen,Næringsforeningen i Stavanger-regionen,≤100
159084565236,Transit magasin,Transit Media AS,≤100
100885889429302,Verdinytt,Verdinytt AS,≤100
609322219124074,Bærum MDG,Bærum Miljøpartiet de Grønne,≤100
105521214958484,Stig-Ronny Nilsen- ordførerkandidat.,Stig-Ronny Nilsen- ordførerkandidat.,≤100
110053320476891,Kunstavisen.no,These ads ran without a disclaimer,≤100
105660388150489,Partiet Sentrum Innlandet,Partiet Sentrum Innlandet,≤100
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,≤100
217610311592724,Bærum Arbeiderparti,Bærum Arbeiderparti,≤100
110608508208830,Musikk i Innlandet,These ads ran without a disclaimer,≤100
2398568533531114,Velferdsmiks,NHO Service og Handel,≤100
156892357685143,Kjartan Alexander Lunde,Rogaland Venstre,≤100
101597542641620,Ukrainian PR Army,These ads ran without a disclaimer,≤100
266790296879,Bloomberg,These ads ran without a disclaimer,≤100
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100
