Page ID,Page name,Disclaimer,Amount spent (CHF)
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,≤100
600706570124933,Verkehrssanierungen JA,Komitee Verkehrssanierungen JA,≤100
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,≤100
600706570124933,Verkehrssanierungen JA,Verkehrssanierungen JA,≤100
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,≤100
103190662706168,NON à la Loi sur la Chasse.,Rolf Hugo Hilfiker,≤100
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
105890175750510,Luca Carbone  lucacarbone.ch,Luca Carbone,≤100
102269201722239,TV Riviera 24,Tv Riviera 24,≤100
203499872999296,Die Mitte Weinfelden,Die Mitte Weinfelden,≤100
158820214312321,Citations Ron Hubbard,Mieux Vivre Sa Vie,≤100
1483343695307824,Campax,Campax,≤100
190133177759419,Giuseppe Cotti,Giuseppe Cotti,≤100
100267076206781,Ensemble à Gauche solidaritéS-Parti du Travail-DAL,Ensemble à Gauche,≤100
100980232576650,Muriel Langenberger,Muriel Langenberger,≤100
103269145789541,Stop au blackout,Initiative populaire « De l’électricité pour tous en tout temps (Stop au blackout) »,≤100
100732476262537,GLP Willisau,GLP Wahlkreis Willisau,≤100
102014399307738,Direkt,direkt,≤100
