Page ID,Page name,Disclaimer,Amount spent (GTQ)
101405406148203,Valor Suchitepequez,Byron Estuardo Villatorio Liu,≤100
187073013532,Partido VIVA,Partido Político Visión con Valores,≤100
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,≤100
107186558438030,GT Noticias Guate,GT Noticias Guate,≤100
1630952833827354,Armando Castillo,Armando  Damian Castillo Alvarado,≤100
104917155362067,Roberto Arzu García-Granados,Roberto Arzú García-Granados,≤100
643513979193133,Unidos por Beatriz,Neuma,≤100
101971388212641,Noticias Pajapita S.M.,Jennifer Lopez,≤100
109189810962889,Comunidad Elefante,Shorik Yann Mejia Blanco,≤100
100423518427634,Comisión Presidencial Contra la Corrupción,Comisión Presidencial Contra la Corrupción,≤100
414705726133267,Elecciones Guate,These ads ran without a disclaimer,≤100
106908785419555,Goberna Guatemala,Goberna,≤100
