Page ID,Page name,Disclaimer,Amount spent (HUF)
109637397268775,Nyugati Pályán,Splendidea Communications Kft,29949
120370174702378,Magyarország Kormánya,Magyarország Kormánya,24448
191461774219575,hirado.hu,hirado.hu,8502
276554411147,Szabolcs Online,Mediaworks Hungary Zrt.,7381
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,7282
543788999005363,ORIGO,Mediaworks Hungary Zrt.,6576
1534911313439123,Ripost,Ripost,6185
110435704162069,V. gr. Molnár-Gazsó János,Vitezi Rend,3808
248172631940,Mandiner,Mediaworks Hungary Zrt.,3510
178362315106,European Parliament,European Parliament,3130
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,2419
294815374340858,Donáth Anna,Momentum Mozgalom,2074
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,1969
471093016323310,Kovács Ferenc,Dr. Kovács Ferenc,1955
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,1911
108346693873484,Győrffy Balázs,Balazs Gyorffy,1393
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,1286
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,1281
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,1227
1869511526651884,Zsigmond Barna Pál,Fidesz,1050
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,1007
594088897289853,Alapjogokért Központ,Alapjogokért Központ,950
851784814892644,Simicskó István,KDNP frakció,936
103874348723105,Megoldás Mozgalom,Megoldás Mozgalom,907
164762586881530,Mága Zoltán,These ads ran without a disclaimer,783
2333785046715138,Szenti Tibor,Szenti Tibor,776
537817739693723,Brain Bar,Brain Bar,767
264517713636590,PestiSracok.hu,PestiSrácok.hu,646
102426795954406,Nobilis Márton,Nobilis Márton,643
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,630
1215492498464496,Angyal Károly,Angyal Károly Tibor,589
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,586
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,557
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,538
762305787130420,Józsefvárosi Fidesz,Józsefvárosi Fidesz,534
100401808007704,EzaLényeg.hu,EzaLényeg.hu,511
131283758531,HVG,HVG Kiadó ZRt.,456
2407809316170057,Szendefy Mária - LMP,LMP - Magyarország Zöld Pártja,441
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,438
108248022589754,Bosch Magyarország,Bosch Magyarország,426
206829842043,Rétvári Bence,Rétvári Bence,425
101028767982783,Ne dolgozz ingyen,PDSZ - Pedagógusok Demokratikus Szakszervezete,396
170187966339475,Life.hu,Mediaworks Hungary Zrt.,387
132593883577930,Dr. Keresztes László Lóránt,LMP - Magyarország Zöld Pártja,366
345496092135627,Hír TV,Mediaworks Hungary Zrt.,332
447204268797621,RTL.hu,RTL.HU,314
112694594992064,Mehr Licht,Mehr Licht,301
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,297
280824018686990,Fidesz Mosonmagyaróvár,Fidesz Mosonmagyaróvár,296
451844608304228,Metropol,Metropol,290
109565208474856,Startlap - Utazás tippek,Central Médiacsoport Zrt.,287
1408906262689093,Nyitrai Zsolt,Fidesz,280
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,261
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",260
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,245
105774734948091,Hungarian Conservative,Hungarian Conservative,244
135889536506991,Design Terminal,Design Terminal Nonprofit Kft.,221
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,219
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,210
623719727672871,Nestlé,Nestlé Hungária Kft.,201
221761091331222,Danube Institute,Danube Institute,194
116757978733537,Művelt Nép Könyvkiadó,These ads ran without a disclaimer,177
103535901965121,Európához Tartozunk Egyesület,Európához Tartozunk Egyesület,173
206519396034626,agrotrend.hu,Agrárin Kft.,156
113183730045421,Momentum Klímakörök,Momentum Mozgalom,154
1239893846155692,Tompos Márton,Momentum Mozgalom,154
408924035951553,Körforrás,Körforrás,146
106280224056208,Gelencsér Ferenc,Momentum Mozgalom,140
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,136
592204747588011,Momentum Mozgalom,Momentum Mozgalom,134
102186064905787,Zöld Követ Egyesület,Zöld Követ Egyesület,134
1867333200197695,Messer Hungarogáz,Messer Hungarogáz,125
110044873939739,Rehó János,Rehó János,119
127539005484626,Very Important Planet,thevip.hu,116
115295915203476,Európa Pont,Európai Bizottság Magyarországi Képviselete,115
1059773170712510,Őri László,Dr. Őri László Szabolcs,112
519279158277826,Szülői Hang,Szülői Hang,109
102162522364746,hovege.hu,These ads ran without a disclaimer,107
876772425797119,Hölvényi György,Hölvényi György,106
107021478565752,Össze-Hordó,Fehérvár Hangja,104
85568463466,Mérce,Mérce,≤100
149061108240,Kocsis Máté,Fidesz,≤100
190624800967882,NANE Egyesület,NANE Egyesület,≤100
320645820787,Haszon magazin,Haszon magazin,≤100
150836998898897,aHang,aHang,≤100
286146221590937,Direkt36,Direkt36,≤100
103478164920832,Rubicon Intézet,Rubicon Intézet,≤100
1307582692639091,Magyar Érmeforgalmazó Kft.,These ads ran without a disclaimer,≤100
186937904681332,Szabó Rebeka,Párbeszéd Magyarországért Párt,≤100
162344823835042,atlatszo.hu,Átlátszónet Alapítvány,≤100
110292211697859,Erdélyi Rezső Krisztián Nézőpontja,Nézőpont,≤100
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,≤100
76748198685,Budapest Pride,Budapest Pride,≤100
104594918109266,Magyarország Ügyészsége,Magyarország Ügyészsége,≤100
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,≤100
142684465906231,Üdvhadsereg Salvation Army Hungary,Üdvhadsereg Szabadegyház Magyarország,≤100
107123677458699,Külpologika,Tamás Novák,≤100
