Page ID,Page name,Disclaimer,Amount spent (BRL)
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,≤100
145608108896911,Frente Parlamentar da Agropecuária - FPA,Instituto Pensar Agropecuária,≤100
278887206056242,Deputado Coronel Chrisóstomo,Deputado Coronel Chrisóstomo,≤100
171169022896525,Guaraná Antarctica,Ambev,≤100
110972683845381,Conta Bemol,Bemol Serviços Financeiros,≤100
106558185227603,BP Select,Brasil Paralelo Entretenimento e Educação S/A,≤100
112830251033781,Tiger,GRUPO HEINEKEN,≤100
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,≤100
106869981440689,Brasil Certo,BRASIL CERTO,≤100
191350447601059,Jornal Rondônia Dinâmica,Jornal Eletrônico Rondônia Dinâmica,≤100
1745314689088377,Delegado Rodrigo Camargo,Delegado Rodrigo Camargo,≤100
689112307868644,Aleks Palitot,Aleksander Allen Nina Palitot,≤100
159103797542,Greenpeace Brasil,Greenpeace Brasil,≤100
768096813338330,Sérgio Tobias,Sérgio Tobias,≤100
1081308168609888,Rafael de Paula,Rafael Paula,≤100
121116005943892,Saúde Não Se Pesa,NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA,≤100
110418455214538,Bernardo K.,Filhos do Trovão,≤100
108742321417244,Gerson Aragão,SCIREJUS APLICATIVOS JURIDICOS LTDA,≤100
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,≤100
101189854802059,Revista Oeste,Revista Oeste,≤100
198849783539777,Buscofem,Buscofem,≤100
196481247049227,Governo de Rondônia,These ads ran without a disclaimer,≤100
377574165675945,OAB Rondônia,OAB RONDÔNIA,≤100
109272165397476,Gerson Aragao,SCIREJUS APLICATIVOS JURIDICOS LTDA,≤100
113165042099382,Brasil 61,Brasil 61,≤100
181979211894401,ENGIE,These ads ran without a disclaimer,≤100
611089352393703,Rosangela Donadon - Deputada Estadual,Rosangela Henrique Pereira Donadon,≤100
104738421003389,InvestNews BR,Easynvest,≤100
107742651063250,Academia de Pesquisa,Academia Brasileira de Formação e Pesquisa,≤100
330379553673497,Oxfam Brasil,Oxfam Brasil,≤100
224777780881144,Visão Mundial,Visão Mundial,≤100
104498669210628,Gustavo Rodrigenes,Assinatura Direito,≤100
111186368956008,Academia Brasileira de Direito Constitucional,ABDConst,≤100
258088921369,TOTVS,TOTVS,≤100
795066333934481,Mulheres Republicanas,Mulheres Republicanas,≤100
333720355130,Petrobras,Petrobras,≤100
109918909035681,Cerveja Brahma Oficial,Ambev,≤100
282802611759257,MidiaJur - Jornalismo Plural,Midiajur,≤100
110334640725080,ima.brasil,IMA - Instituto Mulheres da Amazônia,≤100
