Page ID,Page name,Disclaimer,Amount spent (CHF)
109851415363558,Energiezukunft Chur,Überparteiliches Komitee für eine eigenständige und nachhaltige Energiezukunft Chur,≤100
110677511523288,Die Mitte Klosters,Die Mitte Klosters,≤100
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,≤100
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,≤100
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,≤100
36735923253,umverkehR,umverkehR,≤100
1524954517562834,Prominis,Prominis GmbH,≤100
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100
102014399307738,Direkt,direkt,≤100
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100
259871484198551,Thomas Matter,Thomas Matter,≤100
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,≤100
193388757364033,Solidar Suisse,Solidar Suisse,≤100
567417573785872,RefLab,These ads ran without a disclaimer,≤100
169510248558,Die Mitte - Le Centre,Die Mitte,≤100
103190662706168,NON à la Loi sur la Chasse.,Rolf Hugo Hilfiker,≤100
100980232576650,Muriel Langenberger,Muriel Langenberger,≤100
105890175750510,Luca Carbone  lucacarbone.ch,Luca Carbone,≤100
1521655228075451,solidaritéS Genève,solidaritéS Genève,≤100
809697199378485,Sandra Cellarius,Sandra Alice Cellarius,≤100
190133177759419,Giuseppe Cotti,Giuseppe Cotti,≤100
114584561517154,Komitee für ein JA zum Basler Steuerpaket,Komitee JA! zum Basler Steuerpaket,≤100
101122865395791,Matteo Buzzi,Matteo Buzzi,≤100
203499872999296,Die Mitte Weinfelden,Die Mitte Weinfelden,≤100
102269201722239,TV Riviera 24,Tv Riviera 24,≤100
1483343695307824,Campax,Campax,≤100
100116156110843,Stop al blackout,Iniziativa popolare «Energia elettrica in ogni tempo per tutti (Stop al blackout)»,≤100
104265952574760,EVP Kreuzlingen,Adrian Robin Ziörjen,≤100
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,≤100
106342144370236,Human Rights Watch Switzerland,Human Rights Watch Inc.,≤100
194790813901953,Grüne Schweiz,Grüne Schweiz,≤100
439417059491292,Alexander Boldachev,These ads ran without a disclaimer,≤100
64982236830,Alumni Association of the University of Michigan,These ads ran without a disclaimer,≤100
456668207859222,Enlaps,These ads ran without a disclaimer,≤100
216311481960,Bill Gates,These ads ran without a disclaimer,≤100
106708708228342,School of Humanity,These ads ran without a disclaimer,≤100
115604398121201,Dеutschе Wеllе,These ads ran without a disclaimer,≤100
