Page ID,Page name,Disclaimer,Amount spent (IDR)
102708602466860,Riau Dukung Ganjar,Ganjar Nusantara Indonesia,319154
101284185918970,Rumah Kita Riau,Ganjar Nusantara Indonesia,314640
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,278300
23383061178,Prabowo Subianto,indonesia Adil makmur,258681
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,256227
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,116713
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,105114
127232094369851,Sayed Abubakar A. Assegaf - Fanspage,Sayed Abu Bakar Abdullah,77929
104427162506872,Fakta Anies,Fakta Anies,74261
117726062218223,Riau Bicara,Edi,72267
342449962923657,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,47340
164882486874333,antaranews.com,antaranews.com,45397
106883058905796,Tanda Seru,Aditia Ramdani,42497
104622532469179,Populis,Aditia Ramdani,38312
108791055091382,"Ferdiansyah, SE",Ferdiansyah,27466
112121101796090,Opini 2024,Juniar Dwi Harianto,23216
256838011014355,Partai Gerakan Indonesia Raya (Gerindra),Partai Gerindra,20125
108791055091382,"Ferdiansyah, SE",These ads ran without a disclaimer,18670
101428652793656,Readktif,Aditia Ramdani,16211
197545083607941,Harian Kompas,Harian Kompas,15479
105818752347206,Teman Airlangga Hartarto,Aditia Ramdani,10777
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,8940
173776079818775,Saiful Mujani,Saidiman,7493
110771227439502,Teman Sandi,Miftakhul Ansori,5686
444318475704011,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,5608
111705291366075,Sobat Erick Thohir,Antonius Maghu Ate,4166
102712985995817,Sobat Airlangga Hartarto,Aditia Ramdani,4095
813887722072071,Yayasan Pundi Amal Bakti Ummat,Yayasan Pundi Amal Bakti Ummat,3814
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,3476
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,3010
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,2601
100634344801574,Gus Raharjo,Septian Raharjo,2235
312490859193724,mensbatik,Bayu Setayudha,2164
173996829810061,Ryan F Kono,"Ryan Fahrichsan Kono, B.Com",2062
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,1929
112417251582480,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,1887
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,1688
572779142753263,Freeport Indonesia,These ads ran without a disclaimer,1657
104843487722931,Portal Islam id,Portal Islam ID,1273
342449962923657,Berita Ganjar Pranowo,Septian Raharjo,1208
102273039070802,Info Terkini,Muhammad Miftakhunnaim,962
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,948
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,883
106253264560859,Air Kami,Air Kami,760
100879728277263,100 Juta Like Fans Berat Jokowi-Ahok,H. Dimjati,585
103581752405141,Sobar Harahap,Ganjar Nusantara Indonesia,554
110952238516382,Kiki Daliyo,Dwi Wantoro,484
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,452
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,423
748306718584642,ERM Academy,These ads ran without a disclaimer,392
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,382
100739975934515,Kemajuan Tanah Air,Muhammad Miftakhunnaim,347
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,341
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,301
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,290
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,289
107241861191421,Ilmu Tambang,Ilmu Tambang,261
104115510998802,EcoVero Indonesia,These ads ran without a disclaimer,212
103481332674639,DBR Harapan Baru,Verdian Saputra,177
112634688359045,Jinlaihui Cable factory,These ads ran without a disclaimer,≤100
170279823750522,Informasi Keren,These ads ran without a disclaimer,≤100
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,≤100
102497746096944,WiN FUND,These ads ran without a disclaimer,≤100
107761805584020,Yinitae Kutaeng,These ads ran without a disclaimer,≤100
106511139044515,Dedie Avando,These ads ran without a disclaimer,≤100
100159456344344,Wenda Sari,These ads ran without a disclaimer,≤100
110854881938436,Alief Pitria,These ads ran without a disclaimer,≤100
111742065181633,Sumato Kuanibale,These ads ran without a disclaimer,≤100
102901539408706,Septianti Aliyah,These ads ran without a disclaimer,≤100
