Page ID,Page name,Disclaimer,Amount spent (LBP)
101538412538521,شطرنج / مع محمد صابونجي,إياد خالد,37561
1428873024044736,المدن - almodon,المدن - almodon‎,16667
102023711572671,أساس ميديا -  Asas Media,asasmedia,16227
1438703606372190,Elham Said Freiha,Elham Freiha,15152
110470091436602,Ici Beyrouth,Ici beyrouth,15152
1680404738865135,Lebanon Elections إنتخابات لبنان,Lebanon Elections,13636
105758000974645,TAQADDOM - تقدم,Taqaddom,10606
466221740108607,May Chidiac Foundation - Media Institute,May Chidiac,7576
1744356319118477,هنا لبنان,هنا لبنان,7576
106197498149118,لبنان الكبير,Grand Lebanon,6061
322181790311,Lebanese Forces News,Lebanese Information Technology Services s.a.r.l,5152
164472683608068,Act for the Disappeared,ACT for the Disappeared,4545
100127203020362,Siyasiya,Michel Gedeon,3805
1918990294985442,Megaphone - ميغافون,Megaphone - ميغافون,3030
101985661610385,Annahar Al Arabi,Annahar Al Arabi,3030
212513695502997,Annahar Newspaper | جريدة النهار,Annahar Newspaper | جريدة النهار,2985
107266890756055,Nicolas Chikhani Finance,Nicolas Chikhani Finance,1515
118246218258237,Transparency International Lebanon - No Corruption,Lebanese Transparency Association-No Corruption,1515
107698404702208,Alkalima,Alkalima Onlime,1515
109112633772887,180post,180Post,1515
112484661459153,وقائع,وقائع,1515
204309706385271,Maharatnews,Maharat Foundation,1515
323356544336,KAFA (enough) Violence & Exploitation,KAFA (enough) Violence & Exploitation,1515
107800617419717,MYKA Foundation,Elie M. ElHelou,1515
105319651353770,Jusur,Jusur,≤100
274138756817,Architonic,These ads ran without a disclaimer,≤100
632259954063307,Moe El Sahili,These ads ran without a disclaimer,≤100
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100
112634688359045,Jinlaihui Cable factory,These ads ran without a disclaimer,≤100
106821968055687,Leila Dagher,Leila Dagher,≤100
121129357949826,Saida Online,Saida Online,≤100
119666034725265,Aster DM Healthcare,These ads ran without a disclaimer,≤100
104252028606448,صوت بنت جبيل,صوت بنت جبيل,≤100
