Page ID,Page name,Disclaimer,Amount spent (MXN)
264773293005,Marko Cortés,Marko Cortés,≤100
48966795116,Amnistía Internacional México,Amnistía Internacional México,≤100
56713285274,Greenpeace México,Greenpeace México,≤100
237286396650510,Enkoll Inteligencia de Mercados,Enkoll,≤100
182252948625872,Los Rescatadores,"Refleacciona con Responsabilidad, A.C.",≤100
254852601222832,CEMEX México,CEMEX México,≤100
592495347619799,Mi familia es primero,Yoxmex,≤100
512970635509057,Memo Flores,Guillermo Flores,≤100
536886746673043,Jóvenes MX,Yoxmex,≤100
147751821930575,Salud Digital Fundación Carlos Slim,Fundación Carlos Slim,≤100
107738917712607,ALA,Alexa Trujillo,≤100
109634395756375,Save the Children México,Save the Children México,≤100
114024430364416,YoXmx,Yoxmex,≤100
107652783975551,CS Medicina Estética,CS Medicina Estética,≤100
2224502900946392,Diplomados UNAM- Congreso.,Martin Vera,≤100
124631600949535,Yo Influyo,Yoxmex,≤100
101701991930418,UNIDEV,UNIDEV,≤100
106006482764390,Gobierno del Estado de Sinaloa,Gobierno del Estado de Sinaloa,≤100
105848177845789,All Out en español,All Out,≤100
100242005506001,Medestetic México,Medestetic México,≤100
142145835862894,IEXE Universidad,IEXE Universidad,≤100
101295992671758,Libertarismo México,México Libertario,≤100
1415691342026378,Fundación Carlos Slim,Fundación Carlos Slim,≤100
331303163575225,Red Familia,Red Familia,≤100
233652128065243,Goberna México,Goberna,≤100
160752503961,EMEEQUIS,EMEEQUIS,≤100
100200812059483,Nuestro Futuro,Nuestro Futuro AC,≤100
112273522167155,Corazón de Maguey,These ads ran without a disclaimer,≤100
104755174973661,Patty Torres,Patty Torres,≤100
953657811446042,Conciencia Nacional por la Libertad Religiosa,Fundación en Promoción de la Familia y la Libertad AC,≤100
138350596230547,GIRE - Grupo de Información en Reproducción Elegida,Menu Agency,≤100
245495562137150,Mitofsky,Roy Campos,≤100
923633637651202,Morena Sí,Morena Sí,≤100
707874865918912,ADN Alternativa Democrática Nacional,Canek Ortega Cano,≤100
112062751813437,Bachillerato en línea,Unidev Universidad SC,≤100
1614410865470755,Columnas de México,Columnas de México,≤100
122154061801959,Colectivo Mujeres Cabeza de Familia,Yoxmex,≤100
100431071908734,La-Lista,DCS MEDIA & COMMUNICATIONS,≤100
122404620204,Oxfam México,OXFAM MEXICO AC,≤100
264060497093390,Shamir Fernández Hernández,Gabriel Francisco Pedro,≤100
607915056061791,El Poder de México,El Poder México,≤100
177503385791052,Mariano Agustín Escobar,Mariano Agustín Escobar,≤100
463358453871269,JuanMa Munguía,JuanMa Munguía,≤100
111771881536456,Noticias Dgo 2.0,Noticias Dgo 2.0,≤100
185702296375261,Mexicómo,MEXICOMO,≤100
113262081569264,Observatorio Mexicano de Emisiones de Metano,Observatorio Mexicano de Emisiones de Metano,≤100
1545555582174942,TResearch,TResearch,≤100
658580710854883,Nueve Arte Urbano,Eduardo Sánchez Becerra,≤100
104647970984817,"Universidad Pedagógica del Caribe, S.C.","Universidad Pedagógica del Caribe, S.C.",≤100
681291175575804,Visible,Lievant Studio,≤100
728381887259893,Tefa,Tefa,≤100
411235336284306,Empresarios por la Cuarta Transformación,"Empresarios 4T, Asociación Civil",≤100
102368071158002,Solis Latam,These ads ran without a disclaimer,≤100
141680549249031,Radio Rosarito,Mario Alberto Serrano Monzon,≤100
109575971718478,Hitzel Bernal,Hitzel Bernal,≤100
2330030160374237,Balance 24,Balance 24,≤100
1583631301915573,Liborio Vidal,Liborio Vidal Aguilar,≤100
107509487815279,Dedogmasyrenuncias,DE DOGMAS Y RENUNCIAS,≤100
110659484594616,Preparatoria en línea SEP,Luis Javier Hernandez Rodriguez,≤100
220612165082734,Save Democracy,Save Democracy,≤100
189131335143204,"Soy Mexicano, Soy Derecho",Soy Mexicano Soy Derecho,≤100
113978571987856,Los Danzantes,These ads ran without a disclaimer,≤100
369716686400100,Deprimera Noticias,Deprimera Noticias,≤100
265938437673601,Yo Soy Mi Planeta,Yoxmex,≤100
267007683433405,Arias Consultores,Luis Octavio Arias Ortiz,≤100
155703895008440,La CDMX,La CDMX,≤100
92465443899,Reporte Índigo,Capital Media,≤100
101202725148632,Armando Zuñiga Salinas,GRUPO IPS,≤100
106865972279596,Por amor a México,Por Amor A Mexico,≤100
107296958535185,U-Report México Uniendo Voces,U-Report México Uniendo Voces,≤100
