Page ID,Page name,Disclaimer,Amount spent (CLP)
8093963076,Techo - Chile,Pago por TECHO Chile con créditos de anuncios de Facebook,1544
104189318481439,Minería y Futuro,Mineria y Futuro,873
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,860
106423590853145,Fundación Ciudadanos en Acción,Fundacion Ciudadanos en accion,801
280326368663728,Asociación de Industriales de Iquique,Asociacion de Industriales Iquique,801
105560941738247,Movilizando Chilenos,Movilizando Chilenos,801
580663538777736,Consejo Minero,Feedback Comunicaciones,797
221901754840837,Acciona.Chile,ACCIONA Chile,686
246478779511291,Lex Grupo Abogados,Lex Grupo Abogados,347
103030962615298,Chile YAAC,Chile YAAC,293
204430603582,La Tercera,These ads ran without a disclaimer,191
112863284811655,Partido Alianza Verde Popular,Partido Alianza Verde Popular,180
293103284121826,Fundación Para el Progreso,Fundación Para el Progreso,144
1436530563295625,El Líbero,Sociedad Periodística El Líbero S.A,122
391942677830037,Henry Leal Bizama,Henry Leal Bizama,≤100
108557574347706,Fundación Conecta Mayor,Fundación Conecta Mayor,≤100
105216102185508,Cvr_abogados,Cvr_abogados,≤100
104817242476208,Raku Consultores,"Sociedad De Asesorías, Consultorías y Capacitaciones RAKU SpA",≤100
1643674159197342,Corporación Municipal de Rancagua,Cormun,≤100
114863414825928,MaPa Salud Mental,These ads ran without a disclaimer,≤100
1843354599272180,Américo Guajardo Oyarce - Alcalde de Río Claro,Américo Gustavo Guajardo Oyarce,≤100
126503085666814,Nueva Constitución y Derechos Sociales,These ads ran without a disclaimer,≤100
102021589343641,solpsicologue,These ads ran without a disclaimer,≤100
1539380629490140,Pirque Educación y Salud,Corporación de Salud y Educación Pirque,≤100
158951974167913,AFP Capital,These ads ran without a disclaimer,≤100
104224427947088,Circula el Plástico,Metrix,≤100
78239901502,Diario Financiero,Grupo DF,≤100
2535216276502759,Beeok,Beeok,≤100
