Page ID,Page name,Disclaimer,Amount spent (USD)
578156405862003,Peoples Voice,Run Ads Agency,≤100
113907884923546,Voice of the Displaced People,Reality Media US,≤100
225353397503225,Zunaid Ahmed Palak,Zunaid Ahmed Palak,≤100
100612562275472,Razzak Fashion - রাজ্জাক ফ্যাশন,Razzak Fashion - রাজ্জাক ফ্যাশন,≤100
107579682072496,নাগরিক বার্তা,Httr Ads,≤100
720542491349738,Golam Rabbani MP,Golam Rabbani MP,≤100
116167389784568,আমার নেত্রী আমার অহংকার,Flix Marketing,≤100
254138648026636,সফল বাংলাদেশ,Effective Lead Gen,≤100
103866048992464,প্রকৌশলী মাহবুবুর রহমান,Tanvir Hossain Str,≤100
527402880793569,MAMUN BOOK HOUSE,Md. Salim Prodania,≤100
111251941065959,বাংলার সমাচার,Think Digital Way,≤100
1637850026472872,বঙ্গবন্ধু অনলাইন আর্কাইভ,Flix Marketing,≤100
113533724978247,Hate War Criminals & Their Collaborators,Flrida Marketing,≤100
162107741307973,এই বাংলাদেশ আমাদের,My Farmers Marketing,≤100
116727611307181,রুখে দাও ষড়যন্ত্র,Royalties Ads,≤100
1476452979262730,Guardian Life Insurance Limited,These ads ran without a disclaimer,≤100
105415618976603,গুজব নয় সত্য জানুন,Marketing Hub,≤100
106254828481844,সত্যের পথে আগামীর সম্ভাবনায়,সত্যের পথে আগামীর সম্ভাবনায়,≤100
102639559351794,খেলা হবে,Reality Media US,≤100
1817383221848685,COMPACT FOUNDATION,COMPACT FOUNDATION,≤100
537876413374762,সাম্যের সিরাজগঞ্জ-Shammer Sirajganj,Upo Market,≤100
110158975239323,Our Voice,Our Voice,≤100
348165495741326,বর্ণিল বগুড়া-Bornil Bogura,Upo Market,≤100
345787012862232,গাইবান্ধা গেজেট-Gaibandha Gazette,Up Top Market,≤100
105715675111401,"স্কোয়াড্রন লীডার সাদরুল আহমেদ খান, অবঃ","স্কোয়াড্রন লীডার সাদরুল আহমেদ খান, অবঃ",≤100
433659713676324,Daily Bangladesh,Daily Bangladesh,≤100
658677457494816,Mohammad Abdus Salam,Mohammad Abdus Salam,≤100
100991504718703,Jomir Uddin Parvez,Jomir Uddin Parvez,≤100
269704510100247,বাংলার বাঘ,Centrals Marketing,≤100
119408644760767,MANUSHER JONNO FOUNDATION,Saiful Hasan,≤100
132975130832652,Amader Muktijuddho,My Farmers Marketing,≤100
195123041072338,নাশকতা - Nashokota,All Marketing Center,≤100
1763961473907868,সেই রাজাকার এই রাজাকার,Centrals Marketing,≤100
2202700299948022,জনতার জয়পুরহাট-Jonotar Joypurhat,Up Top Market,≤100
101967562646927,ডিজাইন মাস্টার ৩৬০,Sidratul Montaha,≤100
1930781123914291,আবিজা,All Marketing Center,≤100
2048704288508984,বর্ণিল নবাবগঞ্জ-Bornil Nobabgonj,Auto App Inc,≤100
1910583609067515,প্রগতির মানিকগঞ্জ-Progotir Manikganj,My Solution Blog,≤100
2178258972197731,Jashorer Alo - যশোরের আলো,Marketing Hub,≤100
367234363740632,Zoyaddar Sport Club,Zoyaddar Sport Club,≤100
295050328956117,Al Imran Juwel,Al Imran Juwel,≤100
101121746246175,BooksBd.Net History & Politico Books,BooksBd.Net History & Politico Books,≤100
720416484761822,Canadian University of Bangladesh,Canadian University of Bangladesh,≤100
100688649442279,আমার সময়,Reality Media US,≤100
508518392998811,প্রাণের দোহার-Praner Dohar,Marketing Solution,≤100
1869501926674963,Bengali Fish,Bengali Fish,≤100
104106602431215,বইমেলা বিডি.কম,Md Rafiqul Islam,≤100
537617023847365,Digital voter slip,Mohammad Enamul Haque,≤100
347135082762359,Salman F Rahman,Salman F Rahman,≤100
118836341508913,নেত্রী মোদের শেখ হাসিনা,Think Digital Way,≤100
102256572145463,Razniti,Projonmo Publication,≤100
260485101489192,Go Bangladesh,All Marketing Center,≤100
105009155821106,Rhythm Studio - রিদম স্টুডিও,Rhythm Studio,≤100
103414131574909,Press Xpress,PressXpress,≤100
104206668899546,NRB itv,NRB itv,≤100
2261459577425429,Bookmanbd,Md Rafiqul Islam,≤100
100662781542829,Shaikh Rabiul Alam - শেখ রবিউল আলম,Shaikh Rabiul Alam,≤100
388975341269133,Tonmoy Ahmed,Tonmoy Ahmed,≤100
100182849339159,Voice of Ti Tareq,Voice of Ti Tareq,≤100
105867285406730,Deshi Dokandar-দেশি দোকানদার,Deshi Dokandar-দেশি দোকানদার,≤100
101651602036095,Mississippi Publications-মিসিসিপি পাবলিকেশন্স,Md Rafiqul Islam,≤100
184405109132256,দুর্বার টাংগাইল - Unstoppable Tangail,দুর্বার টাংগাইল - Unstoppable Tangail,≤100
759927010802304,বীরমুক্তিযোদ্ধা আলহাজ্ব এড. মোঃ সুলতান আহমেদ মৃধা,These ads ran without a disclaimer,≤100
107996315091233,月旦港事,These ads ran without a disclaimer,≤100
110233305051874,Our BNP,Our BNP,≤100
1603947496566375,Alexisnocho,These ads ran without a disclaimer,≤100
101680336169433,আড়াইহাজার বিএনপি নিউজ,These ads ran without a disclaimer,≤100
105842864096860,Saket Sshah,These ads ran without a disclaimer,≤100
351671375760473,The GCCA,These ads ran without a disclaimer,≤100
163007730946108,Sushma Ki Rasoi,These ads ran without a disclaimer,≤100
