Page ID,Page name,Disclaimer,Amount spent (EUR)
100215271953817,Miguel Mansur,Miguel Jose Mansur,≤100
101782468500004,Accion21,Accion21,≤100
108409526428514,RAIZ ARUBA,RAIZ Aruba,≤100
103220632108447,Minister Geoffrey Wever,Geoffrey Wever,≤100
100921415190416,Plan di Mayor Aruba,Michella Laclé,≤100
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100
517231405008910,Global Landscapes Forum,These ads ran without a disclaimer,≤100
314613088589732,Karixon,Karixon,≤100
130678557630320,Gabinete Wever-Croes,Gobierno di Aruba,≤100
101453801610760,Share-On Project,These ads ran without a disclaimer,≤100
725505594135727,Adventure Escape,These ads ran without a disclaimer,≤100
