Page ID,Page name,Disclaimer,Amount spent (TRY)
100910024639566,Ali Babacan,Deva Partisi,121
194164957296731,electiva web 2.0,These ads ran without a disclaimer,≤100
102095934751904,Deva Partisi,Deva Partisi,≤100
105376981385020,Referandom,Referandom,≤100
1439683329600228,Ümit Uysal,Ümit Uysal,≤100
108552928182311,Al Sancak Partisi,Nuri Çelebi,≤100
112507921707343,Byjibuwy,These ads ran without a disclaimer,≤100
107924807410702,Samet Bağcı,Samet Bağcı,≤100
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,≤100
851556338241562,Ayşen Kurt,Ayşen Kurt,≤100
100816309560791,Kipukaqy,These ads ran without a disclaimer,≤100
110794055214673,Ejamodo,These ads ran without a disclaimer,≤100
755201084826878,Aşkın Tören,Aşkın Tören,≤100
116992324613459,Otadas,These ads ran without a disclaimer,≤100
463215923715177,Mehmet Yiğiner,Bekir Koyuncu,≤100
834505923328781,mecliste.org,Demet Şöhret,≤100
1614212022160759,Fehmi Yağlı,Fehmi Yagli,≤100
319374238130637,Osman Gürün,Osman Gurun,≤100
100665102848993,Gün Gün Kurtuluş,İlker  Tanrıverdi,≤100
101700471513125,Kadir Aydın,Kadir Aydın,≤100
100516989042507,Balıkesir Posta TV,Ahmet Namlı,≤100
103167881182863,Temiz Enerji Haber Portalı,Temiz Enerji Haber Portalı,≤100
106879338020716,Halk Ajans,Resul Mesut Büyüksarı,≤100
183754020921,Saadet Partisi,Saadet Partisi,≤100
283657205667155,Mustafa Ali Fırtına,Mustafa Ali Firtina,≤100
314386289265240,Ali Zafer İksir,ALİ ZAFER İKSİR,≤100
1104153776387884,Halk Haber Ajansı,Resul Mesut Büyüksarı,≤100
1572709256359993,İnternethaber TV,HADİ ÖZIŞIK,≤100
100930021431743,Gazete Kolektif,Ercan Erdal,≤100
107088348866304,Haberde.com.TR,Murat Ocak,≤100
113229965003082,AK Parti/MHP/BBP Cumhur İttifakı,Erol Cihangir,≤100
413113452433564,Cengiz Gökçel,Cengiz Gökçel,≤100
104790481715851,ازجمله,Azjomle,≤100
1028368393892777,Mehmet Ali Özkan,Mehmet Ali ÖZKAN,≤100
100345912204104,Nuri Cengiz,Cumhuriyet Halk Partisi,≤100
111080761903034,gayrimenkul.takip,These ads ran without a disclaimer,≤100
737340966376001,Metin Kala,Metin Kala,≤100
104267921764717,Deva Partisi Trabzon İl Başkanlığı,Kubilay Çiçek,≤100
298764070816267,Mehmet Tütüncü,Mehmet TÜTÜNCÜ Türkiye Temsilcisi,≤100
111939315147185,Haber Olacak,haberolacak.com,≤100
107184060866156,Limitsiz Bilgi,These ads ran without a disclaimer,≤100
103098904742608,Murat Serdar Koç,Murat Serdar Koc,≤100
104720632449919,Tarihte Bugün,Taha Gümüştaş,≤100
106813058910369,Kayserigazetesi,These ads ran without a disclaimer,≤100
144096473392,Yeşil Gazete,Yeşil Gazete,≤100
190217144502606,Av. Sinan Tekin,Sinan Tekin,≤100
465887546792664,Halkın Kurtuluş Partisi - HKP,TAYFUR BİN,≤100
160183510736437,Hotel Terrace Beach Resort,These ads ran without a disclaimer,≤100
167633913392268,Kolejliler,Fırat Yıldız Ahmet,≤100
276652289141318,OSMAN KOZAN,Osman Kozan,≤100
834954409860187,Gamze Akkuş İlgezdi,Gamze Akkuş İlgezdi,≤100
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,≤100
100643069487986,Благодійна Організація «Благодійний фонд «Україна ЦЕ ТИ»,These ads ran without a disclaimer,≤100
100946038506009,Lincoln Global Partners,These ads ran without a disclaimer,≤100
104141669082108,pashka100andmore,These ads ran without a disclaimer,≤100
188872144758,CCTV,These ads ran without a disclaimer,≤100
112102805103884,Csqfmy.shop-6,These ads ran without a disclaimer,≤100
