Page ID,Page name,Disclaimer,Amount spent (DKK)
101875098313543,Andel,Andel,2854
116269191760882,DSB,DSB,2078
26458152911,SOS Børnebyerne,SOS Børnebyerne,1698
65929129383,Røde Kors,Røde Kors,1558
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,1523
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,1262
167891603415958,Lederne,Lederne,1113
304554445813,Videncentret Bolius,Videncentret Bolius,1055
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,988
104544224264943,3F Transport,3F Transport,960
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,651
748887235210811,Obton Forvaltning A/S,Obton A/S,610
72672361910,Børns Vilkår,Børns Vilkår,490
12860228293,Politiken,Politiken,475
12787473132,Berlingske,Berlingske,407
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,315
442403485851495,Morten Helveg Petersen,Morten Helveg Petersen,302
55365680705,Greenpeace Danmark,Greenpeace Danmark,264
123653695693986,Motatos Danmark,Motatos,264
599763040213164,Radius Elnet,Radius Elnet,239
102154048301476,Lederstof.dk,Lederne,237
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,236
106952222676974,Liberal Alliance,Liberal Alliance,227
314676938743,DM din akademiske fagforening,DM,190
276145368333,Bedre Psykiatri - Landsforeningen for pårørende,Bedre Psykiatri - Landsforeningen for pårørende,176
77420716648,Energiselskabet Natur-Energi,Energiselskabet Natur-Energi,175
304554445813,Videncentret Bolius,Bolius,169
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,167
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,166
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,160
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,149
867877683280051,Weekendavisen,Weekendavisen,147
126543540781090,Ældre Sagen,Ældre Sagen,140
169480019755055,Randers Kommune,Randers Kommune,138
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,136
95141502089,Økonomisk Ugebrev,Økonomisk Ugebrev,135
59143726810,Psykiatrifonden,Psykiatrifonden,128
154131751400892,Susan Gyldenkilde,Susan Gyldenkilde,127
106468772046278,Project Greensand,Project Greensand,124
940501086068082,Griseproduktion,Søs Pedersen,123
574052992790327,Frirummet,Frirummet,123
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,122
657491824390744,Spring Copenhagen,Spring Copenhagen,115
399210657232918,PlanBørnefonden,PlanBørnefonden,113
459641371068935,Forenet Kredit,Forenet Kredit,106
105511328705392,HØRT,Børns Vilkår,≤100
246977185497434,Plastic Change,Plastic Change,≤100
287306323369,Børnecancerfonden,Børnecancerfonden,≤100
133716736641210,LandbrugsAvisen,LandbrugsAvisen,≤100
334571029981175,DM og MA studerende,DM,≤100
46265612799,FDM,FDM,≤100
169414653098425,Aarhus Vand,These ads ran without a disclaimer,≤100
144098125661833,Nordea Invest,Nordea Invest,≤100
193407584012015,Århundredets Festival,Folkeuniversitetet i Aarhus,≤100
633648073469576,Folketingets EU-Oplysning,Folketingets EU-Oplysning,≤100
1704424023182897,Politiken Historie,Politiken Historie,≤100
181330585392156,Skattestyrelsen,Skattestyrelsen,≤100
167887506877,AIDS-Fondet,AIDS-Fondet,≤100
153708144675646,PFA,PFA,≤100
246097715413231,Alkohol & Samfund,Alkohol & Samfund,≤100
115737371820702,DEO - Demokrati i Europa,DEO - Demokrati i Europa Oplysningsforbundet,≤100
159000594147871,Mary Fonden,Mary Fonden,≤100
1724068710936501,Anja C Jensen,HK Danmark,≤100
101248435485457,Frihedsbrevet,Mediehuset Friheden,≤100
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,≤100
213185957376123,JP Randers,These ads ran without a disclaimer,≤100
130388840342741,Danske Bank,Danske Bank,≤100
144965885963,Oxfam IBIS - Sammen mod ulighed,Oxfam IBIS,≤100
1722656998043900,Uniqkey A/S,These ads ran without a disclaimer,≤100
494902077334290,Tuborgfondet,Tuborgfondet,≤100
336978259712588,YouGlobe,Helle Thilo,≤100
141140922630894,RED Center,RED Center,≤100
36664432940,Amnesty International Danmark,Amnesty Danmark,≤100
186645960378,Danwatch,Danwatch,≤100
105723258303685,Enhedslisten Fanø,Enhedslisten Fanø,≤100
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,≤100
1822254634537356,Nye tider,Nyetider.nu,≤100
111095867334448,Rent Hav,Rent Øresund,≤100
645454495955240,Madmødet,Jan Michelsen,≤100
305932686202047,Caritas Danmark,Caritas Danmark,≤100
367522986719919,Gastech-Energi,Gastech-Energi A/S,≤100
106298611945296,Højskolen Grobund,Jonas Hagen Høj,≤100
341299649231023,Zetland,Zetland,≤100
221131391257614,Humanistisk Samfund,Humanistisk Samfund,≤100
20303574131,Nationalmuseet,Nationalmuseet,≤100
