Page ID,Page name,Disclaimer,Amount spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,31588
543788999005363,ORIGO,Mediaworks Hungary Zrt.,11964
109637397268775,Nyugati Pályán,Splendidea Communications Kft,9218
592204747588011,Momentum Mozgalom,Momentum Mozgalom,6722
1880809845328535,Dobrev Klára,Demokratikus Koalíció,5460
248172631940,Mandiner,Mediaworks Hungary Zrt.,5171
415653125518050,Hajnal Miklós,Momentum Mozgalom,4816
191461774219575,hirado.hu,hirado.hu,4395
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,4084
1534911313439123,Ripost,Ripost,3800
111039861671286,Demokratikus Lendület - DEL,Demokratikus Koalíció,3752
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,3740
667766749906484,MKKP Debrecen,Magyar Kétfarkú Kutya Párt,3438
103141961544400,Future of Debrecen,Future of Debrecen Egyesület,3379
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,3035
294815374340858,Donáth Anna,Momentum Mozgalom,2873
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,2208
178362315106,European Parliament,European Parliament,2018
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,1980
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,1945
149061108240,Kocsis Máté,Fidesz frakció,1922
594088897289853,Alapjogokért Központ,Alapjogokért Központ,1919
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,1616
132593883577930,Dr. Keresztes László Lóránt,LMP - Magyarország Zöld Pártja,1465
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,1362
189020783523,Mathias Corvinus Collegium - MCC,Mathias Corvinus Collegium Alapítvány,1223
108346693873484,Győrffy Balázs,Balazs Gyorffy,1213
103874348723105,Megoldás Mozgalom,Megoldás Mozgalom,1181
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,1043
1493071807593698,Papp László,Papp László,916
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,883
451844608304228,Metropol,Metropol,768
839249709578255,CrowdFarming,These ads ran without a disclaimer,757
150219742265121,Bedő Dávid,Bedő Dávid - Momentum,718
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,702
102426795954406,Nobilis Márton,Nobilis Márton,699
100299381703981,Ps TV,PestiSrácok.hu,699
264517713636590,PestiSracok.hu,PestiSrácok.hu,691
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,650
537817739693723,Brain Bar,Brain Bar,594
109400335280737,Dóka Milán,Milán Dóka,574
408924035951553,Körforrás,Körforrás,571
851784814892644,Simicskó István,KDNP frakció,570
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,541
131283758531,HVG,HVG Kiadó ZRt.,536
100401808007704,EzaLényeg.hu,EzaLényeg.hu,528
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,512
108248022589754,Bosch Magyarország,Bosch Magyarország,506
115295915203476,Európa Pont,Európai Bizottság Magyarországi Képviselete,451
107898832590939,European Commission,European Commission,432
209438606076,Emberség Erejével,Emberség Erejével Alapítvány,420
135889536506991,Design Terminal,Design Terminal Nonprofit Kft.,414
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,401
211156277497,WWF Hungary,WWF Hungary,385
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,379
1666602623606620,Napelem rendszer - napelemrendszer.info,These ads ran without a disclaimer,379
345496092135627,Hír TV,Mediaworks Hungary Zrt.,358
1215492498464496,Angyal Károly,Angyal Károly Tibor,344
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara,343
320701218553533,Alternatíva Párt,Alternatíva párt,325
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,308
1869511526651884,Zsigmond Barna Pál,Fidesz,287
76748198685,Budapest Pride,Budapest Pride,264
142684465906231,Üdvhadsereg Salvation Army Hungary,Üdvhadsereg Szabadegyház Magyarország,260
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",258
100467642324899,Realista,Az Év Irodája,236
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,234
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,234
221761091331222,Danube Institute,Danube Institute,233
206829842043,Rétvári Bence,Rétvári Bence,226
102474542009609,Megafilm,MEGA FILM Kft.,222
447204268797621,RTL.hu,RTL.HU,206
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,202
360876591136521,Dr. Czeglédy Csaba,Dr. Czeglédy Csaba,194
102877499117068,Pálfalvi Milán Nézőpontja,Nézőpont,188
126893087354793,Európai Parlament,Európai Parlament,174
112715478428629,Női egészség,These ads ran without a disclaimer,174
105666454157523,Szikra Mozgalom,Szikra Mozgalom,169
623719727672871,Nestlé,Nestlé Hungária Kft.,164
110488355320216,Női egészség,These ads ran without a disclaimer,164
108902428813975,Női egészség,These ads ran without a disclaimer,164
110644681971282,Női egészség,These ads ran without a disclaimer,155
117788491248620,Női egészség,These ads ran without a disclaimer,155
104135915962669,Női egészség,These ads ran without a disclaimer,155
107029269003350,Női egészség,These ads ran without a disclaimer,155
162344823835042,atlatszo.hu,atlatszo.hu,152
105129068891221,Frisshirek.hu,Genesis Médiacsoport Kft.,152
1461534750733248,Schmuck Erzsébet,LMP - Lehet Más a Politika,148
152408681635243,Hírklikk.hu,Hírklikk.hu,142
109565208474856,Startlap - Utazás tippek,Central Médiacsoport Zrt.,139
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,139
887921287887805,Király Nóra,Király Nóra,136
104571705914566,Női egészség,These ads ran without a disclaimer,135
118668531160087,Női egészség,These ads ran without a disclaimer,135
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,133
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,130
14792493292,Magyar Kétfarkú Kutya Párt,Magyar Kétfarkú Kutya Párt,129
111032325184666,Beautycle,Beautycle,125
132233380778392,Dr. Kállai Mária,dr. Kállai Mária,118
510078013063912,Rózsa László Péter,Rózsa László Péter,118
109983377136210,Polgári Magyarországért Alapítvány,Polgári Magyarországért Alapítvány,112
112542968445679,Női egészség,These ads ran without a disclaimer,106
