Page ID,Page name,Disclaimer,Amount spent (INR)
479998865355592,Aditya Birla Group,These ads ran without a disclaimer,≤100
105234459127980,Women Climate Collective,Women Climate Collective,≤100
404746486258732,Project Nanhi Kali,Project Nanhi Kali,≤100
104052753400618,Union Bank of India,Goldmine Advertising Limited,≤100
474751009223949,Jaipur Literature Festival,Jaipur Literature Festival,≤100
104616084856336,Lalrindika Ralte,Lalrindika Ralte,≤100
103067412549553,Lighthouse Learning Group,These ads ran without a disclaimer,≤100
30290552843,Greenpeace India,Greenpeace India Society,≤100
239901406089455,"Tobacco Kills. Quit Now, India.","Tobacco Kills. Quit Now, India.",≤100
118227367824577,Garuda Aerospace Pvt Ltd,Garuda Aerospace Pvt Ltd,≤100
326102339565,Oxfam India,Oxfam India,≤100
108437191907485,Replanet,Prabhindar Singh Chopra,≤100
103782051383159,School of Politics,School of Politics,≤100
122131984855152,Dr. Debraj Shome,Dr. Debraj Shome,≤100
112202337794471,Global Middas Foundation - Charitable Organization,GLOBAL MIDDAS FOUNDATION,≤100
101713962007976,Amrit Mahotsav,Amrit Mahotsav,≤100
30290552843,Greenpeace India,Greenpeace Environment Trust,≤100
110540565228341,Ganguly H Kurabathalli,Ganguly H Kurubathalli,≤100
640369399392914,Baijayant 'Jay' Panda,Baijayant Panda,≤100
153368994747431,PepsiCo India,PepsiCo India,≤100
100735178208398,Udyami India,Samadhan Samiti,≤100
104819985853284,V6 Digital News,V6 Digital News,≤100
104516512296314,Kartikeya Sharma,Adv Tech,≤100
330760810293224,HelpAge India,These ads ran without a disclaimer,≤100
523121567889527,Jitender Kumar Bhardwaj,Jitender Kumar Bhardwaj,≤100
180914341946741,TVS Credit Services LTD,These ads ran without a disclaimer,≤100
150727778825020,Mobius Foundation,Mobius Foundation,≤100
108009473898409,Intelligent Minds Trust - IMT,Intelligent Minds Trust,≤100
1597295260297184,"Kawasaki Heavy Industries, Ltd.",These ads ran without a disclaimer,≤100
174283119250672,Save the Children India,Bal Raksha Bharat,≤100
113073133805731,Desh Ki Baat Foundation,Krishna Kumar Yadav,≤100
189984121025031,W for Woman,These ads ran without a disclaimer,≤100
101613628900010,Smartway Wellness Pvt. Ltd.,Bhoomi Harendra Mistry,≤100
442710802417591,Baljeet Yadav,Baljeet Yadav,≤100
132689140088396,smilefoundation,Smile Foundation,≤100
113514074667340,Herby Angel,Herby Angel,≤100
21169267101,Give,Give,≤100
106949818442504,The Water Chronicles,Prithviraj Nath,≤100
132689140088396,smilefoundation,smilefoundation,≤100
702157376600034,Prints Publications,OmLogic Consulting Pvt. Ltd.,≤100
102123079337554,International Society for Krishna Consciousness,ISKCON Delhi,≤100
889810991147251,Nyamar Karbak,Nyamar Karbak,≤100
