Page ID,Page name,Disclaimer,Amount spent (IDR)
23383061178,Prabowo Subianto,indonesia Adil makmur,198976
104059522383148,Golkar Bangka Barat,Golkar Bangka Barat,68091
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,41688
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,25436
105818752347206,Teman Airlangga Hartarto,Teman Airlangga Hartarto,14565
102712985995817,Sobat Airlangga Hartarto,Sobat Airlangga Hartarto,12938
197545083607941,Harian Kompas,Harian Kompas,4291
104708079203574,Airlangga Hartarto 2024,Yayasan Infobox,4145
102317908914727,Climate Justice Indonesia,Climate Justice Indonesia,3977
111864151754055,Esensi TV,Esensi Tv,3657
217841272115804,Kabar Golkar,Yayasan Kabar Golkar,3119
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,2727
103290336009963,Akbar Faizal Uncensored,Yayasan Infobox,2635
104427162506872,Fakta Anies,Fakta Anies,2466
117935907895698,Tidak resmi: inilahcom,Inilahcom,1597
225743208016201,Grace Anastasia PSI,Partai Solidaritas Indonesia,1204
101355948222111,Golkar Indonesia,Golkar Indonesia,940
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,783
104427162506872,Fakta Anies,Harian Politik,732
108156498584853,Tetap Puan,Marabunta Family Cyber,700
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,675
104830667806476,Melihat Indonesia,Ganjar Nusantara Indonesia,598
107799574074521,Rachmat Gobel Chanel,Alyun Hasan Hippy,580
109083348423534,Untuk Rakyat,Muhammad Miftakhunnaim,541
444318475704011,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,488
106253264560859,Air Kami,Air Kami,475
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,468
112417251582480,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,388
813887722072071,Yayasan Pundi Amal Bakti Ummat,Yayasan Pundi Amal Bakti Ummat,382
882638978454921,Raja Juli Antoni,Raja Juli Antoni,374
312490859193724,mensbatik,Bayu Setayudha,371
110952238516382,Kiki Daliyo,Dwi Wantoro,257
112121101796090,Opini 2024,Juniar Dwi Harianto,242
101403669397488,Nikmatul Sugiyarto,Ganjar Nusantara Indonesia,219
106662402320800,Rakyat Beropini,Rakyat Beropini,210
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,210
110750361762052,Pikiran Rakyat,Pikiran Rakyat,196
103581752405141,Sobar Harahap,Ganjar Nusantara Indonesia,189
110100218339060,Wahai Ibu Pertiwi,Muhammad Miftakhunnaim,184
102626198026698,Rika Sudjiman,Juniar Dwi Harianto,160
107241861191421,Ilmu Tambang,Ilmu Tambang,110
104054595928021,Bakti Untuk Rakyat,Fahmi Husaini Sanum,≤100
103089332689511,BRANI-Barisan Airlangga Untuk Indonesia,Robby Binur,≤100
104843487722931,Portal Islam id,Portal Islam ID,≤100
110368964786452,Kemajuan Bersama,Muhammad Miftakhunnaim,≤100
102273039070802,Info Terkini,Muhammad Miftakhunnaim,≤100
108346091544917,Katalis IA,IA-CEPA ECP Katalis,≤100
108640622173409,Dedy Dwi Setiawan,These ads ran without a disclaimer,≤100
102497641558430,Indonesia Tolak HOAX,Muhammad Miftakhunnaim,≤100
100359258525418,Pemulihan Lebih Baik,Muhammad Miftakhunnaim,≤100
108346091544917,Katalis IA,These ads ran without a disclaimer,≤100
111320780484605,Discoverapril,These ads ran without a disclaimer,≤100
108571334357297,Melangkah Lebih Baik,Muhammad Miftakhunnaim,≤100
108695584343029,Baik Untuk Kita,Muhammad Miftakhunnaim,≤100
101076948451651,Masa Depan Kita,Muhammad Miftakhunnaim,≤100
102332655592625,BidikNews24.com,BidikNews24.com,≤100
105913775468345,mybalipedia,These ads ran without a disclaimer,≤100
1521063928130154,Nanyang Business School,These ads ran without a disclaimer,≤100
112173785152601,Bee Viable,These ads ran without a disclaimer,≤100
526079487415848,XCMG Group,These ads ran without a disclaimer,≤100
