Page ID,Page name,Disclaimer,Amount spent (PKR)
113223601404356,CH Imran Saleemi Official,Ahsan Ur Rehman,226
1221551921269506,Mahar Sajjad Cheena,Mahar Sajjad Cheena,≤100
103720225643302,Chaudhry ijaz Ahmad Ranian,Chaudhry ijaz Ahmad Ranian,≤100
106734931178823,Munawar Khan,These ads ran without a disclaimer,≤100
543755195637715,Mian Aslam,Mian Aslam,≤100
101007071249939,Ansir Mehmood Sandhu,Ansir Mehmood Sandhu,≤100
97429917898,ProPakistani,ProPakistani,≤100
467252070142548,Ch Mustansar Ali Gondal,Ch Mustansar Ali Gondal,≤100
1814850698741724,Senator Mohsin Aziz,Senator Mohsin Aziz,≤100
407889229718531,Sardar Tanveer Ilyas Khan,Sardar Tanveer Ilyas Khan,≤100
1663305917241505,Khalil Ahmad Bajwa,Khalil Ahmad Bajwa,≤100
677173575779097,Muhammad Hanif Pitafi PP289,Muhammad Hanif Pitafi PP289,≤100
240488586026340,"SINA Health, Education & Welfare Trust","SINA Health, Education & Welfare Trust",≤100
107703715013954,JTR Media House,JTR Media House,≤100
304781399652673,Jamshed Iqbal Cheema,Jamshed Iqbal Cheema,≤100
104699294839888,Pakistan Tribune,Pakistan Tribune,≤100
133648753466105,Group Development Pakistan,Group Development Pakistan,≤100
105690462092880,MM News Videos,MM Digital PVT LTD,≤100
113870800131466,H.I Allama Raja Nasir Abbas Jafri,Muhammad Dilawar,≤100
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,≤100
100435805831644,Tanveer Ahmad Virk PP141,Jahanzaib Naveed,≤100
111021638285303,Chaudhry Aurangzeb,Chaudhry Aurangzeb,≤100
196186547486631,Mahr Mohsin Raza,Mahr Mohsin Raza,≤100
107785425572756,Ahsan Employment,These ads ran without a disclaimer,≤100
120062273237634,Jaanlo,Jaanlo,≤100
108039248889636,Ali Wasif Shah,These ads ran without a disclaimer,≤100
101201205983426,Mian Athar Mahmood,Syed Raza Haider Zaidi,≤100
102217329372052,Syed Nida Muhammad Agha,These ads ran without a disclaimer,≤100
361971188258443,Syed Tariq Mahmood ul Hassan,Syed Tariq Mahmood ul Hassan,≤100
101320812842845,Pasban Democratic Party,Pasban Democratic Party,≤100
101428831703072,Team Omar Ayub Haripur,These ads ran without a disclaimer,≤100
204561773282019,Ch Hakim Ali Randhawa OfficiaI,These ads ran without a disclaimer,≤100
107792052171890,Haji Ghulam Ali Governor Khyber Pakhtunkhwa,Mumtaz Ali,≤100
1461261473994489,Arshad Mahmood Manda,These ads ran without a disclaimer,≤100
105601235613570,Chaudhary Faisal Ali Bhulla -PTI UK,Chaudhary Faisal Ali Bhulla -PTI UK,≤100
373539756442658,Graana.com,These ads ran without a disclaimer,≤100
526079487415848,XCMG Group,These ads ran without a disclaimer,≤100
422898847759660,CGTN Africa,These ads ran without a disclaimer,≤100
786905818013925,Zeekay Films Offical,These ads ran without a disclaimer,≤100
101105049294796,CNN Business Arabic الاقتصادية CNN,These ads ran without a disclaimer,≤100
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100
103128059291677,Saaraba,These ads ran without a disclaimer,≤100
109098014970060,Nature,These ads ran without a disclaimer,≤100
270082823183144,Canton Fair,These ads ran without a disclaimer,≤100
199627563398392,"The Master's Class, LifeChange Church Wichita",These ads ran without a disclaimer,≤100
176104589110851,IEEE,These ads ran without a disclaimer,≤100
