Page ID,Page name,Disclaimer,Amount spent (PYG)
1468570519872644,Santiago Peña,PRANA SA,795
102266292553995,Sucia Política,Diego Ricardo Ramírez,198
192161474526084,Luis Fretes Senador,Luis Fretes Senador,144
102963512483270,PyElige,PY Elige,113
325540631525675,En La Tecla,En la Tecla,111
102649292598442,Senador Hugo Richer,Senador Hugo Richer,≤100
665680343451704,Lider Amarilla,Lider Santiago Amarilla Rios,≤100
110447625137045,Pilar Callizo,PautaPY,≤100
102917519228790,Bruno Defelippe,PautaPY,≤100
838018169889993,"Fernando ""Pato"" Ojeda",Fernando Ojeda,≤100
118397948223791,Oscar Tuma,Óscar Luis Tuma Bogado,≤100
107956328706667,Sary Helman Diputada,Fabiana Marlene Cañete Helman,≤100
1608625919447826,Blanca Ovelar Senadora Nacional,Blanca Ovelar Senadora Nacional,≤100
196599783696918,Efrain Alegre,Efrain Alegre,≤100
100490136261426,María Cristina Campuzano Senadora,María Cristina Campuzano Senadora,≤100
140451442722331,Grupo Tesacom,These ads ran without a disclaimer,≤100
