Page ID,Page name,Disclaimer,Amount spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,77654
109414841321682,Magyar Falu Program,Magyar Falu Program,16366
543788999005363,ORIGO,Mediaworks Hungary Zrt.,12458
109637397268775,Nyugati Pályán,Splendidea Communications Kft,12129
326763130286,Borsod Online,Mediaworks Hungary Zrt.,9066
178362315106,European Parliament,European Parliament,8189
191461774219575,hirado.hu,hirado.hu,6760
2157309410973606,Borsod-Abaúj-Zemplén Vármegyei Kormányhivatal,Miniszterelnökség,5871
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,4999
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,4933
1880809845328535,Dobrev Klára,Demokratikus Koalíció,4010
781030738624077,Gyöngyösi Márton,Jobbik Magyarországért Mozgalom,3736
287770891404,Jobbik-Konzervatívok,Jobbik Magyarországért Mozgalom,3638
248172631940,Mandiner,Mediaworks Hungary Zrt.,3530
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,3507
594088897289853,Alapjogokért Központ,Alapjogokért Központ,3334
294815374340858,Donáth Anna,Donáth Anna - Momentum,3308
187280168720178,NE HAGYD,International Organization for Migration (IOM) Hungary,2737
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,2686
211156277497,WWF Hungary,WWF Hungary,2520
189020783523,Mathias Corvinus Collegium - MCC,Mathias Corvinus Collegium Alapítvány,1864
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,1730
851784814892644,Simicskó István,KDNP frakció,1526
112677144392091,Dr. Pajtók Gábor,FIDESZ,1510
1534911313439123,Ripost,Ripost,1324
108346693873484,Győrffy Balázs,Balazs Gyorffy,1321
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,1248
264517713636590,PestiSracok.hu,PestiSrácok.hu,1220
1425221564382928,Varga László,Varga László,1175
1232913973409781,Provident Pénzügyi Zrt.,These ads ran without a disclaimer,1133
131283758531,HVG,HVG Kiadó ZRt.,1051
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,1018
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,1007
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,983
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,964
408924035951553,Körforrás,Körforrás,892
604915749548285,MKKP Kazincbarcika,Magyar Kétfarkú Kutya Párt,875
108248022589754,Bosch Magyarország,Bosch Magyarország,844
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,827
592204747588011,Momentum Mozgalom,Momentum Mozgalom,819
14226545351,Red Bull,These ads ran without a disclaimer,775
103058664760919,Dr. Kiss János,Kiss János,727
102426795954406,Nobilis Márton,Nobilis Márton,721
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,720
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,673
92932085233,TASZ,TASZ,634
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,620
316020218573726,JYSK Magyarország,These ads ran without a disclaimer,610
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,549
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,533
1215492498464496,Angyal Károly,Angyal Károly Tibor,522
451844608304228,Metropol,Metropol,514
537817739693723,Brain Bar,Brain Bar,510
345496092135627,Hír TV,Mediaworks Hungary Zrt.,502
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,438
109400335280737,Dóka Milán,Milán Dóka,399
112694594992064,Mehr Licht,Mehr Licht,385
406135951124,Yettel.Hungary,These ads ran without a disclaimer,379
221761091331222,Danube Institute,Danube Institute,325
76748198685,Budapest Pride,Budapest Pride,325
1408906262689093,Nyitrai Zsolt,Fidesz,306
623719727672871,Nestlé,Nestlé Hungária Kft.,288
206829842043,Rétvári Bence,Rétvári Bence,281
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,281
209438606076,Emberség Erejével,Emberség Erejével Alapítvány,269
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,256
152408681635243,Hírklikk.hu,Hírklikk.hu,254
105774734948091,Hungarian Conservative,Hungarian Conservative,245
132601530109047,Eötvös Károly Közpolitikai Intézet / Eötvös Károly Policy Institute,Eötvös Károly Közpolitikai Intézet,238
102186064905787,Zöld Követ Egyesület,Zöld Követ Egyesület,237
100299381703981,Ps TV,PestiSrácok.hu,235
109983377136210,Polgári Magyarországért Alapítvány,Polgári Magyarországért Alapítvány,234
136387873164491,Csárdi Antal,LMP - Magyarország Zöld Pártja,217
