Page ID,Page name,Disclaimer,Amount spent (HUF)
120370174702378,Magyarország Kormánya,Magyarország Kormánya,137331
543788999005363,ORIGO,Mediaworks Hungary Zrt.,24708
109637397268775,Nyugati Pályán,Splendidea Communications Kft,23692
178362315106,European Parliament,European Parliament,19081
191461774219575,hirado.hu,hirado.hu,12260
248172631940,Mandiner,Mediaworks Hungary Zrt.,11159
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,9379
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,7411
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,6853
613386915353854,Pest Vármegyei Kormányhivatal,Miniszterelnökség,6460
187280168720178,NE HAGYD,International Organization for Migration (IOM) Hungary,4952
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,4689
189020783523,Mathias Corvinus Collegium - MCC,Mathias Corvinus Collegium Alapítvány,4479
211156277497,WWF Hungary,WWF Hungary,4353
264517713636590,PestiSracok.hu,PestiSrácok.hu,4064
1534911313439123,Ripost,Ripost,4025
108346693873484,Győrffy Balázs,Balazs Gyorffy,3508
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,3396
408924035951553,Körforrás,Körforrás,3271
1405665623004645,"Földi László, országgyűlési képviselő","Földi László, országgyűlési képviselő",2655
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,2450
594088897289853,Alapjogokért Központ,Alapjogokért Központ,2351
851784814892644,Simicskó István,KDNP frakció,2157
451844608304228,Metropol,Metropol,2111
1440067539627618,Rathauskeller - Budakeszi,Dalotti Tibor Otto,2064
365977046868250,Nemzeti Agrárgazdasági Kamara - NAK,Nemzeti Agrárgazdasági Kamara,2001
592204747588011,Momentum Mozgalom,Momentum Mozgalom,1911
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,1898
76748198685,Budapest Pride,Budapest Pride,1867
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,1849
131283758531,HVG,HVG Kiadó ZRt.,1842
110399693743592,Momentum Érd,Momentum Mozgalom,1812
376436808069,Eventim - Ticket Express Hungary,TEX Hungary Kft.,1760
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,1637
102426795954406,Nobilis Márton,Nobilis Márton,1601
100437945297266,Momentum Törökbálint,Momentum Mozgalom,1595
100137935564861,PáKöR,Futó Gábor,1593
108248022589754,Bosch Magyarország,Bosch Magyarország,1373
127093034004600,Átrium,Átrium,1332
110599253866889,Millenna,Millenna Újság,1318
92932085233,TASZ,TASZ,1306
273533866010019,MAZSIHISZ-Magyarországi Zsidó Hitközségek Szövetsége,MAZSIHISZ,1305
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,1266
221761091331222,Danube Institute,Danube Institute,1147
623719727672871,Nestlé,Nestlé Hungária Kft.,1127
268042136672212,Századvég,Századvég Közéleti Tudásközpont Alapítvány,1055
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,1002
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,995
152408681635243,Hírklikk.hu,Hírklikk.hu,990
113684438795574,Párbeszéd Magyarországért,Párbeszéd Magyarországért,989
230982470584005,Elek Sándor polgármester,Elek Sándor polgármester,968
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,888
124991704202615,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,Magyar Természetvédők Szövetsége- Föld Barátai Magyarország,882
112694594992064,Mehr Licht,Mehr Licht,851
102474542009609,Megafilm,MEGA FILM Kft.,789
104955014214147,Monostori-Kalovits Márk,Monostori-Kalovits Márk,715
237088069704442,Kósa Ádám,"Adam Kosa, Member of the European Parliament",698
718237064915895,Szőke Péter Törökbálint Holnap,Szőke Péter,696
103478164920832,Rubicon Intézet,Rubicon Intézet,686
1215492498464496,Angyal Károly,Angyal Károly Tibor,685
175631865860693,Vadai Ágnes,Kormányváltás 2022,654
734217673259088,Ujhelyi István dr.,Ujhelyi István EP-képviselő,606
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,605
887921287887805,Király Nóra,Király Nóra,582
128884360624104,Bóna Zoltán,Bóna Zoltán,568
537817739693723,Brain Bar,Brain Bar,562
105774734948091,Hungarian Conservative,Hungarian Conservative,539
104120465115094,Schaller-Baross Ernő,Schaller-Baross Ernő,511
206829842043,Rétvári Bence,Rétvári Bence,502
451084968283411,Klímainnovációs Közösség,PANNON Pro Innovációs Kft.,486
156847374371871,Szabó Tímea,Párbeszéd Magyarországért,484
85568463466,Mérce,Mérce,483
127539005484626,Very Important Planet,thevip.hu,483
109400335280737,Dóka Milán,Milán Dóka,482
132601530109047,Eötvös Károly Közpolitikai Intézet / Eötvös Károly Policy Institute,Eötvös Károly Közpolitikai Intézet,457
100452852734271,Startlap - Vásárlás tippek,Central Médiacsoport Zrt.,455
876772425797119,Hölvényi György,Hölvényi György,424
102641477991941,bahir.hu - BAHÍR,Zöld Baranya Egyesület,418
581800425838191,Scruton,Scruton,412
170187966339475,Life.hu,Mediaworks Hungary Zrt.,408
142695722442067,Napvilág Kiadó,Napvilág Kiadó,408
162344823835042,atlatszo.hu,atlatszo.hu,388
270300439972751,Szemlélek,Szemlélek Alapítvány,384
190624800967882,NANE Egyesület,NANE Egyesület,381
286146221590937,Direkt36,Direkt36,375
510078013063912,Rózsa László Péter,Rózsa László Péter,374
804685603241491,Czuczor Gergely,Fidesz - Magyar Polgári Szövetség,365
788960034452071,Potápi Árpád János,Potápi Árpád János,359
1215492498464496,Angyal Károly,LMP - Magyarország Zöld Pártja,338
228919710581213,Kislábnyom - Small Footprint,GreenDependent Intézet Kft.,331
670269189782610,Ficsak - Fiatal Családosok Klubja,Fiatal Családosok Klubja,307
150219742265121,Bedő Dávid,Bedő Dávid - Momentum,296
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,292
117220474610454,"Toók László mezőgazdász, a MAGOK elnöke",Toók László Flórián,291
286759004682537,Tranzit,Kommentár Alapítvány,284
105133802519509,Jobbra fel-Ez a mi otthonunk,Rajna István,275
371225050791,Transparency International Magyarország,Transparency International Magyarország,264
110492499001,Labrisz Leszbikus Egyesület,Labrisz Leszbikus Egyesület,264
107021478565752,Össze-Hordó,Fehérvár Hangja,259
244669668913278,Ökopolisz Alapítvány,Ökopolisz Alapítvány,252
106236922109249,Hajnal-2026,Radics Gábor Zoltán,251
611728525606243,CIB Bank,CIB Bank Zrt.,251
110292211697859,Erdélyi Rezső Krisztián Nézőpontja,Nézőpont,241
326632861287187,Gyuris Dávid,Gyuris Dávid Tibor,241
1869511526651884,Zsigmond Barna Pál,Fidesz,229
115295915203476,Európa Pont,Európai Bizottság Magyarországi Képviselete,219
109565208474856,Startlap - Utazás tippek,Central Médiacsoport Zrt.,204
113375923695023,Fidesz Budapest,Fidesz Budapest,197
100609808517630,Drogkutató Intézet,Drogkutató Intézet Nonprofit Korlátolt Felelősségű Társaság,197
166359293376130,Hévíz Város Önkormányzata,Papp Gábor,188
102186064905787,Zöld Követ Egyesület,Zöld Követ Egyesület,187
106359260877737,Sárközi Zsuzsanna - személyi edző & online edző,These ads ran without a disclaimer,185
243470906428319,Juhász Hajnalka,Juhász Hajnalka,183
338939005964,Becsó Zsolt országgyűlési képviselő,Fidesz,174
222720184518334,Font Sándor,Font Sándor,170
490177777659085,Vác és környéke,Vác és Környéke,168
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,163
116609705085092,BP18,BP18,157
18562323874,Élet és Irodalom,Székely János,156
161746613987047,Állampolgári Bizottság az Emberi Jogokért,Állampolgári Bizottság az Emberi Jogokért,156
1640736922828484,Sermer Ádám,Adam Sermer,150
1595121247382392,DK Nyíregyháza,\tDemokratikus Koalíció,146
193640214178356,Gyopáros Alpár,Gyopáros Alpár,145
270741976461920,Farkas Éva Erzsébet,Farkas Éva Erzsébet Hivatalos Oldala,143
614294538753164,Dunántúli Regionális Vízmű Zrt. hivatalos oldala,Dunántúli Regionális Vízmű Zrt.,138
164978926850719,Kommentár folyóirat,Kommentár folyóirat,135
170834092937469,K-Monitor,K-Monitor,129
109237039114861,MEDIAPIAC.COM,Médiapiac Kft.,129
105666454157523,Szikra Mozgalom,Szikra Mozgalom,129
438674070213065,Magyar Állampapír,Magyar Állampapír,129
100841853324112,Képmás magazin,These ads ran without a disclaimer,128
159727710737627,Petőfi Irodalmi Múzeum,These ads ran without a disclaimer,122
445067412712417,Dr. Molnár Krisztián,Molnár Krisztián,117
202099276507678,24.hu,24.hu,110
320645820787,Haszon magazin,Haszon magazin,101
948663291926357,HVG BrandLab,These ads ran without a disclaimer,≤100
104670269128585,BIOLA,These ads ran without a disclaimer,≤100
107123677458699,Külpologika,Tamás Novák,≤100
183723231644096,Szita Károly,Szita Károly,≤100
105129068891221,Frisshirek.hu,Genesis Médiacsoport Kft.,≤100
348148758663062,Indahouse Hungary,InDaHouse Hungary Egyesület,≤100
108271407361251,Transzparens Újságírásért Alapítvány,Transzparens Újságírásért Alapítvány,≤100
102203505677256,Fenntartható Városok,Fenntartható Közösségek Központja,≤100
264210363649459,Élő Norbert,Élő Norbert,≤100
102384608623743,CreativeSolar,CreativeSolar,≤100
103156659242486,Orbán Viktor az európai civilizáció megmentője/kövesd az oldalt/,László Jozsef Szigeti,≤100
806011439524661,Zágráb Nándor,Zágráb Nándor,≤100
1563386420380633,Megmondó,Megmondó,≤100
106072821290123,"Rigó Balázs, alpolgármester - Tatáért",Rigó Balázs,≤100
801555379989101,IDBC Creative Solutions,Barta Ákos,≤100
200615179974476,Tégy az abortusz ellen,Karácsonyi Zoltán,≤100
644419442322200,Magyar Cetelem Bank,Magyar Cetelem Zrt.,≤100
106920862700810,JCC Budapest - Bálint Ház,Bálint Zsidó Közösségi Ház Alapítvány,≤100
153382908021118,CKA,These ads ran without a disclaimer,≤100
164318023607975,LMP Újpest,LMP - Magyarország Zöld Pártja,≤100
114488573642841,Schmitz Cargobull Magyarország Kft.,These ads ran without a disclaimer,≤100
116925790432558,Lehoczki Ádám,Lehoczki Àdám János,≤100
517376092087401,Ferencz István önkormányzati képviselő Pestszentimre-Pestszentlőrinc,Ferencz István,≤100
117726734940002,Andrássy Universität Budapest,Andrássy Universität Budapest,≤100
101040961353702,Temesvári Szilvia,Temesvári Szilvia Benedetta,≤100
1065713933504228,Új Egyenlőség,Új Egyenlőség,≤100
1863991710304983,Rácz Norbert,Rácz Norbert,≤100
1435049493448120,Pintér Tamás,Pintér Tamás,≤100
152800954747982,Radnóti Miklós Színház,These ads ran without a disclaimer,≤100
607449159668998,61-es út,61-es út mentén egyesület,≤100
140640289378483,Michl József,Michl József Imre,≤100
344967909393503,Nagy Bálint,Fidesz,≤100
105967164071611,Nagy Balázs Szemere és Ganztelep,Nagy Balázs István,≤100
119557572774118,Jalsovszky,These ads ran without a disclaimer,≤100
233529653487142,Karsay Ferenc,Karsay Ferenc,≤100
135049793193159,IH Rendezvényközpont,Green Team Event & Marketing Kft.,≤100
1944720419101498,Dr. Lévai István Zoltán,Dr. Lévai István Zoltán,≤100
1237616006358749,Kékes Online,Kékes Online,≤100
105216764203897,Bakai-Nagy Zita Újbuda,Bakai-Nagy Zita,≤100
110519871432528,Erzsébeti Napló,Erzsébeti Napló,≤100
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100
101152096022679,Reilly Todd,These ads ran without a disclaimer,≤100
433001657513550,Reporting Democracy,These ads ran without a disclaimer,≤100
109391388543268,Mariana Alves,These ads ran without a disclaimer,≤100
