Page ID,Page name,Disclaimer,Amount spent (TRY)
141870402543282,AK Parti,Ak Parti,≤100
102095934751904,Deva Partisi,Deva Partisi,≤100
319026564921676,Vatan Partisi,Vatan Partisi,≤100
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,≤100
106561381741274,Promosyon Kahve,GANİTTO GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,≤100
100910024639566,Ali Babacan,Deva Partisi,≤100
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),≤100
851556338241562,Ayşen Kurt,Ayşen Kurt,≤100
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,≤100
108552928182311,Al Sancak Partisi,Nuri Çelebi,≤100
311668709533094,68AksaraySpor,These ads ran without a disclaimer,≤100
328937400947396,,Murat Yaşar Müncester,≤100
109191728438674,,These ads ran without a disclaimer,≤100
105376981385020,Referandom,Referandom,≤100
162643753879231,Deniz Köken,Deniz Köken,≤100
362110253924146,Hasan Tahsin Usta,Gaziosmanpaşa Belediyesi,≤100
108390012832175,Fatih Akkentli,Ozan Özbay,≤100
906394629482043,CHP Parti Okulu,CHP Parti Okulu,≤100
294889615437,Sinan Oğan,Sinan Oğan,≤100
109407151806354,İsmail İnlidere,Ismail Inlidere,≤100
815048841929079,M. Ergün Turan,M. Ergün Turan,≤100
