Page ID,Page name,Disclaimer,Amount spent (VND)
155460521146066,RFI Tiếng Việt,These ads ran without a disclaimer,25220
105062615490802,Thượng Tọa Thích Đức Thiện,Thượng Tọa Thích Đức Thiện,9756
105845511087981,TRUYỀN HÌNH AN VIÊN,TRUYỀN HÌNH AN VIÊN,4041
100628806156366,Đầu Tư Thông Minh,These ads ran without a disclaimer,823
111831663772285,BOMvn,BOMvn,756
919479674872321,Báo Nghệ An,Báo Nghệ An,706
111007318289967,Đầu Tư Cùng Chuyên Gia 5.0,These ads ran without a disclaimer,646
1899173210408515,Crabit Kidbooks,These ads ran without a disclaimer,379
109311801378953,1000 Bài Học Danh Nhân - Những Bài Học Vĩ Đại Từ Những Người Vĩ Đại,These ads ran without a disclaimer,240
116308369063243,Kambria,These ads ran without a disclaimer,239
1872924099391551,Ohayo Japan,These ads ran without a disclaimer,175
100492169484970,Havaness fashion,These ads ran without a disclaimer,≤100
212732770186,Tom MacDonald,These ads ran without a disclaimer,≤100
230701157132047,Gamuda,These ads ran without a disclaimer,≤100
106182191965167,Sách Cổ - Tri Thức Thời Xưa,These ads ran without a disclaimer,≤100
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100
