Page ID,Page name,Disclaimer,Amount spent (TRY)
319026564921676,Vatan Partisi,Vatan Partisi,230
141870402543282,AK Parti,Ak Parti,149
101721279550025,,Mahir Yilmaz,≤100
100910024639566,Ali Babacan,Deva Partisi,≤100
294889615437,Sinan Oğan,Sinan Oğan,≤100
105376981385020,Referandom,Referandom,≤100
158829607558395,Milliyetçi Hareket Partisi (MHP),Milliyetçi Hareket Partisi (MHP),≤100
146234755411446,Mirasımız Derneği,(MİRASIMIZ) Kudüs ve Civarındaki Osmanlı Mirasını Koruma ve Yaşatma Derneği,≤100
121889327495478,,Oktay Aydın,≤100
106433519384639,Haber7,Haber7,≤100
102095934751904,Deva Partisi,Deva Partisi,≤100
100939478640264,Gazete Oksijen,Gazete Oksijen,≤100
107621395263001,,Bilge Yılmaz,≤100
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,≤100
105724511499805,Yeniden Refah Partisi,Yeniden Refah Partisi,≤100
141311632555208,Bağımsız Türkiye Partisi,Mehmet Erkul,≤100
102841632670929,Türkiye Gönüllüleri,Türkiye Gönüllüleri,≤100
105390025843702,,These ads ran without a disclaimer,≤100
108107585034488,Bahadır Erdem,Bahadır Erdem,≤100
362110253924146,Hasan Tahsin Usta,Gaziosmanpaşa Belediyesi,≤100
108376020766134,Metin Bolat,Metin Bolat,≤100
144295649058307,Ekrem İmamoğlu,Ekrem İmamoğlu,≤100
101605686227473,,Hakan Kuşçuoğlu,≤100
281934188895543,Önce Vatan,Önce Vatan,≤100
459314071262613,Zeynettin Aydın,Zeynettin Aydın,≤100
212556146253726,,Allah Yolunda,≤100
1620080691588973,Serkan SARI,Serkan Sarı,≤100
453048084856285,Desmond is Amazing,These ads ran without a disclaimer,≤100
106561381741274,Promosyon Kahve,GANİTTO GIDA SANAYİ VE TİCARET ANONİM ŞİRKETİ,≤100
122563170784569,,These ads ran without a disclaimer,≤100
107924807410702,Samet Bağcı,Samet Bağcı,≤100
101413902560620,,These ads ran without a disclaimer,≤100
575755372513811,Muhittin Böcek,Antalya Büyükşehir Belediyesi,≤100
118117557861464,,Ömer Ziyauddin Biryeşil,≤100
108552928182311,Al Sancak Partisi,Nuri Çelebi,≤100
111841058524860,Ahmet ŞAHİN,Rahmi Mete Ay,≤100
815048841929079,M. Ergün Turan,M. Ergün Turan,≤100
146384098769634,Öncü Gençlik,Baris Demiralay,≤100
109407151806354,İsmail İnlidere,Ismail Inlidere,≤100
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,≤100
245229619700364,Yeniden Refah Partisi Beykoz İlçe Başkanlığı,Yeniden Refah Partisi Beykoz İlçe Başkanlığı,≤100
413113452433564,Cengiz Gökçel,Cengiz Gökçel,≤100
717208405311992,Yeniden Refah Partisi Ümraniye İlçe Başkanlığı,İzzettin Başaran,≤100
113277871712898,Abdurrahman Karabudak,Abdurrahman Karabudak,≤100
180404128680446,Dr. Şadi YAZICI,Dr. Şadi YAZICI,≤100
101762502501680,,Komşu Kızı,≤100
101905456156003,Nezih Özgenç,Nezih Özgenç,≤100
979738848890749,Faruk Kılıç,Faruk Kilic,≤100
118671501166940,,Serkan Aydındır,≤100
101323482281931,Uzm.Dr. Hüseyin Cengiz Gürbüz,Huseyin Cengiz Gurbuz,≤100
210636876843,Türkiye Gençlik Birliği (TGB),Türkiye Gençlik Birliği-TGB,≤100
1597613193844586,,Cumhurbaşkanı Kılıçdaroğlu,≤100
2420268291542853,China Resources Group,These ads ran without a disclaimer,≤100
100450405705894,Zafer Partisi Fethiye İlçe Başkanlığı,Sait Ertürk,≤100
106187277979172,Dijital Gaste,Veysel Karahan,≤100
109632007076932,Türkiye Müteahhitler Birliği,TÜRKİYE MÜTEAHHİTLER BİRLİĞİ,≤100
1572709256359993,İnternethaber TV,HADİ ÖZIŞIK,≤100
102949289425237,,These ads ran without a disclaimer,≤100
144096473392,Yeşil Gazete,Yeşil Gazete,≤100
109514177857013,Yeniden Refah Partisi Simav,Yeniden Refah Partisi Simav İlçe Başkanlığı,≤100
1711272859203143,Prof.Dr. Ahmet Mesut Onat,These ads ran without a disclaimer,≤100
510344522371733,Oy ve Ötesi,Oy ve Ötesi,≤100
588319621318434,Op.Dr. Mustafa Seven - Samgüdef,Mustafa Seven,≤100
101412759569893,ozkancakir81,Özkan Çakır,≤100
104691722197784,صحيفة الاستقلال - العربية,صحيفة الاستقلال,≤100
2026878447367426,Yeniden Refah Partisi Esenyurt İlçe Başkanlığı,yeniden refah partisi esenyurt ilçe baskanlığı,≤100
481582842321978,İbrahim Güzel,İbrahim Güzel,≤100
101198518278121,Mehmet Selim Girbiyanoğlu,Mehmet Selim Girbiyanoglu,≤100
465887546792664,Halkın Kurtuluş Partisi - HKP,TAYFUR BİN,≤100
103285814499773,Hikmet Yalım Halıcı,Kadir Dede,≤100
108390012832175,Fatih Akkentli,Fatih Akkentli,≤100
283657205667155,Mustafa Ali Fırtına,Mustafa Ali Firtina,≤100
162643753879231,Deniz Köken,Deniz Köken,≤100
101452232253259,Kubilay Çiçek,Kubilay Çiçek,≤100
101315571670453,Webagron Tarımsal İçerik Platformu,Webagron Tarımsal İçerik Platformu,≤100
100804794823150,Ali Ünal,Ali Ünal,≤100
310263419180566,Selman Yıldırım,Selman Yıldırım,≤100
310263419180566,Selman Yıldırım,These ads ran without a disclaimer,≤100
104267921764717,Deva Partisi Trabzon İl Başkanlığı,Kubilay Çiçek,≤100
264716173609808,Amasya Milletvekili Ramis Topal,Ramis Topal,≤100
101715265156450,Mehmet Siyahkoç,These ads ran without a disclaimer,≤100
108675144970867,7/24 Gündem,7/24 Gündem,≤100
2256740437921271,Uzundere Belediye Başkanı Hilmi Aktoprak,Hilmi Aktoprak,≤100
261075507431404,Afyon,Hayrettin Köle,≤100
463215923715177,Mehmet Yiğiner,Bekir Koyuncu,≤100
100930021431743,Gazete Kolektif,Ercan Erdal,≤100
102186155957191,Seçim Hattı,Seçim Hattı,≤100
1093516560666635,Asrın Adamları,Huseyin Rahat,≤100
1439683329600228,Ümit Uysal,Ümit Uysal,≤100
101795235794977,eylulozdemirtv,These ads ran without a disclaimer,≤100
922594934433874,Kulis Özel,Burak Rahat,≤100
107184060866156,Limitsiz Bilgi,These ads ran without a disclaimer,≤100
102264872338396,,These ads ran without a disclaimer,≤100
107088348866304,Haberde.com.TR,Murat Ocak,≤100
107276120819529,Halk Haber TV,SİRİUS REKLAM ORGANİZASYON SANAYİ VE TİCARET LİMİTED ŞİRKETİ,≤100
102976372750184,,These ads ran without a disclaimer,≤100
100378170842291,Özer ÖZEL,Özer Özel,≤100
172200336891287,Medya Penceresi,Medya Penceresi,≤100
350785668413058,Prof. Dr. Ali Rıza Erbay,These ads ran without a disclaimer,≤100
326363220894548,Nail Çiler,Nail Çiler,≤100
113229965003082,AK Parti/MHP/BBP Cumhur İttifakı,Erol Cihangir,≤100
143550053055256,Dr Zekayi Bağriyanik,These ads ran without a disclaimer,≤100
103185292590218,İlkadım TV Haber,İlkadım TV,≤100
2331309100226183,Esin Erkoç,These ads ran without a disclaimer,≤100
103499402251033,Muhsine  Korkmaz,These ads ran without a disclaimer,≤100
1410342882615385,Eskişehir Haber,Eskişehir Haber,≤100
450603291709606,Dava Adamları,Huseyin Rahat,≤100
1028368393892777,Mehmet Ali Özkan,Mehmet Ali ÖZKAN,≤100
298764070816267,Mehmet Tütüncü,Mehmet TÜTÜNCÜ Türkiye Temsilcisi,≤100
183754020921,Saadet Partisi,Saadet Partisi,≤100
104373561467884,Serhat Servet Dövenci,Serhat Servet Dövenci33,≤100
101700471513125,Kadir Aydın,Kadir Aydın,≤100
283345415854103,Necip Topuz,Karataş Belediyesi,≤100
586687158076723,Mehmet Tüm,Mehmet Tüm,≤100
2200892810164954,Kırıkkale TV,Kırıkkale TV,≤100
104790481715851,ازجمله,Azjomle,≤100
106197277802679,H24,H24,≤100
102726282735429,Gürbüz Süleymanoğlu,These ads ran without a disclaimer,≤100
111802044914153,pseudoholistic,These ads ran without a disclaimer,≤100
114052354927933,ali_nakk,These ads ran without a disclaimer,≤100
101637409044456,Foot Pain Fix,These ads ran without a disclaimer,≤100
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100
107585911970797,Fehmi Kuyucu,These ads ran without a disclaimer,≤100
322277311634083,First Ascent,These ads ran without a disclaimer,≤100
100306576359206,,These ads ran without a disclaimer,≤100
101566695664566,,These ads ran without a disclaimer,≤100
118592938221174,ZTE Corporation,These ads ran without a disclaimer,≤100
