Page ID,Page name,Disclaimer,Amount spent (EUR)
274800030869,Pohjanmaan Kokoomus,Pohjanmaan Kokoomus,115
104674948336528,Janne Jukkola,Janne Jukkola,≤100
55312855747,Keskusta,Suomen Keskusta r.p.,≤100
60390955171,Vasemmistoliitto,Vasemmistoliitto,≤100
332170236842216,Vattenfall,Vattenfall Oy,≤100
255097357943710,Tommi Mäki,Tommi Mäki,≤100
78648671844,Julkisten ja hyvinvointialojen liitto JHL,Julkisten ja hyvinvointialojen liitto JHL,≤100
201285237101,Kokoomus,Kokoomus,≤100
2126212287670301,Oliver Pietilä,Oliver Pietilä,≤100
108945982480217,Sosialidemokraatit SDP,Sosialidemokraatit SDP,≤100
33722070600,Vihreät - De Gröna,Vihreä liitto rp.,≤100
337865799564409,K-ryhmä,K-ryhmä,≤100
336057419777613,Vaasan vaalipiirin vihreät - De Gröna i Vasa valkrets,Vihreät - De Gröna,≤100
74247674998,SAK - Suomen Ammattiliittojen Keskusjärjestö,SAK - Suomen Ammattiliittojen Keskusjärjestö,≤100
109967214030323,Jami Haavisto,Jami Haavisto,≤100
1185687531598211,Tuija Leivo-Rintakorpi,Tuija Leivo-Rintakorpi,≤100
423754975068118,KD Pohjanmaa - KD Österbotten,Jani Andersson,≤100
203077143158389,Anna Caldén,Anna Caldén,≤100
171316022901043,Antti Kurvinen,Antti Kurvinen,≤100
276167006065914,Manolis Huuki,Huuki Manolis Anton,≤100
174819292560785,Finlands svenska socialdemokrater - FSD,Finlands svenska socialdemokrater,≤100
120478494767491,Jyrki Mäkynen - Eduskuntavaaliehdokas 2023,Jyrki Mäkynen,≤100
754897361541633,"Ulpu Keränen, PerusS",Keränen Niko Tapio,≤100
115923351407331,Sam Leijonanmieli - eduskuntaan 2023,Sam Leijonanmieli - eduskuntaan 2023,≤100
310886696101,Pohjois-Pohjanmaan Kokoomus,Pohjois-Pohjanmaan Kokoomus,≤100
104031029288259,Virpi Ali-Haapala,Virpi Inkeri Ali-Haapala,≤100
545309265626080,Kela - Fpa,Kela - Fpa,≤100
156636781043514,Keskustan Etelä-Pohjanmaan piiri,Keskustan Etelä-Pohjanmaan piiri ry,≤100
608807769313296,Tiina Isotalus,Tiina Susanna Isotalus,≤100
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,≤100
107816682244941,Sari Innanen,Sari Helena Innanen,≤100
112893998410343,Stiftelsen för det tvåspråkiga Finland,Stiftelsen för det tvåspråkiga Finland sr,≤100
157614802920,Kristillisdemokraatit,Kristillisdemokraatit,≤100
164215986922425,Yhteisvastuu,Kirkkopalvelut ry,≤100
102018482732285,Rami Lehtola,Rami Johannes Lehtola,≤100
309459326150013,Teollisuusliitto,Teollisuusliitto,≤100
111842803767138,Riitta Koivula,Riitta Liisa Katariina Koivula,≤100
623408087790246,Harri Koskela,Harri Koskela,≤100
151086361568628,Duunitori,Duunitori,≤100
1022771864558414,Ossi Tiihonen poliitikko,Ossi Tiihonen,≤100
233935341288514,Elisa Aaltola,Elisa Aaltola,≤100
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,≤100
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,≤100
483453345007865,Jesse Luhtala,Jesse Luhtala,≤100
111436698934569,Mikko Ollikainen,Mikko Ollikainen,≤100
134934386349,Amnesty International - Suomen osasto,Amnesty International Suomen osasto,≤100
242197705820950,SEY Suomen eläinsuojelu,SEY Suomen eläinsuojelu,≤100
174193699279969,Peter Östman - Politiker - Poliitikko,Peter Johan Östman,≤100
115790951436273,Viinit ruokakauppaan,Päivittäistavarakauppa ry,≤100
1835513126554154,Maria Saita,Maria Saita,≤100
351679088241560,Janne Heikkinen,Janne Heikkinen,≤100
552220341545416,Ida Jungell,Ida Jungell,≤100
316590848413914,Jacob Storbjörk - SDP,Jacob Johan Storbjörk,≤100
295576507787572,Juhana Lähdesmäki poliitikko - Kd,Juhana Lähdesmäki,≤100
