Page ID,Page name,Disclaimer,Amount spent (EUR)
86874647886,Net.hr,Net.hr,≤100
688325737947866,Telegram.hr,Telegram Media Grupa,≤100
125703770797582,Jana,Jamnica plus d.o.o.,≤100
1781165065440754,N1 Hrvatska,N1 Hrvatska,≤100
1665775650371580,Gradonačelnik.hr,Gradonačelnik.hr,≤100
169065407139584,Tilt,European Greens,≤100
129634970518,SDP Hrvatske,SDP Hrvatske,≤100
248268301858527,Jamnica,Jamnica plus d.o.o.,≤100
131718973563002,Agencija za mobilnost i programe Europske unije,Agencija za mobilnost i programe Europske Unije,≤100
105129271272621,Vesna Vučemilović,HRVATSKI SUVERENISTI,≤100
105958751249374,Energia naturalis,Energia naturalis d.o.o.,≤100
122081620813,DNEVNIK.hr,NOVA TV,≤100
178362315106,European Parliament,European Parliament,≤100
103328145051749,Možemo Pula - Politička platforma,Možemo Pula - Politička platforma,≤100
585411648152023,Peđa Grbin,SDP Hrvatske,≤100
798612287169115,Ivica Todorić,Ivica Todorić,≤100
151888302050,RODA - Roditelji u akciji,RODA - Roditelji u akciji,≤100
106928174232844,Domovinski pokret,Domovinski pokret,≤100
210627425725812,Studentski.hr,Studentski.hr,≤100
143600332358489,Prijatelji životinja,Prijatelji životinja,≤100
176565220704,Zelena akcija / FoE Croatia,Zelena akcija / FoE Croatia,≤100
382245251836544,Hrvatska gospodarska komora,Hrvatska gospodarska komora,≤100
111421992219589,Dnevno.hr,Motus d.o.o.,≤100
2203684973028242,Katarina Peović,Radnička Fronta,≤100
314776818539194,Forum mladih SDP Hrvatske,SDP Hrvatske,≤100
1487935214842281,Faktograf.hr,Faktograf.hr,≤100
110933407315208,Hrvatski-glasnik,hrvatski glasnik,≤100
100525388993074,Infodemija,Infodemija,≤100
272201060331942,Karlo Ressler,Karlo Ressler,≤100
326373464600,Liberali - HSLS,Liberali - HSLS,≤100
410274919036976,Vigilare,Vigilare,≤100
235319525101705,Genius by InterCapital,InterCapital Asset Management,≤100
1790620717871346,Nismo same,Nismo same,≤100
482597361772021,Sunčana Glavak,MEP Sunčana Glavak,≤100
2305130156436757,Hrvatski suverenisti,HRVATSKI SUVERENISTI,≤100
811441908882554,Radnička prava,Jakov Kolak,≤100
102198203158768,AgroKlub.com,Agroklub d.o.o.,≤100
102409151592858,ZGRADOnačelnik.hr,Zgradonačelnik.hr,≤100
100435115417055,Možemo Rijeka,Možemo! -Politička platforma,≤100
109420188426263,VIDA,Vida produkcija,≤100
107849242015906,Udruga za medijsko komuniciranje i edukaciju - MEDIUM,Udruga za medijsko komuniciranje i edukaciju - MEDIUM,≤100
1747126668848581,Veljko Kajtazi,Veljko Kajtazi,≤100
1483897331868092,Direktno.hr,Darko Markušić,≤100
414865581996126,Nacional News Magazin,Nacional News Magazin,≤100
104113164820973,Trpimir Goluža,Trpimir Goluza,≤100
112019395148413,Žrtve kaznenih djela,Ženska soba,≤100
103411068843902,Socijaldemokrati,Udruga Socijaldemokrati,≤100
113001768735420,IDE3 IT,IDE3,≤100
102260795029090,Mate Šimundić,Mate Šimundić,≤100
133678452137,Mreža mladih Hrvatske - Croatian Youth Network,Mreža mladih Hrvatske,≤100
107592225626983,,These ads ran without a disclaimer,≤100
728752340593692,"Savez Roma u RH ""KALI SARA""","SRRH ""KALI SARA""",≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
223612895080539,Darko Zver,FOKUS,≤100
839425599478454,,These ads ran without a disclaimer,≤100
110735535307853,,These ads ran without a disclaimer,≤100
105439002511368,,These ads ran without a disclaimer,≤100
114247604036354,Инфограф,These ads ran without a disclaimer,≤100
321490278376285,Marin Prvan,These ads ran without a disclaimer,≤100
