Page ID,Page name,Disclaimer,Amount spent (JPY)
122355814117318,ワクワク応援団,浦山やすこワクワク応援団,27383
197770137236410,日本維新の会,日本維新の会,3488
1904070096535109,スマート選挙,株式会社センキョ,1910
475681929154100,国連UNHCR協会,国連UNHCR協会,1067
100789405705259,神奈川県選挙管理委員会,株式会社旭広告社,663
651801698258818,NewsTV,NewsTV,471
208661552479830,日本財団,Shigeru Fujita,330
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,285
579187028792625,社長と会社の手元現金を増やす仕組みづくりの専門家,社長と会社の手元現金を増やす仕組みづくりの専門家,264
103914976352692,選挙ドットコム,イチニ株式会社,209
360481987876805,静岡県議会議員いたみ雅治,静岡県議会議員いたみ雅治,≤100
547986165247623,NPO法人 多民族共生人権教育センター,NPO法人 多民族共生人権教育センター,≤100
110293788602871,天野英雄（岡山県笠岡市･自民党）,天野英雄（岡山県笠岡市･自民党）,≤100
151214938794853,ミエセン,ジャッグジャパン株式会社,≤100
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,≤100
104533215755145,ZOE_Japan,ZOE Japan,≤100
259163764160829,FoE Japan,FoE Japan,≤100
1607696895913679,日経プラス９サタデー　ニュースの疑問,Takamasa Kikawa,≤100
104021282300990,សាខាគណបក្សភ្លេីងទៀនប្រចាំប្រទេសជប៉ុន,These ads ran without a disclaimer,≤100
270791600215814,有限会社 幸建企画,These ads ran without a disclaimer,≤100
106198279062104,Japão.Online,Japão.Online,≤100
100193249651892,Building Blocks by,These ads ran without a disclaimer,≤100
