Page ID,Page name,Disclaimer,Amount spent (EUR)
101519168409673,Dimitar Kovacevski,СДСМ,≤100
148427235188637,СДСМ - Социјалдемократски сојуз на Македонија,СДСМ,≤100
101245041522588,Blerim Bexheti,Blerim Bexheti,≤100
445469652211682,Bujar Osmani,Bujar Osmani,≤100
100746718435265,Fatmir Bytyqi,Fatmir Bytyqi,≤100
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,≤100
971176269757392,Дома,Институт за комуникациски студии ИКС / Institute of Communication Studies,≤100
400497373674524,СамоПрашај.мк,Institut za komunikaciski studii,≤100
102860779377395,Само кажувам,Само кажувам,≤100
1677572455714659,Јорго Огненовски,Jorgo Ognenovski,≤100
192483774872658,Демократи,Демократи,≤100
100954761298205,frontline.mk,frontline.mk,≤100
101754962766151,Рацин.мк,Рацин.мк,≤100
454337564602783,Ali Ahmeti,Bashkimi Demokratik për Integrim - BDI,≤100
292855120912435,Мета - новинска агенција,Metamorphosis Foundation,≤100
110137388242680,Via Premium Travel,These ads ran without a disclaimer,≤100
154923374536050,LKAB,These ads ran without a disclaimer,≤100
